CITY,Total Population 65–74 %,Total Population 65–74 %,Total Population 65–74 %,16+ Years Not in Labor Force %,Unemployed (19–64) With Public Health Insurance %,Employed (19–64) With Public Health Insurance %,Owner-Occupied Housing Units %,Homes Using Oil/Kerosene %,Homes Heating With Coal or Coke,Homes With No Heat %,Homes Heating With Wood,Homes Using Solar Energy,Workers Carpooling %,Homes Using Solar Energy,Foreign-Born Not a U.S. Citizen %,Foreign-Born Not a U.S. Citizen %,Homes Heating With Wood %,Workers Carpooling %,Workers Carpooling %

NAME,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP03_0007PE,DP03_0112PE,DP03_0107PE,DP04_0046PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0069E,DP02_0095PE,DP02_0095PE,DP04_0068PE,DP03_0020PE,DP03_0020PE
CATEGORY,Social,Political,Economic,Economic,Economic,Economic,Social,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Political,Social,Environmental,Environmental,Social
"Austin-Round Rock, TX Metro Area",11.9,11.9,11.9,36.9,31.9,10.6,72.3,30.6,790,0.5,1278,97,7.6,97,912,912,4.9,7.6,7.6
"Bakersfield, CA Metro Area",13.8,13.8,13.8,53.8,37.5,21.8,71.8,1.7,77,0.3,1399,52,10.9,52,55371,55371,3.4,10.9,10.9
"Baltimore-Columbia-Towson, MD Metro Area",10.1,10.1,10.1,34.8,24.4,10.1,72.2,0.3,108,0.6,4462,778,9.5,778,980579,980579,1.4,9.5,9.5
"Bangor, ME Metro Area",10.2,10.2,10.2,30.9,41.8,14,61.6,20.7,355,0.7,13560,3570,6.8,3570,34084,34084,0.7,6.8,6.8
"Barnstable Town, MA Metro Area",10.3,10.3,10.3,33,36.4,9.5,61.2,0.3,0,0.4,1543,1012,5.6,1012,13507,13507,1.1,5.6,5.6
"Baton Rouge, LA Metro Area",9.2,9.2,9.2,34.6,55.9,16,62.3,,,,,,10.3,,5099,5099,,10.3,10.3
"Battle Creek, MI Metro Area",8.9,8.9,8.9,27.6,7.8,9.3,60.4,0.4,0,0.1,1680,180,8.8,180,1515,1515,3.1,8.8,8.8
"Bellingham, WA Metro Area",15.2,15.2,15.2,40.4,62.8,18,79.5,1.5,0,1.1,2915,0,9.1,0,18233,18233,6.4,9.1,9.1
"Bend-Redmond, OR Metro Area",12.1,12.1,12.1,36.4,44.3,15.6,70.9,2.5,0,0.2,3881,403,9.4,403,235801,235801,3.5,9.4,9.4
"Billings, MT Metro Area",10,10,10,31.8,37.3,12.3,65,30.2,43,0.6,1595,1363,9.8,1363,2402,2402,0.4,9.8,9.8
"Binghamton, NY Metro Area",8.2,8.2,8.2,33.2,45.7,9.5,77.7,0.1,0,0.8,156,373,15.6,373,99865,99865,0.7,15.6,15.6
"Birmingham-Hoover, AL Metro Area",8.1,8.1,8.1,40,18.3,7.3,66.2,0.2,0,2,57,485,12.9,485,5634,5634,0,12.9,12.9
"Bismarck, ND Metro Area",12.9,12.9,12.9,47,21.8,9.4,68.7,0,0,0.7,127,0,11.7,0,78735,78735,0.3,11.7,11.7
"Blacksburg-Christiansburg-Radford, VA Metro Area",12,12,12,37.7,52.7,18.3,66.1,1.5,258,0.3,3257,266,8.8,266,16793,16793,0.6,8.8,8.8
"Bay City, MI Metro Area",10,10,10,34.5,39.2,9.9,66,0.3,0,0.5,466,0,9.4,0,15626,15626,0.7,9.4,9.4
"Beaumont-Port Arthur, TX Metro Area",10.6,10.6,10.6,30.6,41.6,11.3,69.6,18.2,30,0.6,5846,668,8,668,7765,7765,6.1,8,8
"Beaver Dam, WI Micro Area",12.3,12.3,12.3,38.8,43.1,14.6,70.4,3,0,0.5,2373,76,7.3,76,156511,156511,1.4,7.3,7.3
"Beckley, WV Metro Area",15,15,15,47.1,16.2,7.6,75.2,0,0,2.2,218,2731,8.7,2731,2034,2034,0.1,8.7,8.7
"Bloomington, IL Metro Area",11.3,11.3,11.3,35.2,70.4,8.8,67.1,,,,,,7.1,,6774,6774,,7.1,7.1
"Bloomington, IN Metro Area",13.1,13.1,13.1,38.8,14.3,13.5,63.3,,,,,,22.5,,2659,2659,,22.5,22.5
"Bloomsburg-Berwick, PA Metro Area",10.8,10.8,10.8,35,14.4,6.6,73.3,,,,,,7.9,,14529,14529,,7.9,7.9
"Bluefield, WV-VA Micro Area",10.5,10.5,10.5,34.1,42.4,13.3,73.8,0.2,0,0.8,1081,259,5.6,259,4911,4911,0.9,5.6,5.6
"Boise City, ID Metro Area",12.8,12.8,12.8,46,55.6,15.6,75.3,1.3,0,0.7,3828,0,9.6,0,7504,7504,11.4,9.6,9.6
"Boston-Cambridge-Newton, MA-NH Metro Area",11.8,11.8,11.8,37.9,31.2,10,76.4,15.7,231,1.2,3306,0,7.9,0,29050,29050,5.3,7.9,7.9
"Boulder, CO Metro Area",9.5,9.5,9.5,39.9,25.2,13,57.3,0.1,37,0.1,178,125,6.8,125,3103,3103,0.2,6.8,6.8
"Bowling Green, KY Metro Area",13.9,13.9,13.9,46.1,67.9,17.3,70.6,0.2,19,0.4,2110,0,8.3,0,59314,59314,2.4,8.3,8.3
"Bozeman, MT Micro Area",10.1,10.1,10.1,33.3,27.6,9.7,69.5,0.1,86,0.7,342,2791,8.4,2791,329321,329321,0.1,8.4,8.4
"Brainerd, MN Micro Area",8.9,8.9,8.9,31.9,27.3,7.3,65.4,0.7,48,0.8,4957,1122,8,1122,18048,18048,0.4,8,8
"Branson, MO Micro Area",12.3,12.3,12.3,38.7,43.1,8,66.6,2.7,0,0.4,2470,718,8.1,718,24131,24131,2.7,8.1,8.1
"Bremerton-Silverdale, WA Metro Area",11.3,11.3,11.3,37.5,22.7,7,68.6,0.5,336,0.6,1555,85,9.4,85,3131,3131,0.7,9.4,9.4
"Bridgeport-Stamford-Norwalk, CT Metro Area",11.3,11.3,11.3,34.6,14.1,8,67.9,0.6,61,0.7,369,40,9.3,40,1748189,1748189,0.8,9.3,9.3
"Brownsville-Harlingen, TX Metro Area",9.9,9.9,9.9,32.7,41.7,10.5,65.9,0.1,727,0.9,2611,2032,8.4,2032,981,981,0.1,8.4,8.4
