CITY,Total Population 65–74 %,Total Population 65–74 %,Total Population 65–74 %,16+ Years Not in Labor Force %,Unemployed (19–64) With Public Health Insurance %,Employed (19–64) With Public Health Insurance %,Owner-Occupied Housing Units %,Homes Using Oil/Kerosene %,Homes Heating With Coal or Coke,Homes With No Heat %,Homes Heating With Wood,Homes Using Solar Energy,Workers Carpooling %,Homes Using Solar Energy,Foreign-Born Not a U.S. Citizen %,Foreign-Born Not a U.S. Citizen %,Homes Heating With Wood %,Workers Carpooling %,Workers Carpooling %

NAME,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP03_0007PE,DP03_0112PE,DP03_0107PE,DP04_0046PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0069E,DP02_0095PE,DP02_0095PE,DP04_0068PE,DP03_0020PE,DP03_0020PE
CATEGORY,Social,Political,Economic,Economic,Economic,Economic,Social,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Political,Social,Environmental,Environmental,Social
"Oak Harbor, WA Micro Area",10.4,10.4,10.4,42.8,65.3,22.8,65.5,0.3,0,0.6,867,72,8.8,72,3590,3590,1,8.8,8.8
"Ocala, FL Metro Area",12.5,12.5,12.5,40.5,36,11.1,80.8,0.3,0,0.7,882,0,7.9,0,17638,17638,1.4,7.9,7.9
"Ocean City, NJ Metro Area",10,10,10,41.6,25.6,8.6,65.3,0,47,0.5,226,0,9,0,10282,10282,0.1,9,9
"Odessa, TX Metro Area",11.8,11.8,11.8,41.6,64.8,25.9,69.4,44.6,185,0,2674,0,6.9,0,3417,3417,8.6,6.9,6.9
"Ogden-Clearfield, UT Metro Area",16.7,16.7,16.7,42.9,21.8,13,74.3,0.2,60,1,246,0,3.9,0,5990,5990,0.7,3.9,3.9
"Ogdensburg-Massena, NY Micro Area",9.5,9.5,9.5,39.3,9,16.1,63.4,3.5,389,0.2,1878,65,9.9,65,6381,6381,3.3,9.9,9.9
"Oklahoma City, OK Metro Area",11.6,11.6,11.6,40.8,21.1,14.6,74.3,0.3,0,1.3,820,0,9.2,0,16663,16663,1.6,9.2,9.2
"Olean, NY Micro Area",8.7,8.7,8.7,36.7,49.3,18.8,63.3,,,,,,10.6,,2856,2856,,10.6,10.6
"Olympia-Tumwater, WA Metro Area",11.8,11.8,11.8,44.2,26.2,9.6,74.3,9.3,0,3.1,738,0,12.2,0,13454,13454,2.4,12.2,12.2
"Omaha-Council Bluffs, NE-IA Metro Area",14.2,14.2,14.2,40.5,31.3,14.4,70.5,0.7,0,0.2,1769,230,10.7,230,3907,3907,3.3,10.7,10.7
"Opelousas, LA Micro Area",10.4,10.4,10.4,38.7,49.5,19.8,65.8,0.9,0,0.6,910,69,11.4,69,2113,2113,2.1,11.4,11.4
"Owosso, MI Micro Area",18.9,18.9,18.9,52.6,6.1,10.5,83.8,,,,,,8.8,,4138,4138,,8.8,8.8
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",11.4,11.4,11.4,40.5,60.7,20.3,81.2,0.9,0,0.4,1383,14,9.7,14,1451,1451,2,9.7,9.7
"Paducah, KY-IL Micro Area",10.6,10.6,10.6,47.9,69,19.5,65.9,,,,,,8,,24770,24770,,8,8
"Palatka, FL Micro Area",17.4,17.4,17.4,46.7,21.3,12,78.7,,,,,,8.1,,5104,5104,,8.1,8.1
"Palm Bay-Melbourne-Titusville, FL Metro Area",9.6,9.6,9.6,39.4,26.9,7.3,57.5,,,,,,17.7,,29188,29188,,17.7,17.7
"Panama City, FL Metro Area",12.5,12.5,12.5,35.1,42.6,12.9,62.7,0,0,0.3,474,1047,9.5,1047,102031,102031,0.9,9.5,9.5
"Parkersburg-Vienna, WV Metro Area",16.1,16.1,16.1,49.2,5.8,6.1,77.2,0.1,0,2.1,0,1356,10.6,1356,205057,205057,0,10.6,10.6
"Pensacola-Ferry Pass-Brent, FL Metro Area",8.9,8.9,8.9,30.4,23.2,7.4,65,0.1,0,0.6,3723,327,7.5,327,5011,5011,0.4,7.5,7.5
"Peoria, IL Metro Area",13.3,13.3,13.3,43.6,50.7,14.3,72,0.5,0,1,634,96,10.5,96,78787,78787,1.2,10.5,10.5
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",11,11,11,34.3,47.2,15.5,58.8,26.8,0,0.7,1232,933,7,933,1844,1844,0.5,7,7
"Portland-South Portland, ME Metro Area",10.8,10.8,10.8,44,59.4,22.5,68.7,,,,,,6.1,,92084,92084,,6.1,6.1
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",11.2,11.2,11.2,38.3,57.1,17,63.1,0,172,1,264,353,9,353,2841,2841,0.1,9,9
"Port St. Lucie, FL Metro Area",12.3,12.3,12.3,40.4,54.7,11.4,68.6,2.9,194,0,1359,9,8.3,9,5938058,5938058,3.5,8.3,8.3
"Phoenix-Mesa-Scottsdale, AZ Metro Area",10,10,10,34.7,44.3,16.4,51.1,12.9,3401,1.7,11324,12916,6.3,12916,10492,10492,0.2,6.3,6.3
"Pine Bluff, AR Metro Area",12.9,12.9,12.9,40.9,54.5,16.2,73.7,1.8,0,0.8,883,0,7.9,0,138165,138165,1.4,7.9,7.9
"Pinehurst-Southern Pines, NC Micro Area",16.9,16.9,16.9,47.8,25.7,8.5,75.6,0.1,206,1.5,384,3029,9.8,3029,2524,2524,0.1,9.8,9.8
"Pittsburgh, PA Metro Area",13.1,13.1,13.1,42.7,26.6,11.3,73.2,4.5,0,1.6,1545,0,12,0,25408,25408,5.9,12,12
"Pittsfield, MA Metro Area",11.7,11.7,11.7,35.6,60.9,21.6,64.8,45.2,37,0.5,3032,284,7.5,284,7121,7121,2.7,7.5,7.5
"Plattsburgh, NY Micro Area",16.3,16.3,16.3,45.6,36.8,15.6,76.4,1.2,0,0.1,2283,141,10.6,141,41937,41937,6.4,10.6,10.6
"Pocatello, ID Metro Area",15.3,15.3,15.3,49.3,31.3,12.6,77.6,0.1,0,0.7,605,723,13.3,723,32338,32338,0.4,13.3,13.3
"Ponce, PR Metro Area",6.3,6.3,6.3,31.2,2.5,3.6,64.7,,,,,,12.8,,40499,40499,,12.8,12.8
"Port Angeles, WA Micro Area",7.4,7.4,7.4,29.1,30.8,5.4,76.6,0,0,0.3,206,715,7.4,715,116490,116490,0.1,7.4,7.4
"Portsmouth, OH Micro Area",9.1,9.1,9.1,35.3,35.9,11.5,62.4,0.2,117,0.5,3644,523,9.7,523,1318,1318,0.6,9.7,9.7
"Pottsville, PA Micro Area",13,13,13,46,72.3,23.3,74.9,5.8,389,0.1,2500,0,7.7,0,25166,25166,7.7,7.7,7.7
"Prescott, AZ Metro Area",11.4,11.4,11.4,37.8,35.5,15.7,66.5,0.6,0,0.6,3460,703,7.3,703,78930,78930,2.9,7.3,7.3
"Providence-Warwick, RI-MA Metro Area",9.4,9.4,9.4,29.5,31.6,9.3,66.1,0.1,0,0.6,948,115,8.4,115,996,996,0.2,8.4,8.4
"Provo-Orem, UT Metro Area",10.7,10.7,10.7,49.7,81.1,18.2,74.7,,,,,,13.2,,2101,2101,,13.2,13.2
"Pueblo, CO Metro Area",12.5,12.5,12.5,47.6,57.3,13.8,70.6,0,0,0.8,413,0,12.4,0,617434,617434,1.2,12.4,12.4
"Punta Gorda, FL Metro Area",9.2,9.2,9.2,34.5,21.8,8.8,62.4,0.2,0,1.8,674,15401,10,15401,5540,5540,0.1,10,10
"Quincy, IL-MO Micro Area",10.6,10.6,10.6,33.7,44.5,9.7,66.2,0.7,31,1.3,405,0,8.8,0,6358,6358,0.6,8.8,8.8
"Racine, WI Metro Area",12.3,12.3,12.3,38.6,55.7,15.4,76,0,0,0.4,266,0,10.2,0,2969,2969,0.4,10.2,10.2
"Raleigh, NC Metro Area",11,11,11,35.3,71.6,20.9,64.2,,,,,,7.1,,632,632,,7.1,7.1
"Rapid City, SD Metro Area",12.4,12.4,12.4,41.2,46.1,15.2,81.2,4.1,0,0.1,992,0,8.3,0,1827,1827,3.7,8.3,8.3
"Reading, PA Metro Area",9.9,9.9,9.9,44.5,0,10.3,67.8,,,,,,9.6,,190199,190199,,9.6,9.6
"Redding, CA Metro Area",10.4,10.4,10.4,35.5,31.9,14.5,63.4,0,72,5.5,561,3733,11.2,3733,1547,1547,0.2,11.2,11.2
"Reno, NV Metro Area",12.5,12.5,12.5,39.8,24.8,19.7,70.3,,,,,,7.1,,3710,3710,,7.1,7.1
"Richmond, IN Micro Area",14.2,14.2,14.2,52,29.9,14.9,77,,,,,,8.4,,62837,62837,,8.4,8.4
"Richmond, VA Metro Area",14,14,14,42.7,26.7,10.2,76.7,0.1,0,2.5,170,2360,9,2360,16145,16145,0.1,9,9
"Richmond-Berea, KY Micro Area",11.2,11.2,11.2,37.3,27.6,10.9,70.3,0,0,1.3,884,652,10.7,652,547,547,1,10.7,10.7
"Riverside-San Bernardino-Ontario, CA Metro Area",12.8,12.8,12.8,42.8,42.5,16.9,74.7,,,,,,7.7,,30500,30500,,7.7,7.7
"Roanoke, VA Metro Area",10.7,10.7,10.7,38.6,13.6,10.2,72.5,0.1,0,0.9,201,2588,9.9,2588,16868,16868,0.1,9.9,9.9
"Roanoke Rapids, NC Micro Area",11.1,11.1,11.1,37.1,38.2,15.4,74.5,0.1,0,0.6,355,366,7.2,366,752110,752110,0.2,7.2,7.2
"Rochester, MN Metro Area",10.4,10.4,10.4,34.3,42.4,11.8,67.2,9.8,1421,0.6,12537,5597,7.6,5597,720728,720728,0.5,7.6,7.6
"Rochester, NY Metro Area",9.6,9.6,9.6,35.8,35.1,11.1,66.9,0.1,407,1.1,1876,22177,10.2,22177,,,0.1,10.2,10.2
"Rockford, IL Metro Area",12.6,12.6,12.6,56.3,83.5,18.8,74,0.7,59,0.3,698,0,14.3,0,1042,1042,1.6,14.3,14.3
"Rocky Mount, NC Metro Area",12.2,12.2,12.2,49.8,63.5,19,61.2,,,,,,6.2,,6536,6536,,6.2,6.2
"Rome, GA Metro Area",12.5,12.5,12.5,45.6,22.8,8.8,75.6,0.9,66,0.6,867,53,7.6,53,104581,104581,1.9,7.6,7.6
"Roseburg, OR Micro Area",13,13,13,37.2,41.9,11.5,71.3,5.8,1857,0.5,11570,665,7,665,8331,8331,1.1,7,7
"Roswell, NM Micro Area",15.1,15.1,15.1,39.3,38.9,19.4,68.8,30.7,156,0.6,2051,364,7.1,364,3120,3120,3.5,7.1,7.1
"Russellville, AR Micro Area",11.8,11.8,11.8,42.9,28.1,19.8,64.5,30.8,136,0.6,2593,0,11.4,0,2563,2563,7.5,11.4,11.4
"Sacramento--Roseville--Arden-Arcade, CA Metro Area",9.8,9.8,9.8,38.5,59.9,13.2,69.5,,,,,,10,,309270,309270,,10,10
"Saginaw, MI Metro Area",10.1,10.1,10.1,32.8,42.4,12.5,62.1,0.9,110,0.6,18556,2015,7.9,2015,null,null,1.8,7.9,7.9
"Salisbury, MD-DE Metro Area",12.3,12.3,12.3,53.9,81.8,41.5,67.3,0.1,0,84.8,0,4055,3.5,4055,3144,3144,0,3.5,3.5
"Salt Lake City, UT Metro Area",18.8,18.8,18.8,52.4,45.9,19.1,71.4,1.2,0,0.4,2357,47,10.9,47,28026,28026,6.8,10.9,10.9
"San Angelo, TX Metro Area",12.9,12.9,12.9,32.9,41,9.9,73.4,47.5,45,0.8,12194,1106,7,1106,91390,91390,5,7,7
"San Antonio-New Braunfels, TX Metro Area",14.4,14.4,14.4,45.3,29.7,7.7,78.6,0.1,0,2.8,229,2129,11.2,2129,909,909,0.1,11.2,11.2
"San Diego-Carlsbad, CA Metro Area",11.2,11.2,11.2,44.5,70.7,21.9,67.4,2.6,0,0.1,892,0,6.7,0,4337,4337,3,6.7,6.7
"Sandusky, OH Micro Area",12.5,12.5,12.5,43.3,65.3,12,75.7,46.6,5682,0.6,1356,87,12.3,87,15721,15721,2.3,12.3,12.3
"San Francisco-Oakland-Hayward, CA Metro Area",20.1,20.1,20.1,52.3,16.8,13.4,75.9,0.1,0,0.5,3406,1127,12.1,1127,243587,243587,3,12.1,12.1
"San Germ\u00E1n, PR Metro Area",11.1,11.1,11.1,35.1,45.6,15.7,63.2,25,402,0.3,7083,2333,8.2,2333,59348,59348,1,8.2,8.2
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",5,5,5,28,17.2,6.5,67.7,0,0,0.4,720,1039,12.4,1039,6478,6478,0.3,12.4,12.4
"San Juan-Carolina-Caguas, PR Metro Area",11.9,11.9,11.9,42.9,51,25.5,71.3,0,0,0.7,830,276,11.4,276,18098,18098,1.2,11.4,11.4
"St. Cloud, MN Metro Area",21.3,21.3,21.3,56.5,12.9,10.4,83.7,0,0,1.9,0,903,7.7,903,4330,4330,0,7.7,7.7
"St. George, UT Metro Area",12.4,12.4,12.4,33,67.5,17.6,75.2,60.4,0,0,3328,48,7,48,1092,1092,8.2,7,7
"St. Joseph, MO-KS Metro Area",11.5,11.5,11.5,37.1,53.2,15.3,73,,,,,,11.1,,8000,8000,,11.1,11.1
"St. Louis, MO-IL Metro Area",11.5,11.5,11.5,35.8,54.7,11.8,72.5,0.9,84,0.4,571,0,8,0,217352,217352,0.7,8,8
"Salem, OH Micro Area",8.3,8.3,8.3,30.5,38.1,6,66.2,0.2,0,0.6,978,1600,6.5,1600,3167,3167,0.2,6.5,6.5
"Salem, OR Metro Area",12.5,12.5,12.5,35.6,38.5,10.3,69.9,0.6,146,1.1,1617,78,8.8,78,45343,45343,2.5,8.8,8.8
"Salinas, CA Metro Area",10.7,10.7,10.7,36.1,52.4,12.8,72.1,22.8,1073,0.6,3777,134,10.9,134,9568,9568,2.3,10.9,10.9
"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",12.1,12.1,12.1,44.5,49.3,21.1,68,2,59,0.1,8298,1061,10.1,1061,75505,75505,11.5,10.1,10.1
"Santa Cruz-Watsonville, CA Metro Area",11.5,11.5,11.5,35.6,33.2,11,64.3,1.6,0,0.4,3709,792,13.5,792,3763,3763,1.6,13.5,13.5
"Santa Fe, NM Metro Area",3.7,3.7,3.7,31.4,25.4,18.6,50.5,1,0,1.2,674,0,12.5,0,2261,2261,3.6,12.5,12.5
"Santa Maria-Santa Barbara, CA Metro Area",11.6,11.6,11.6,40.8,48.7,13,68.4,3.6,0,0.4,917,0,14.5,0,131474,131474,3.4,14.5,14.5
"Santa Rosa, CA Metro Area",10.4,10.4,10.4,33.5,39.2,12.2,67.6,2.9,51,1,3511,950,7.1,950,2981,2981,0.7,7.1,7.1
"Savannah, GA Metro Area",9.6,9.6,9.6,38.6,56.2,15,64.5,1.2,176,0.2,1215,39,10.5,39,8487,8487,2.4,10.5,10.5
"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",11.1,11.1,11.1,28.4,62,9.2,72.6,0,0,0.2,875,173,7.7,173,18591,18591,2.8,7.7,7.7
"Searcy, AR Micro Area",6.7,6.7,6.7,43,0,10.8,66.9,,,,,,13.3,,1046398,1046398,,13.3,13.3
"Seattle-Tacoma-Bellevue, WA Metro Area",8.5,8.5,8.5,37.3,50.4,21.3,66.2,0.1,30,1.6,13489,22846,11.8,22846,20563,20563,0.9,11.8,11.8
"Sebastian-Vero Beach, FL Metro Area",12.4,12.4,12.4,41.1,47.3,17.6,68.2,4,0,0.5,2499,341,7.4,341,19172,19172,1.9,7.4,7.4
"Sebring, FL Metro Area",10.4,10.4,10.4,31.3,31.8,10,74.7,0.5,0,1.1,1403,37,9.3,37,68887,68887,1.5,9.3,9.3
"Seneca, SC Micro Area",11.7,11.7,11.7,37.9,46.9,16.3,67.4,2.9,1041,0.8,8623,455,8.2,455,28009,28009,1.9,8.2,8.2
"Sevierville, TN Micro Area",10.9,10.9,10.9,36.7,58.7,19.6,67.5,0.4,0,0.5,286,44,11.8,44,4784,4784,0.2,11.8,11.8
"Shawnee, OK Micro Area",12,12,12,40.3,44.1,14.7,58.7,0.5,0,1.2,745,62,6.9,62,5778,5778,1.2,6.9,6.9
"Sheboygan, WI Metro Area",10.2,10.2,10.2,39.8,5.9,10.2,63.3,0,0,0.6,137,0,10.6,0,3102,3102,0.4,10.6,10.6
"Shelby, NC Micro Area",15.1,15.1,15.1,49.3,52.4,22.3,73.9,1,0,0.9,4755,159,11.5,159,4876,4876,10,11.5,11.5
"Shelton, WA Micro Area",9.5,9.5,9.5,40.8,43.2,17.3,67.7,0,0,0.7,1015,273,8.2,273,479223,479223,3.1,8.2,8.2
"Sherman-Denison, TX Metro Area",10,10,10,36.8,48.5,15.5,63.6,0.2,416,0.8,16476,9842,9.2,9842,3998,3998,1.9,9.2,9.2
"Show Low, AZ Micro Area",12.3,12.3,12.3,41.2,55.7,19.1,76.6,1,24,0.5,1020,0,10.8,0,16304,16304,1.3,10.8,10.8
"Shreveport-Bossier City, LA Metro Area",9.3,9.3,9.3,31.9,32.1,16.2,67.9,1.3,0,2.3,1841,0,7.2,0,11013,11013,2.4,7.2,7.2
"Sierra Vista-Douglas, AZ Metro Area",12.3,12.3,12.3,40.3,38.5,9.1,73,,,,,,10.3,,4115,4115,,10.3,10.3
"Sioux City, IA-NE-SD Metro Area",11.8,11.8,11.8,40,24.7,10.2,70,0.3,105,0.2,1195,18,9.3,18,159710,159710,2.5,9.3,9.3
"Sioux Falls, SD Metro Area",11.1,11.1,11.1,33.8,29.9,8.9,71,0.2,206,0.4,7289,853,7,853,1287,1287,0.6,7,7
"Somerset, PA Micro Area",13.5,13.5,13.5,43.9,29.5,17.5,74.9,6.7,35,0.2,2050,0,7.3,0,51589,51589,4.8,7.3,7.3
"South Bend-Mishawaka, IN-MI Metro Area",10.4,10.4,10.4,37.4,59.5,16.2,61.8,0.7,0,0.5,5299,248,15.8,248,127268,127268,3.3,15.8,15.8
"Spartanburg, SC Metro Area",8.9,8.9,8.9,40.1,57,21.8,53,0.3,0,1.2,2509,1684,8.5,1684,11983,11983,1.9,8.5,8.5
"Springfield, IL Metro Area",10.8,10.8,10.8,40.1,65.9,20.1,60.8,7.2,0,1.8,966,224,10.2,224,163369,163369,2,10.2,10.2
"Springfield, MA Metro Area",7.5,7.5,7.5,27.5,26,5.9,66.4,0.1,209,0.4,656,1045,10.6,1045,8128,8128,0.1,10.6,10.6
"Springfield, MO Metro Area",10.3,10.3,10.3,36.5,22.3,10,59.1,0.1,0,1.4,183,42,13.2,42,338722,338722,0.4,13.2,13.2
"Springfield, OH Metro Area",8.6,8.6,8.6,34.7,15.5,9.8,64.3,0,77,1,1590,6318,11.4,6318,756142,756142,0.2,11.4,11.4
"State College, PA Metro Area",9.2,9.2,9.2,33.1,43.7,15.1,54.5,0.1,404,4.4,7017,25794,8.2,25794,1552,1552,0.6,8.2,8.2
"Statesboro, GA Micro Area",14.8,14.8,14.8,40.2,72.4,13.7,75.2,0.7,0,0.2,236,0,8.3,0,6955,6955,0.4,8.3,8.3
"Staunton-Waynesboro, VA Metro Area",11,11,11,40.1,22.7,12.2,65.7,,,,,,6.7,,1499160,1499160,,6.7,6.7
"Stevens Point, WI Micro Area",10.1,10.1,10.1,33.4,35.4,11.4,55.3,0.1,274,2.3,6322,14593,9.2,14593,805026,805026,0.4,9.2,9.2
"Stillwater, OK Micro Area",8.6,8.6,8.6,31.9,34.5,9,54.6,0.1,40,1.8,1589,7061,10.4,7061,null,null,0.2,10.4,10.4
"Stockton-Lodi, CA Metro Area",11.7,11.7,11.7,50.9,67.6,29.8,68.4,0,0,82.2,0,8939,6.7,8939,29656,29656,0,6.7,6.7
"Sumter, SC Metro Area",13.5,13.5,13.5,41.1,37.6,17.1,62.5,0,0,1.2,2199,2030,7.5,2030,47603,47603,2,7.5,7.5
"Sunbury, PA Micro Area",12,12,12,37.4,31.3,16.5,60.1,0.1,0,0.6,2900,637,8.5,637,23714,23714,2.9,8.5,8.5
"Spokane-Spokane Valley, WA Metro Area",17,17,17,43,47.3,14.2,68.8,0,0,0.2,2808,1062,6.4,1062,98211,98211,3.9,6.4,6.4
"Syracuse, NY Metro Area",9.6,9.6,9.6,38.1,50.4,17.1,50.8,0.1,0,4.7,1108,1428,13.9,1428,81175,81175,0.7,13.9,13.9
"Talladega-Sylacauga, AL Micro Area",13.1,13.1,13.1,34.9,36.4,14.5,64.6,0.1,0,1.3,4820,3233,10.3,3233,33976,33976,2.5,10.3,10.3
"Tallahassee, FL Metro Area",9.5,9.5,9.5,35.3,22.1,10.3,62.4,0,0,0.9,529,125,9.1,125,50998,50998,0.3,9.1,9.1
"Tampa-St. Petersburg-Clearwater, FL Metro Area",11.8,11.8,11.8,41.3,58.1,17.6,67.4,12.6,5152,0.4,3913,281,9.3,281,24590,24590,1.7,9.3,9.3
"Terre Haute, IN Metro Area",19.3,19.3,19.3,44.9,46.4,16.7,80.9,7.3,81,0.2,1963,625,7.9,625,1144,1144,1.8,7.9,7.9
"Texarkana, TX-AR Metro Area",10.3,10.3,10.3,43.8,29.6,11.5,74.4,,,,,,8.1,,861459,861459,,8.1,8.1
"The Villages, FL Metro Area",8.9,8.9,8.9,30.8,35.5,9.3,59.8,1.5,212,0.9,17495,2596,8.3,2596,13948,13948,1.1,8.3,8.3
"Toledo, OH Metro Area",18.3,18.3,18.3,52.6,22.7,8.9,79.8,0.2,0,3.9,101,610,13,610,11661,11661,0.1,13,13
"Topeka, KS Metro Area",18,18,18,57,30.6,11.6,80.1,0.2,0,3.2,0,469,17,469,3912,3912,0,17,17
"Torrington, CT Micro Area",15,15,15,46.1,26.1,15.5,74.3,1,0,0.6,1024,0,13.7,0,6575,6575,3,13.7,13.7
"Traverse City, MI Micro Area",12.9,12.9,12.9,37.1,15.8,10,69.4,0,0,1,1341,0,13.7,0,1700,1700,3.1,13.7,13.7
"Trenton, NJ Metro Area",9.9,9.9,9.9,46.2,62.3,17.6,67,1.1,0,0.3,388,0,11.3,0,6165,6165,1.4,11.3,11.3
"Twin Falls, ID Metro Area",12.2,12.2,12.2,34.9,28.6,9.4,71.1,1.1,0,0.4,858,12,7.5,12,4570,4570,1.7,7.5,7.5
"Truckee-Grass Valley, CA Micro Area",11.5,11.5,11.5,40.8,63.8,8.8,73.7,1.7,0,0.6,656,72,9.2,72,6158,6158,1.7,9.2,9.2
"Tucson, AZ Metro Area",15.3,15.3,15.3,51.6,25.4,18.3,84.1,,,,,,12.2,,10774,10774,,12.2,12.2
"Tullahoma-Manchester, TN Micro Area",10.2,10.2,10.2,39.8,8.4,7.3,66.1,,,,,,11.1,,4631,4631,,11.1,11.1
"Tulsa, OK Metro Area",13.5,13.5,13.5,54.4,72.7,22.3,71.9,0,0,0.4,12897,139,6.4,139,9758,9758,30.7,6.4,6.4
"Tupelo, MS Micro Area",10.7,10.7,10.7,40.9,56.9,21.9,65.6,0,55,0.8,455,0,6.5,0,13850,13850,0.3,6.5,6.5
"Tuscaloosa, AL Metro Area",14.6,14.6,14.6,53.7,73.3,27.9,69.3,0,13,1.5,1532,286,11.4,286,16376,16376,3,11.4,11.4
"Tyler, TX Metro Area",10.1,10.1,10.1,34.5,46.3,14.4,67.2,0.3,0,0.5,64,5,12.4,5,22780,22780,0.1,12.4,12.4
"Ukiah, CA Micro Area",9.8,9.8,9.8,25.8,14,5.8,68,0.3,0,0.9,531,0,7.8,0,9524,9524,0.4,7.8,7.8
"Valdosta, GA Metro Area",11.4,11.4,11.4,36.2,48.3,14,78.7,0,0,1,0,0,8.1,0,886,886,0,8.1,8.1
"Vallejo-Fairfield, CA Metro Area",11.9,11.9,11.9,48.8,72,31.5,72.5,1.6,0,1.6,474,0,12.7,0,826,826,1.8,12.7,12.7
"Urban Honolulu, HI Metro Area",14.2,14.2,14.2,43.1,30,16.8,78.5,39.6,2660,0.2,1798,0,9.8,0,20961,20961,6.1,9.8,9.8
"Utica-Rome, NY Metro Area",11.1,11.1,11.1,37.1,41.1,13.4,71.1,0.7,126,0.3,1430,0,10.2,0,32136,32136,1.1,10.2,10.2
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",10.1,10.1,10.1,38.6,22.9,10.4,72.4,1.2,0,0.8,940,752,12.4,752,34669,34669,0.6,12.4,12.4
"Waterloo-Cedar Falls, IA Metro Area",11.3,11.3,11.3,38.7,39.2,18.5,65.4,1.1,0,0.6,7942,245,8.8,245,8118,8118,3.3,8.8,8.8
"Victoria, TX Metro Area",12.3,12.3,12.3,38.5,56.4,13.2,70.9,0.2,0,0.3,44,77,6.1,77,44156,44156,0,6.1,6.1
"Vineland-Bridgeton, NJ Metro Area",11.1,11.1,11.1,39.6,50.8,22.7,62.3,20.9,41,1,2465,209,7,209,13899,13899,1.3,7,7
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",10.1,10.1,10.1,36.7,33.7,10.8,63.8,0.2,15,0.6,6360,168,9.4,168,3459,3459,3.2,9.4,9.4
"Visalia-Porterville, CA Metro Area",12.1,12.1,12.1,42.5,61,18.7,68.4,3.3,0,0.4,647,90,8.5,90,12794,12794,1.2,8.5,8.5
"Kalamazoo-Portage, MI Metro Area",9.6,9.6,9.6,44.3,23.9,9.6,59,17.4,547,0.6,2856,0,5.8,0,3561,3561,4.6,5.8,5.8
"Kapaa, HI Micro Area",9.1,9.1,9.1,44.5,10.2,8.6,56.8,,,,,,13.5,,4587,4587,,13.5,13.5
"Kalispell, MT Micro Area",13.1,13.1,13.1,40.7,30,13.3,72.3,7.8,0,0.5,2263,186,8,186,2343,2343,4.2,8,8
"Kankakee, IL Metro Area",11.3,11.3,11.3,33.7,35,11.3,67.1,1.8,0,0.4,1212,41,8.5,41,3812,3812,4,8.5,8.5
"Kansas City, MO-KS Metro Area",7.3,7.3,7.3,42.1,44,12.9,53.6,,,,,,8.6,,213381,213381,,8.6,8.6
"Keene, NH Micro Area",8.2,8.2,8.2,36.3,49.7,20,63.2,0.2,0,1.7,1533,7139,13.1,7139,2598,2598,0.6,13.1,13.1
"Kennewick-Richland, WA Metro Area",10.3,10.3,10.3,41.3,37.3,17.7,66.8,0.7,0,0.5,97,234,8.8,234,3095,3095,0.2,8.8,8.8
"Key West, FL Micro Area",13,13,13,43.9,30.4,14.3,76.9,26.9,1832,0.7,1650,46,7.2,46,42046,42046,3.6,7.2,7.2
"Killeen-Temple, TX Metro Area",11.5,11.5,11.5,37.6,44.7,18.4,68.8,5.7,1290,1,6767,307,8,307,1727,1727,2.5,8,8
"Kingsport-Bristol-Bristol, TN-VA Metro Area",12.5,12.5,12.5,44.7,62,8.9,74.8,1.7,0,1.2,277,0,7.7,0,28751,28751,0.7,7.7,7.7
"Kingston, NY Metro Area",10.1,10.1,10.1,37.1,36,9.2,56.2,0.1,0,0.9,403,641,8.9,641,537661,537661,0.2,8.9,8.9
"Klamath Falls, OR Micro Area",11.5,11.5,11.5,38.5,24.7,9.6,67.9,0.1,114,1.6,1297,10555,9.2,10555,3579,3579,0.1,9.2,9.2
"Knoxville, TN Metro Area",10.7,10.7,10.7,43,51.8,17.1,67.6,1.3,0,0.7,931,87,11.6,87,6209,6209,1.4,11.6,11.6
"Kokomo, IN Metro Area",10.1,10.1,10.1,44.9,31.5,10.4,65.2,0.1,0,0.6,871,180,7.8,180,2638,2638,1.5,7.8,7.8
"La Crosse-Onalaska, WI-MN Metro Area",10.9,10.9,10.9,40.7,15.6,10.4,60.5,,,,,,14.1,,22122,22122,,14.1,14.1
"Lafayette, LA Metro Area",10.9,10.9,10.9,36.2,44.9,15.5,62.9,0.3,0,0.4,1036,34,8.1,34,6256,6256,0.4,8.1,8.1
"Lafayette-West Lafayette, IN Metro Area",12.4,12.4,12.4,38.4,16.1,10.6,70.6,0.1,255,0.4,1309,0,12.2,0,10890,10890,1.4,12.2,12.2
"LaGrange, GA Micro Area",13.7,13.7,13.7,34.9,39.2,11.9,80.6,48.2,100,0.2,2449,0,7.6,0,3461,3461,4.9,7.6,7.6
