CITY,Total Population Under 18, Total Population Under 18, Total Population of 18+, Total Population of 18+, Total Population of 18+, Per Capita Income, Median Household Income, Total Civilian Labor Force, Employed Health Insurance Coverage Ages 19-64, Renter-Occupied Housing Units, Median Rent for Occupied Housing Units, Estimate of Owner-Occupied Housing Units Without a Mortgage, Median Housing Cost, Total Population Estimate, Total Male Population Estimate, Total Male Population Estimate, Estimate of Foreign-Born Population, Estimate of Foreign-Born Population, Estimate of Ages Above 25 Years With a High School Degree, Estimate of Ages Above 25 Years With a High School Degree, Estimate of Ages Above 25 Years With a High School Degree, % Workers Taking Taxi to Work, Estimate of Population >25 With a Graduate Degree, Estimate of Population >25 With a Graduate Degree, Estimate of Voting Age Population, Estimate of Voting Age Population, Estimate of Homes Using Electric Heat, Estimate of Homes Using Gas, Estimate of Male Citizen Voting Population, Estimate of Total Households With Computers and Internet
NAME,"
DP05_0019E","
DP05_0019E",DP05_0025E,DP05_0025E,DP05_0025E,DP03_0088E,DP03_0062E,DP03_0008PE,DP03_0107E,DP04_0047E,DP04_0134E,DP04_0092E,DP04_0089E,DP05_0001E,DP05_0002E,DP05_0002E,DP02_0103E,DP02_0103E,DP02_0061E,DP02_0061E,DP02_0061E,DP03_0021PE,DP02_0065E,DP02_0065E,DP05_0087E,DP05_0087E,DP04_0065E,DP04_0063E,DP05_0088E,DP02_0150PE
CATEGORY,Social,Economic,Political,Social,Economic,Economic,Economic,Economic,Economic,Social,Social,Economic,Social,Social,Political,Social,Political,Social,Political,Social,Economic,Environmental,Political,Social,Political,Social,Environmental,Environmental,Political,Political
"Frankfort, KY Micro Area",35143,35143,137962,137962,137962,38843,63761,100576,8628,28727,2.13,932,26825,14617,241600,173105,173105,85761,85761,9235,9235,3615,3615,3615,27667,27667,127439,127439,16421,46356,62555,0.2
"Fresno, CA Metro Area",14453,14453,87727,87727,87727,37576,58626,51982,4206,20129,1.89,1219,10865,9328,205700,102180,102180,50975,50975,7661,7661,1599,1599,1599,14218,14218,81322,81322,9775,19354,39757,0.3
"Gadsden, AL Metro Area",33533,33533,124977,124977,124977,29209,55124,72735,8740,15815,1.9,779,28163,17425,142900,158510,158510,80919,80919,2117,2117,7600,7600,7600,17016,17016,123467,123467,5686,45565,62522,0.1
"Gainesville, FL Metro Area",141186,141186,453614,453614,453614,28265,52426,285771,14697,73448,2.38,863,84257,61148,153800,594800,594800,283427,283427,11534,11534,32807,32807,32807,76855,76855,446462,446462,106468,92035,210351,0
"Gainesville, GA Metro Area",40704,40704,137940,137940,137940,24648,48700,82522,7475,24659,2.42,772,24969,20751,121400,178644,178644,83308,83308,3305,3305,11502,11502,11502,16866,16866,135324,135324,32166,33623,62598,0.1
"Gallup, NM Micro Area",347895,347895,1211619,1211619,1211619,34459,65880,779813,53310,198611,2.42,1121,258290,127480,230100,1559514,1559514,758991,758991,104312,104312,61046,61046,61046,229042,229042,1158017,1158017,554280,14548,555194,1.3
"Gettysburg, PA Metro Area",48310,48310,149628,149628,149628,24404,49544,72620,8739,29006,2.63,900,25929,8669,165300,197938,197938,110149,110149,5824,5824,6448,6448,6448,19019,19019,146691,146691,58730,2212,82152,0.4
"Fort Wayne, IN Metro Area",25446,25446,101457,101457,101457,28735,50272,58120,8800,16895,1.87,664,19012,19438,95000,126903,126903,61511,61511,1704,1704,5901,5901,5901,13016,13016,100398,100398,9148,36170,48327,0.2
"Glens Falls, NY Metro Area",37401,37401,125953,125953,125953,29985,61243,85266,6757,20502,2.18,876,28205,16609,162800,163354,163354,79912,79912,6149,6149,6839,6839,6839,17198,17198,122191,122191,13762,44082,58980,0.1
"Glenwood Springs, CO Micro Area",18792,18792,54185,54185,54185,29991,65063,33978,1825,4874,2.99,887,14580,5726,228900,72977,72977,35599,35599,2372,2372,4753,4753,4753,9266,9266,52674,52674,18786,3190,25340,0
"Goldsboro, NC Metro Area",33842,33842,117576,117576,117576,29475,60786,71522,3084,18100,2.13,710,24735,16892,164200,151418,151418,77785,77785,2880,2880,7095,7095,7095,20396,20396,115311,115311,27622,18359,59143,0.4
"Grand Forks, ND-MN Metro Area",36685,36685,167012,167012,167012,29265,45917,100056,7879,27865,2.01,730,32884,28272,156400,203697,203697,99483,99483,5218,5218,12330,12330,12330,22852,22852,164234,164234,67741,12236,79753,0
"Grand Island, NE Metro Area",24713,24713,105479,105479,105479,27773,49076,59572,6618,14186,1.87,620,19837,22467,96800,130192,130192,63853,63853,,,4448,4448,4448,12408,12408,105148,105148,7341,26145,50991,0.1
"Grand Junction, CO Metro Area",31715,31715,102145,102145,102145,26754,44998,63722,8695,20916,2.34,717,16432,13940,144900,133860,133860,64806,64806,4255,4255,5795,5795,5795,12876,12876,99335,99335,,,46532,0.3
"Grand Rapids-Wyoming, MI Metro Area",43868,43868,135696,135696,135696,24850,48909,83630,6430,23228,2.46,716,24634,19305,127800,179564,179564,88920,88920,5649,5649,9995,9995,9995,18548,18548,130176,130176,31091,25757,62683,0
"Grants Pass, OR Metro Area",36211,36211,131277,131277,131277,35210,80754,89051,8509,21455,2.74,1615,21933,11356,697900,167488,167488,82749,82749,27226,27226,5630,5630,5630,22759,22759,117451,117451,21207,354,58844,0
"Great Falls, MT Metro Area",278587,278587,590120,590120,590120,17542,41800,364686,15050,78818,3.18,763,70790,97936,93400,868707,868707,426291,426291,191798,191798,63937,63937,63937,66693,66693,439083,439083,,,215862,0.1
"Greeley, CO Metro Area",17159,17159,67470,67470,67470,26318,49428,38811,3874,10100,2.01,676,12519,12768,114600,84629,84629,41122,41122,,,3574,3574,3574,8054,8054,67022,67022,4385,17974,32109,0.2
"Green Bay, WI Metro Area",44715,44715,176229,176229,176229,30258,56450,100807,14722,32503,2.33,1052,31687,23610,318900,220944,220944,107682,107682,12420,12420,10477,10477,10477,25539,25539,170465,170465,48404,30732,81548,0
"Greeneville, TN Micro Area",330742,330742,1014168,1014168,1014168,30690,54859,671257,48831,208116,2.47,949,190865,106067,169400,1344910,1344910,643556,643556,50798,50798,73613,73613,73613,155591,155591,979236,979236,230769,249791,455674,0.1
"Greenfield Town, MA Micro Area",80780,80780,196900,196900,196900,24704,61167,124885,24923,38578,3.53,1097,27135,14932,282900,277680,277680,140344,140344,68968,68968,19780,19780,19780,17021,17021,152945,152945,33315,40845,74257,0.1
"Greensboro-High Point, NC Metro Area",23040,23040,76650,76650,76650,24484,36225,41744,2402,13942,2.35,722,11542,13920,93400,99690,99690,48030,48030,,,10078,10078,10078,7834,7834,76199,76199,,,36253,
"Greenville, NC Metro Area",13720,13720,51373,51373,51373,29028,50608,29824,4345,8747,2.02,733,9141,7125,118200,65093,65093,34341,34341,,,4395,4395,4395,3854,3854,50937,50937,6011,15208,27186,0
"Greenville-Anderson-Mauldin, SC Metro Area",12197,12197,54502,54502,54502,29489,55148,33108,4408,7839,1.86,777,10552,9590,150600,66699,66699,33342,33342,801,801,1587,1587,1587,10726,10726,54081,54081,3530,18285,27033,0
"Greenwood, SC Micro Area",11444,11444,51490,51490,51490,24052,38105,26943,2209,7704,2.24,640,7614,9130,91500,62934,62934,30100,30100,,,4995,4995,4995,4649,4649,51138,51138,17250,2722,24232,
"Gulfport-Biloxi-Pascagoula, MS Metro Area",16222,16222,78584,78584,78584,12726,15746,34759,9193,15988,2.39,368,,,92000,94806,94806,45501,45501,null,null,null,null,null,null,null,77962,77962,,,36699,null
"Hagerstown-Martinsburg, MD-WV Metro Area",1243489,1243489,4922999,4922999,4922999,33917,60141,3219385,161320,892888,2.75,1438,741972,552332,315400,6166488,6166488,2995523,2995523,1865117,1865117,335757,335757,335757,913264,913264,3981244,3981244,2045732,53838,1884319,9.9
"Hammond, LA Metro Area",23401,23401,86487,86487,86487,28484,56019,52215,4179,11853,2.18,728,20316,10931,145000,109888,109888,57617,57617,2411,2411,6985,6985,6985,9616,9616,85320,85320,,,43970,0
"Hanford-Corcoran, CA Metro Area",18143,18143,65013,65013,65013,38087,69872,39447,3165,6460,2.01,812,16121,11769,152300,83156,83156,40885,40885,1219,1219,2365,2365,2365,12874,12874,63744,63744,2402,25038,30986,0.5
"Harrisburg-Carlisle, PA Metro Area",53067,53067,129715,129715,129715,37108,82650,95698,3160,18615,2.64,1417,24973,17571,263500,182782,182782,92726,92726,16417,16417,8691,8691,8691,22297,22297,116731,116731,,,58772,0.3
"Harrisonburg, VA Metro Area",359574,359574,1215605,1215605,1215605,36636,65845,828891,65180,254881,2.19,914,250222,130248,231400,1575179,1575179,768530,768530,82157,82157,52595,52595,52595,258655,258655,1155701,1155701,99758,507282,555511,0.2
"Hartford-West Hartford-East Hartford, CT Metro Area",854445,854445,2785598,2785598,2785598,42681,83698,2059903,179915,416595,2.17,1144,688571,290859,284500,3640043,3640043,1804016,1804016,271550,271550,80174,80174,80174,702983,702983,2646119,2646119,220541,1080649,1295856,0.2
"Hattiesburg, MS Metro Area",17202,17202,57736,57736,57736,37808,71343,40728,3207,12435,1.72,823,12538,7451,210600,74938,74938,38693,38693,2860,2860,1212,1212,1212,9943,9943,54901,54901,12232,15629,28598,0
"Helena, MT Micro Area",22386,22386,97214,97214,97214,34144,57347,68792,9408,19181,2.06,909,18756,12916,308500,119600,119600,58635,58635,2140,2140,2330,2330,2330,24561,24561,96101,96101,13864,29616,47408,0
"Hermiston-Pendleton, OR Micro Area",100028,100028,328011,328011,328011,25641,49561,193139,9898,57853,2.38,843,61381,41983,139000,428039,428039,203234,203234,9002,9002,26977,26977,26977,42865,42865,323391,323391,100281,55906,150282,0.2
"Hickory-Lenoir-Morganton, NC Metro Area",147773,147773,402887,402887,402887,26686,63037,255015,45282,74451,3.19,1231,68951,31296,335400,550660,550660,271489,271489,97788,97788,28793,28793,28793,43323,43323,348773,348773,37371,126766,169094,0
"Hilo, HI Micro Area",48621,48621,151640,151640,151640,24735,40136,86517,18162,30268,2.35,730,20346,26580,128200,200261,200261,96645,96645,2481,2481,13514,13514,13514,20335,20335,149965,149965,47811,26459,70107,0.1
"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",31602,31602,118898,118898,118898,33754,62839,73766,6114,13362,2.12,827,29824,17689,173200,150500,150500,74125,74125,2461,2461,7246,7246,7246,17703,17703,117832,117832,5406,49307,57674,0.1
"Hinesville, GA Metro Area",85326,85326,287483,287483,287483,29094,53834,177201,12465,52443,2.4,899,56846,35961,149500,372809,372809,179203,179203,8778,8778,19761,19761,19761,47881,47881,280078,280078,84673,52437,129250,0.4
"Guayama, PR Metro Area",11777,11777,57696,57696,57696,34807,60186,33455,1883,7931,2.31,851,11601,9430,226100,69473,69473,33185,33185,1908,1908,3711,3711,3711,9610,9610,56912,56912,25451,459,27050,0.1
"Iowa City, IA Metro Area",27778,27778,101427,101427,101427,33941,67175,59538,6803,14778,2.71,1084,22092,12173,353300,129205,129205,62963,62963,9932,9932,5666,5666,5666,16181,16181,94232,94232,19420,21705,45637,0.2
"Hobbs, NM Micro Area",20370,20370,93765,93765,93765,25737,45065,55212,5260,17547,2.43,709,16455,11638,101800,114135,114135,55356,55356,,,5134,5134,5134,8418,8418,92979,92979,13432,28446,44136,0.1
"Holland, MI Micro Area",39258,39258,134308,134308,134308,26697,50366,81568,10052,17069,2.27,727,28732,20347,131100,173566,173566,85384,85384,2894,2894,6292,6292,6292,16905,16905,132856,132856,4350,52646,65274,0.1
"Homosassa Springs, FL Metro Area",16604,16604,51393,51393,51393,24723,42450,27885,3017,9505,2.24,686,8346,8991,96500,67997,67997,33469,33469,1736,1736,4310,4310,4310,6956,6956,50480,50480,14744,9694,23977,0.4
"Hot Springs, AR Metro Area",83556,83556,413345,413345,413345,32117,56977,229640,18948,48030,2.69,1016,86785,63830,212100,496901,496901,239324,239324,20302,20302,24651,24651,24651,64853,64853,397092,397092,177175,11756,186799,0.5
"Houma-Thibodaux, LA Metro Area",15000,15000,50204,50204,50204,24475,47572,32050,1562,10762,2.25,684,5368,8592,129300,65204,65204,31946,31946,,,2930,2930,2930,5674,5674,47208,47208,,,22527,
"Meadville, PA Micro Area",27923,27923,109821,109821,109821,47729,92769,71796,6731,16287,2.74,1835,19836,11984,670000,137744,137744,68568,68568,26066,26066,6348,6348,6348,21590,21590,96519,96519,12668,32476,48047,0.3
"Merced, CA Metro Area",65038,65038,319864,319864,319864,47433,76025,166297,7855,36221,2.81,1397,47266,57091,370800,384902,384902,189713,189713,78703,78703,15671,15671,15671,61075,61075,274748,274748,122833,5791,134493,4.3
"Medford, OR Metro Area",442175,442175,1491685,1491685,1491685,37696,70262,1063805,66226,250599,2.34,1146,323615,159573,285100,1933860,1933860,946073,946073,110901,110901,78844,78844,78844,326225,326225,1404148,1404148,458199,246235,673856,0.4
"Memphis, TN-MS-AR Metro Area",23659,23659,115385,115385,115385,31550,56395,71278,7304,18591,2.22,775,18079,16459,192700,139044,139044,71074,71074,2146,2146,6295,6295,6295,16764,16764,111801,111801,19974,23653,57085,0.2
"Meridian, MS Micro Area",29023,29023,113726,113726,113726,26948,47326,66731,5877,13721,2.56,732,21020,21133,145700,142749,142749,70717,70717,4408,4408,10842,10842,10842,11915,11915,109256,109256,,,53747,0
"Marion, OH Micro Area",28817,28817,68916,68916,68916,24522,56997,44819,5480,10864,3.29,810,11498,8504,201900,97733,97733,48784,48784,15158,15158,6459,6459,6459,8581,8581,57139,57139,,,28906,0
"Marquette, MI Micro Area",14827,14827,56956,56956,56956,26429,49250,34940,1381,7709,2.24,607,11411,9288,135100,71783,71783,35299,35299,3811,3811,5935,5935,5935,6736,6736,53903,53903,20310,599,25862,0
"Marshall, TX Micro Area",12122,12122,57750,57750,57750,23947,45201,36622,3529,8808,2.53,684,9152,6730,137800,69872,69872,33942,33942,1475,1475,2355,2355,2355,5644,5644,56718,56718,3556,13276,27347,0
"Martinsville, VA Micro Area",26531,26531,101373,101373,101373,29612,52355,54820,4449,15316,2.31,937,21933,15096,153600,127904,127904,64084,64084,5645,5645,5977,5977,5977,11510,11510,98070,98070,,,49415,0.5
"Mayag\u00FCez, PR Metro Area",16979,16979,68533,68533,68533,29689,50547,42860,5364,9625,1.92,658,14887,12770,121200,85512,85512,41534,41534,,,3503,3503,3503,8999,8999,68112,68112,8863,21727,32833,0.1
"McAllen-Edinburg-Mission, TX Metro Area",170625,170625,684132,684132,684132,38170,69751,456427,60495,129887,2.27,1151,128815,70304,251500,854757,854757,412429,412429,79287,79287,37140,37140,37140,112267,112267,637465,637465,64259,134949,300948,1.7
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",280935,280935,989595,989595,989595,31889,55710,640335,82105,177392,2.37,983,171150,136725,211900,1270530,1270530,611341,611341,66917,66917,73715,73715,73715,174560,174560,945336,945336,289851,189400,444643,0.5
"Michigan City-La Porte, IN Metro Area",20936,20936,71051,71051,71051,27251,53616,45151,4053,10386,2.17,726,14447,11955,146100,91987,91987,46112,46112,,,5733,5733,5733,8360,8360,70374,70374,8596,22790,34585,0
"Midland, MI Metro Area",4096809,4096809,15119373,15119373,15119373,46241,83160,10154155,1154378,3491333,2.45,1482,2269445,1342039,482900,19216182,19216182,9300265,9300265,4399171,4399171,829657,829657,829657,3266624,3266624,13005253,13005253,847359,4783606,6158440,4.5
"Midland, TX Metro Area",33202,33202,120199,120199,120199,32237,50153,73424,7611,16108,2.31,775,26908,18793,156900,153401,153401,74238,74238,5021,5021,8141,8141,8141,17084,17084,116403,116403,10958,42342,56227,0.2
"Milwaukee-Waukesha-West Allis, WI Metro Area",133078,133078,703917,703917,703917,39643,65526,365950,19440,77728,2.66,1284,123467,131387,273500,836995,836995,403088,403088,73703,73703,34063,34063,34063,127154,127154,662909,662909,307121,17634,313777,1.3
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",13045,13045,55367,55367,55367,25146,43290,31273,1835,7710,2.57,660,9883,10783,138100,68412,68412,33920,33920,,,5670,5670,5670,6393,6393,54467,54467,20544,404,26615,
"Minot, ND Micro Area",50896,50896,214310,214310,214310,40584,75633,142768,20230,38438,2.05,1140,46597,24717,255400,265206,265206,132774,132774,17877,17877,8789,8789,8789,34098,34098,203605,203605,23676,15198,101346,1.7
"Missoula, MT Metro Area",21175,21175,60949,60949,60949,21733,38681,33433,5573,9830,2.92,661,8539,12072,112700,82124,82124,40201,40201,,,7937,7937,7937,4315,4315,60519,60519,,,28693,
"Mobile, AL Metro Area",19222,19222,66953,66953,66953,20726,37701,36568,3382,11623,2.56,691,6065,14441,88600,86175,86175,40184,40184,,,6568,6568,6568,6300,6300,66819,66819,,,30538,
"Modesto, CA Metro Area",565145,565145,2043002,2043002,2043002,31186,61876,1367887,88490,338963,2.85,1303,354906,195953,255500,2608147,2608147,1276215,1276215,334845,334845,122781,122781,122781,391960,391960,1834902,1834902,818666,47157,883972,4.9
"Monroe, LA Metro Area",35005,35005,136902,136902,136902,32702,58347,91553,7744,26041,2.02,795,28723,16474,164800,171907,171907,86978,86978,4240,4240,6557,6557,6557,26168,26168,133958,133958,12991,51888,67281,0.4
"Monroe, MI Metro Area",30755,30755,115930,115930,115930,31380,58980,73456,7933,16840,2.11,759,24153,20990,122400,146685,146685,73939,73939,4676,4676,8417,8417,8417,11841,11841,113518,113518,7546,47698,56371,0.1
"Montgomery, AL Metro Area",28517,28517,92611,92611,92611,29270,52201,56520,6156,14470,2.37,788,19269,14680,140900,121128,121128,59776,59776,3296,3296,6328,6328,6328,11798,11798,89756,89756,14703,29127,43817,
"Morehead City, NC Micro Area",15185,15185,69956,69956,69956,39005,72066,36814,3095,9607,2.32,1402,16821,9158,383100,85141,85141,43650,43650,5389,5389,2365,2365,2365,12437,12437,68025,68025,17753,6371,34535,0
"Morgantown, WV Metro Area",67252,67252,298327,298327,298327,27033,49576,145567,8421,41470,2.49,970,50439,53713,161100,365579,365579,175107,175107,25692,25692,21508,21508,21508,34545,34545,290488,290488,126898,14035,136811,2.5
"Morristown, TN Metro Area",15950,15950,76089,76089,76089,43852,69980,44577,4650,10406,2.08,1286,17380,13153,320900,92039,92039,44588,44588,4028,4028,2866,2866,2866,12764,12764,73000,73000,9150,25462,34850,0.1
"Moses Lake, WA Micro Area",50336,50336,115887,115887,115887,28582,67205,80295,2295,20523,2.76,1141,15185,17447,164100,166223,166223,84643,84643,16822,16822,13269,13269,13269,10038,10038,99593,99593,,,50305,
"Mount Airy, NC Micro Area",206538,206538,476486,476486,476486,31814,79251,345662,16727,52285,2.6,1063,121241,45198,306600,683024,683024,345293,345293,30618,30618,15191,15191,15191,91577,91577,461216,461216,19620,193466,230114,0.1
"Mount Pleasant, MI Micro Area",20882,20882,86858,86858,86858,27195,52108,47346,7387,11488,1.8,696,14827,16517,101800,107740,107740,54553,54553,2694,2694,5565,5565,5565,8684,8684,85516,85516,5653,15797,43222,0.2
"Mount Vernon-Anacortes, WA Metro Area",344152,344152,1064798,1064798,1064798,32577,60605,701410,35796,192185,2.49,876,198631,133103,166800,1408950,1408950,694838,694838,81973,81973,62234,62234,62234,183585,183585,1005064,1005064,199134,295604,487988,0.2
"Muncie, IN Metro Area",16610,16610,59507,59507,59507,28370,50912,35247,5330,8759,2,683,11376,12921,93700,76117,76117,38132,38132,975,975,3206,3206,3206,6018,6018,58996,58996,4372,17635,29119,0.3
"Muskegon, MI Metro Area",61707,61707,228829,228829,228829,37040,78512,143992,16692,35342,2.31,1255,54256,23311,333100,290536,290536,141818,141818,20908,20908,9802,9802,9802,41091,41091,218166,218166,65155,35612,105532,0.2
"Muskogee, OK Micro Area",242109,242109,707617,707617,707617,35223,70373,512546,27350,124580,2.18,949,165910,76547,190800,949726,949726,470435,470435,47532,47532,25322,25322,25322,154146,154146,671025,671025,85080,259837,327551,0.1
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",190291,190291,655715,655715,655715,40293,92236,436662,49082,100014,3.18,1859,120147,48363,629600,846006,846006,417932,417932,162577,162577,29849,29849,29849,126372,126372,572857,572857,43637,202753,277234,0.1
"Nacogdoches, TX Micro Area",21474,21474,74274,74274,74274,27978,48856,43463,6333,13230,2.06,699,13944,12899,122800,95748,95748,45489,45489,,,5072,5072,5072,9095,9095,74015,74015,,,34881,0.1
"Napa, CA Metro Area",15798,15798,58723,58723,58723,22027,42899,30195,3747,10570,2.35,787,9173,11123,100400,74521,74521,37174,37174,3136,3136,7079,7079,7079,4076,4076,56375,56375,,,27331,0
"Naples-Immokalee-Marco Island, FL Metro Area",109373,109373,492569,492569,492569,32667,57305,274564,19836,51737,2.52,1132,97624,80682,228500,601942,601942,293637,293637,40853,40853,25987,25987,25987,84941,84941,477843,477843,204855,19712,231735,2.5
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",35918,35918,138787,138787,138787,31245,59450,86845,6587,20264,2.32,1204,26858,22073,203500,174705,174705,85830,85830,10162,10162,8553,8553,8553,20426,20426,134621,134621,,,66022,0.6
"New Bern, NC Metro Area",18500,18500,71176,71176,71176,27237,48680,38968,8311,9280,2.15,650,15015,12651,129900,89676,89676,43637,43637,,,5252,5252,5252,8085,8085,70824,70824,7462,26779,34085,0.1
"New Castle, PA Micro Area",106424,106424,396205,396205,396205,30394,56507,232986,20870,64155,2.48,1040,73958,48692,190300,502629,502629,250822,250822,18551,18551,25191,25191,25191,55285,55285,385713,385713,151079,30119,191185,0.6
"New Haven-Milford, CT Metro Area",92196,92196,308716,308716,308716,33904,60372,192431,22060,44199,2.09,732,70667,47265,134300,400912,400912,196167,196167,7014,7014,13265,13265,13265,51782,51782,302948,302948,36008,109913,146601,0
"New Orleans-Metairie, LA Metro Area",1314182,1314182,4788252,4788252,4788252,40930,74533,3225277,290807,773834,2.25,1162,1014960,534413,263700,6102434,6102434,2951168,2951168,491306,491306,240015,240015,240015,981041,981041,4526354,4526354,549644,1377343,2148744,1.3
"New Philadelphia-Dover, OH Micro Area",1155012,1155012,3793191,3793191,3793191,34074,67896,2479080,240333,625739,2.67,1188,758836,380560,283500,4948203,4948203,2458485,2458485,545972,545972,227350,227350,227350,686516,686516,3422057,3422057,1238580,478275,1682414,0.2
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",18618,18618,70819,70819,70819,21376,41541,35640,3898,11089,2.31,704,11234,11967,83500,89437,89437,45385,45385,,,5825,5825,5825,6763,6763,69922,69922,,,36095,
"Niles-Benton Harbor, MI Metro Area",21306,21306,79574,79574,79574,35094,62469,43029,4522,10584,2.15,975,19509,11437,232500,100880,100880,48802,48802,4458,4458,3655,3655,3655,18958,18958,76509,76509,33608,2626,35918,0.1
"North Port-Sarasota-Bradenton, FL Metro Area",435787,435787,1881813,1881813,1881813,38400,62638,1219034,93309,327108,1.85,847,397355,303973,165900,2317600,2317600,1128771,1128771,58907,58907,70225,70225,70225,369868,369868,1837359,1837359,172909,750184,881909,0.2
"Norwich-New London, CT Metro Area",20849,20849,104095,104095,104095,36759,58895,66929,10989,16157,1.93,864,23280,14355,229900,124944,124944,60981,60981,5421,5421,5165,5165,5165,16158,16158,101919,101919,5484,22677,48630,0.3
"Orangeburg, SC Micro Area",13805,13805,66680,66680,66680,32638,60198,36528,5205,10856,2.11,820,11322,9244,152000,80485,80485,41294,41294,2574,2574,4771,4771,4771,8023,8023,64462,64462,11240,4027,33651,0.2
"North Wilkesboro, NC Micro Area",24268,24268,70320,70320,70320,25010,51612,46051,2926,11044,2.3,667,13842,9654,171400,94588,94588,47790,47790,2246,2246,2834,2834,2834,11530,11530,68419,68419,12013,18999,34016,0
"Orlando-Kissimmee-Sanford, FL Metro Area",40998,40998,176405,176405,176405,10892,16061,72957,21838,24230,2.56,371,17908,37966,95800,217403,217403,104370,104370,null,null,null,null,null,null,null,175218,175218,,,83322,null
"Oshkosh-Neenah, WI Metro Area",12917,12917,64414,64414,64414,29597,57126,31347,4939,9656,2.14,941,12054,11312,279500,77331,77331,38316,38316,3579,3579,4166,4166,4166,9200,9200,63387,63387,27979,376,31160,0
"Ottawa-Peru, IL Micro Area",98278,98278,440222,440222,440222,40148,71913,303736,21457,65380,1.98,1102,107578,53946,284300,538500,538500,259838,259838,18423,18423,16542,16542,16542,103998,103998,429373,429373,22066,28665,205553,0.2
"Owensboro, KY Metro Area",524712,524712,1968509,1968509,1968509,40526,78439,1350642,113722,368545,2.29,1356,422216,173793,408600,2493221,2493221,1234751,1234751,237660,237660,77246,77246,77246,437779,437779,1832246,1832246,489079,415171,898274,0.2
"Oak Harbor, WA Micro Area",90135,90135,399162,399162,399162,34456,62608,228219,14553,42219,2.7,1198,72499,67196,242600,489297,489297,239008,239008,60437,60437,29029,29029,29029,60391,60391,369305,369305,,,178020,5.9
"Ocala, FL Metro Area",16299,16299,59015,59015,59015,23299,45571,29928,4315,9317,2.38,647,10551,9451,115100,75314,75314,36942,36942,,,5561,5561,5561,6868,6868,58851,58851,13083,10532,28422,
"Ocean City, NJ Metro Area",27661,27661,113698,113698,113698,28227,56295,66797,5188,13585,2.13,705,22962,21695,109200,141359,141359,72776,72776,2292,2292,7728,7728,7728,11939,11939,112395,112395,14030,3498,57921,0.4
"Odessa, TX Metro Area",152698,152698,526460,526460,526460,39492,85152,341813,37293,80879,2.38,1291,102871,58200,292400,679158,679158,340268,340268,63994,63994,27097,27097,27097,82099,82099,501305,501305,32933,93559,246546,2.7
"Ogden-Clearfield, UT Metro Area",37167,37167,197932,197932,197932,32187,53816,98069,11925,30112,2.29,1005,37926,34746,288500,235099,235099,115634,115634,15069,15069,12083,12083,12083,28432,28432,189559,189559,30673,52012,92791,0
"Ogdensburg-Massena, NY Micro Area",319297,319297,1305281,1305281,1305281,37114,70967,871420,103669,238221,2.2,1003,257971,131510,296800,1624578,1624578,791170,791170,169947,169947,67606,67606,67606,236130,236130,1224315,1224315,67903,349058,583794,1.1
"Oklahoma City, OK Metro Area",214036,214036,435567,435567,435567,28474,79152,326641,14547,58429,3,1121,90297,33493,360600,649603,649603,327321,327321,31536,31536,8952,8952,8952,93987,93987,412436,412436,29891,146318,206694,0.1
"Olean, NY Micro Area",37413,37413,131011,131011,131011,26778,51276,74277,13534,21783,2.33,860,28705,15623,189600,168424,168424,82793,82793,4615,4615,6764,6764,6764,17960,17960,127627,127627,10455,49321,61761,0
"Olympia-Tumwater, WA Metro Area",22357,22357,166553,166553,166553,33407,54652,66165,5282,13894,2.65,1006,29519,33176,224600,188910,188910,91322,91322,17006,17006,10887,10887,10887,22225,22225,159653,159653,74023,1271,76440,2.7
"Omaha-Council Bluffs, NE-IA Metro Area",16605,16605,59660,59660,59660,28484,53334,38700,3254,8294,2.12,781,12824,9060,120900,76265,76265,37313,37313,,,3403,3403,3403,8190,8190,59456,59456,8941,17389,29024,0.1
"Opelousas, LA Micro Area",45082,45082,151229,151229,151229,31741,60779,96724,8084,25954,2.33,833,34866,18085,200800,196311,196311,97480,97480,8923,8923,11122,11122,11122,22880,22880,145585,145585,13729,59493,71290,0.1
"Owosso, MI Micro Area",330735,330735,1060050,1060050,1060050,40209,80096,754913,30465,178843,2.37,1146,250812,89993,285600,1390785,1390785,677847,677847,121124,121124,44054,44054,44054,279121,279121,968092,968092,303702,187980,462246,0.4
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",32011,32011,110180,110180,110180,31643,58361,74628,5998,18042,2.03,829,22382,16032,199800,142191,142191,72601,72601,2272,2272,5327,5327,5327,20032,20032,108993,108993,18231,32244,55259,0.1
"Paducah, KY-IL Micro Area",93619,93619,327545,327545,327545,32252,67708,221195,21697,46983,2.44,936,65375,42338,188100,421164,421164,207400,207400,23272,23272,21972,21972,21972,46869,46869,316613,316613,36441,63116,154891,0.9
"Palatka, FL Micro Area",15427,15427,49657,49657,49657,26932,53475,28097,4107,6671,2.71,950,,,243500,65084,65084,32691,32691,,,5072,5072,5072,4443,4443,47296,47296,8153,7048,23829,0.1
