CITY,Total Population Under 18, Total Population Under 18, Total Population of 18+, Total Population of 18+, Total Population of 18+, Per Capita Income, Median Household Income, Total Civilian Labor Force, Employed Health Insurance Coverage Ages 19-64, Renter-Occupied Housing Units, Median Rent for Occupied Housing Units, Estimate of Owner-Occupied Housing Units Without a Mortgage, Median Housing Cost, Total Population Estimate, Total Male Population Estimate, Total Male Population Estimate, Estimate of Foreign-Born Population, Estimate of Foreign-Born Population, Estimate of Ages Above 25 Years With a High School Degree, Estimate of Ages Above 25 Years With a High School Degree, Estimate of Ages Above 25 Years With a High School Degree, % Workers Taking Taxi to Work, Estimate of Population >25 With a Graduate Degree, Estimate of Population >25 With a Graduate Degree, Estimate of Voting Age Population, Estimate of Voting Age Population, Estimate of Homes Using Electric Heat, Estimate of Homes Using Gas, Estimate of Male Citizen Voting Population, Estimate of Total Households With Computers and Internet
NAME,"
DP05_0019E","
DP05_0019E",DP05_0025E,DP05_0025E,DP05_0025E,DP03_0088E,DP03_0062E,DP03_0008PE,DP03_0107E,DP04_0047E,DP04_0134E,DP04_0092E,DP04_0089E,DP05_0001E,DP05_0002E,DP05_0002E,DP02_0103E,DP02_0103E,DP02_0061E,DP02_0061E,DP02_0061E,DP03_0021PE,DP02_0065E,DP02_0065E,DP05_0087E,DP05_0087E,DP04_0065E,DP04_0063E,DP05_0088E,DP02_0150PE
CATEGORY,Social,Economic,Political,Social,Economic,Economic,Economic,Economic,Economic,Social,Social,Economic,Social,Social,Political,Social,Political,Social,Political,Social,Economic,Environmental,Political,Social,Political,Social,Environmental,Environmental,Political,Political
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",259120,259120,641082,641082,641082,24524,53067,383683,78858,112496,3.2,949,109235,51157,235800,900202,900202,460491,460491,148338,148338,58690,58690,58690,64784,64784,536316,536316,95991,149858,274789,0.2
"Altoona, PA Metro Area",609673,609673,2190380,2190380,2190380,43139,83160,1486538,144936,357247,2.34,1316,499323,206331,313200,2800053,2800053,1348594,1348594,202059,202059,110325,110325,110325,448825,448825,2080436,2080436,420369,504698,985492,1
"Amarillo, TX Metro Area",26834,26834,125314,125314,125314,30245,50449,78179,8200,19400,2.07,809,25944,18752,154300,152148,152148,75555,75555,3287,3287,4968,4968,4968,21261,21261,123660,123660,5812,6338,60634,0.2
"Ames, IA Metro Area",31677,31677,181313,181313,181313,50384,85042,111672,13220,19311,2.01,1306,48095,29103,409700,212990,212990,102830,102830,14660,14660,3987,3987,3987,43969,43969,174786,174786,9593,61247,81503,2.1
"Anchorage, AK Metro Area",20615,20615,82511,82511,82511,29922,49610,50415,5364,11556,2.14,697,17547,15784,108900,103126,103126,50916,50916,,,4192,4192,4192,11105,11105,82219,82219,4181,34743,40547,0.3
"Ann Arbor, MI Metro Area",95113,95113,297450,297450,297450,29298,58818,178363,9347,47272,2.53,893,41961,52902,123600,392563,392563,196923,196923,26079,26079,22112,22112,22112,38469,38469,278237,278237,,,139275,0
"Anniston-Oxford-Jacksonville, AL Metro Area",18444,18444,69395,69395,69395,31237,61300,48417,3440,9838,2.28,842,15913,9353,173400,87839,87839,44550,44550,2342,2342,4765,4765,4765,8599,8599,68040,68040,6070,20608,35349,0
"Appleton, WI Metro Area",23780,23780,91987,91987,91987,25219,44785,47145,8121,13649,2.15,718,16087,19381,99400,115767,115767,57675,57675,,,6813,6813,6813,9344,9344,91498,91498,25626,17215,45378,0
"Arecibo, PR Metro Area",44070,44070,185177,185177,185177,33503,69372,115666,12764,31639,2.36,1134,37081,20074,398300,229247,229247,112924,112924,15582,15582,6940,6940,6940,34534,34534,176026,176026,35538,37769,85863,0.2
"Asheville, NC Metro Area",39049,39049,158643,158643,158643,37159,71643,103046,11675,22398,2.38,1388,35773,18357,413500,197692,197692,98322,98322,7400,7400,6687,6687,6687,34219,34219,155747,155747,37383,27169,76052,0.1
"Ashtabula, OH Micro Area",41523,41523,140144,140144,140144,37253,60962,96160,12112,25203,1.9,863,31381,21524,241400,181667,181667,90260,90260,2097,2097,5941,5941,5941,27145,27145,138233,138233,17523,50767,67945,0.2
"Athens, OH Micro Area",46726,46726,191965,191965,191965,29133,53768,110524,16614,33144,2.02,778,37684,28472,119400,238691,238691,118441,118441,9809,9809,10672,10672,10672,21983,21983,185485,185485,14635,54548,91152,0.4
"Athens, TX Micro Area",248870,248870,841565,841565,841565,33131,58366,532872,27714,138383,2.28,913,179873,110409,177600,1090435,1090435,520761,520761,30790,30790,52696,52696,52696,148043,148043,820223,820223,230113,179128,384102,0.3
"Athens-Clarke County, GA Metro Area",29499,29499,99616,99616,99616,37657,70979,71432,4244,15472,2.15,862,21519,15405,261300,129115,129115,63791,63791,2946,2946,2382,2382,2382,20838,20838,98262,98262,13253,32733,48305,0.5
"Atlanta-Sandy Springs-Roswell, GA Metro Area",26300,26300,139809,139809,139809,28336,56092,79374,4560,26213,2.44,866,20784,15117,191800,166109,166109,83527,83527,5489,5489,5191,5191,5191,18420,18420,135503,135503,47223,7627,67358,0.4
"Auburn, NY Micro Area",36449,36449,135068,135068,135068,33809,68784,85494,5988,23590,2.28,815,25706,15822,166800,171517,171517,82357,82357,6761,6761,3697,3697,3697,32115,32115,129435,129435,13758,47619,61277,0.1
"Atlantic City-Hammonton, NJ Metro Area",27902,27902,141328,141328,141328,27938,52526,87525,8242,23871,2.41,925,24103,14255,185200,169230,169230,84180,84180,4605,4605,4893,4893,4893,21528,21528,133995,133995,27891,27272,66248,0.2
"Auburn-Opelika, AL Metro Area",15294,15294,67900,67900,67900,30596,56672,40942,3062,9846,2.01,725,12202,11690,171200,83194,83194,39889,39889,2769,2769,3922,3922,3922,8891,8891,67619,67619,12113,7234,32109,0.1
"Augusta-Richmond County, GA-SC Metro Area",20626,20626,84718,84718,84718,21979,42713,40265,5246,13682,2.32,647,10791,19224,107500,105344,105344,52691,52691,,,8097,8097,8097,9068,9068,84416,84416,30238,6247,40558,0.1
"Augusta-Waterville, ME Micro Area",185276,185276,563781,563781,563781,32955,66466,381697,20113,77690,2.51,1049,139285,58706,293700,749057,749057,375966,375966,40023,40023,24588,24588,24588,109210,109210,541395,541395,80165,176755,268892,0.1
"Austin-Round Rock, TX Metro Area",953269,953269,3919750,3919750,3919750,50421,94430,2798828,293059,713642,2.23,1579,797849,344272,482700,4873019,4873019,2368551,2368551,633898,633898,130601,130601,130601,911046,911046,3530869,3530869,311560,995633,1684085,2.4
"Bakersfield, CA Metro Area",61507,61507,264689,264689,264689,51415,88535,188131,12444,50620,2.35,1637,54188,27046,592000,326196,326196,163679,163679,23206,23206,5918,5918,5918,77590,77590,247368,247368,31194,93794,123939,0.1
"Baltimore-Columbia-Towson, MD Metro Area",42008,42008,134808,134808,134808,27380,51198,90161,9225,25140,2.37,762,23642,17536,170000,176816,176816,86854,86854,8150,8150,6826,6826,6826,19718,19718,125886,125886,41085,20254,60110,0.4
