CITY,%Total population 65-74,%Total population 65-74,%Total population 65-74,% 16+ Yrs not in labor force,Percetage of Labor force with Public Health Insurance,Percent of population Employed health insurance coverage ages 19-64,% of Owner Occupied Housing Units,"%homes using oil, Kerosene for heat energy",%homes using coal for heat energy,%homes with no heat,%homes using wood for heat energy,%homes using solar energy,%workers carpooling,% homes heating with coal,%foriegn born,%foriegn born,%homes heating with wood,%workers taking taxi to work,%workers taking taxi to work
NAME,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP03_0007PE,DP03_0112PE,DP03_0107PE,DP04_0046PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0067PE,DP02_0095PE,DP02_0095PE,DP04_0068PE,DP03_0021PE,DP03_0021PE
CATEGORY,Social,Political,Economic,Economic,Economic,Economic,Social,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Political,Social,Environmental,Environmental,Social
"Ashtabula, OH Micro Area",11.7,11.7,11.7,31.7,33.3,13.1,72.4,0.2,991,0.4,1479,337,15.8,1.3,4634,4634,1.9,1.3,1.3
"Athens, OH Micro Area",11.5,11.5,11.5,41.3,54.9,19.6,66.1,11.9,1185,0.6,3596,0,8.6,1.2,15022,15022,3.5,2.4,2.4
"Athens, TX Micro Area",10.5,10.5,10.5,38,23.8,7.1,69.5,0.1,86,0.5,825,143,8.4,0,49430,49430,0.2,0.5,0.5
"Athens-Clarke County, GA Metro Area",10.9,10.9,10.9,33,14.7,7.4,72,0.1,78,1.3,38,0,9.2,0.1,5399,5399,0.1,0.4,0.4
"Atlanta-Sandy Springs-Roswell, GA Metro Area",9.1,9.1,9.1,40.9,48.9,9.1,61.9,3.6,0,0.9,2183,82,7.8,0,10720,10720,3.5,3,3
"Auburn, NY Micro Area",8.7,8.7,8.7,33.2,65.8,6.8,64.3,0,0,1.3,92,0,7,0,10438,10438,0.1,0.6,0.6
"Atlantic City-Hammonton, NJ Metro Area",9.2,9.2,9.2,36,18.1,10.9,56.4,0.1,0,0.3,798,0,9.5,0,9998,9998,1.2,2.4,2.4
"Auburn-Opelika, AL Metro Area",12,12,12,42.3,39.7,10.5,70.6,28.5,1237,1.1,1609,84,6.8,3.5,1792,1792,4.6,0.1,0.1
"Augusta-Richmond County, GA-SC Metro Area",13.9,13.9,13.9,55.5,26.4,15.8,74.6,3.4,42,1,1773,0,5.7,0.1,612,612,4.1,0.8,0.8
"Augusta-Waterville, ME Micro Area",9.8,9.8,9.8,35.5,33.8,11.6,73.4,0.6,0,0.5,6180,586,8,0,58682,58682,2,0.5,0.5
"Austin-Round Rock, TX Metro Area",10,10,10,31.4,44.7,13.8,61.5,20.9,1018,0.8,11900,3141,6.4,0.1,985857,985857,0.6,8,8
