CITY,%Total population 65-74,%Total population 65-74,%Total population 65-74,% 16+ Yrs not in labor force,Percetage of Labor force with Public Health Insurance,Percent of population Employed health insurance coverage ages 19-64,% of Owner Occupied Housing Units,"%homes using oil, Kerosene for heat energy",%homes using coal for heat energy,%homes with no heat,%homes using wood for heat energy,%homes using solar energy,%workers carpooling,% homes heating with coal,%foriegn born,%foriegn born,%homes heating with wood,%workers taking taxi to work,%workers taking taxi to work
NAME,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP03_0007PE,DP03_0112PE,DP03_0107PE,DP04_0046PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0067PE,DP02_0095PE,DP02_0095PE,DP04_0068PE,DP03_0021PE,DP03_0021PE
CATEGORY,Social,Political,Economic,Economic,Economic,Economic,Social,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Political,Social,Environmental,Environmental,Social
"New Castle, PA Micro Area",9.3,9.3,9.3,29.7,39.5,12,70.5,0.3,81,0.8,7368,1407,7,0,398704,398704,0.5,2,2
"New Haven-Milford, CT Metro Area",8.7,8.7,8.7,30.3,29.1,12.1,67.5,1.3,17,1.3,107,0,11.2,0.1,3675,3675,0.3,0,0
"New Orleans-Metairie, LA Metro Area",10.6,10.6,10.6,29.3,55.4,15,59.6,0.1,0,0.5,1899,0,8.6,0,4237,4237,3.6,0.8,0.8
"New Philadelphia-Dover, OH Micro Area",10.5,10.5,10.5,42,30.2,6.2,66.3,0,0,0.9,517,0,7.6,0,12981,12981,0.3,0.2,0.2
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",8.1,8.1,8.1,37.6,57.8,22.9,62.1,0,0,1,1733,1220,10.8,0,115147,115147,1,1,1
"Niles-Benton Harbor, MI Metro Area",10.3,10.3,10.3,40.3,59.9,26.3,59.3,0,0,0.2,453,0,11.5,0,4507,4507,0.5,0.5,0.5
"North Port-Sarasota-Bradenton, FL Metro Area",11.9,11.9,11.9,39.9,32.3,10.1,79.3,0.3,0,0.5,614,48,6.6,0,3182,3182,1,0.2,0.2
"Norwich-New London, CT Metro Area",9.9,9.9,9.9,40.6,20.9,9.2,68.1,0.2,0,0.8,619,202,8.6,0,15287,15287,0.4,0.2,0.2
"Orangeburg, SC Micro Area",16.5,16.5,16.5,47.9,24.8,8.9,72.3,,,,,,9.7,,2050,2050,,0.8,0.8
"North Wilkesboro, NC Micro Area",9.5,9.5,9.5,42.1,34.5,13.7,63.1,3.7,713,1.1,1596,0,10.8,1.2,6655,6655,2.8,1.2,1.2
"Orlando-Kissimmee-Sanford, FL Metro Area",12.4,12.4,12.4,41.6,16.5,9.9,75.3,,,,,,9.7,,6192,6192,,0,0
"Oshkosh-Neenah, WI Metro Area",8.5,8.5,8.5,39.8,63.6,11.8,68.7,,,,,,13.9,,15483,15483,,1.5,1.5
"Ottawa-Peru, IL Micro Area",11.7,11.7,11.7,42.3,19.9,13.5,72.9,9.2,0,1.9,886,0,9.1,0,3943,3943,2.9,0,0
"Owensboro, KY Metro Area",13.2,13.2,13.2,41.1,49.8,15.3,72.6,0.6,0,0.6,2545,66,11.4,0,12527,12527,5,0.9,0.9
"Oak Harbor, WA Micro Area",9.8,9.8,9.8,38.8,31.5,20.9,66.2,1,0,0.3,143,0,9.4,0,2287,2287,0.3,0.8,0.8
"Ocala, FL Metro Area",11,11,11,40.7,60.9,20.8,78.5,0.9,0,0.3,1309,0,8.5,0,3386,3386,1.9,0.1,0.1
"Ocean City, NJ Metro Area",10.1,10.1,10.1,44.3,55.4,19.7,61.7,0.1,0,0.3,529,0,8.8,0,1619,1619,2.1,0,0
"Odessa, TX Metro Area",18.6,18.6,18.6,46.2,24.9,9.5,78.5,0.3,0,0.7,115,372,8.7,0,29099,29099,0,0.2,0.2
"Ogden-Clearfield, UT Metro Area",12,12,12,38.2,29.2,12.1,61.9,0,0,1,680,720,10.1,0,30858,30858,1.3,0.9,0.9
"Ogdensburg-Massena, NY Micro Area",15.7,15.7,15.7,48.9,6.8,5.9,75.8,0.2,0,2.5,48,702,10.8,0,98072,98072,0,0.6,0.6
"Oklahoma City, OK Metro Area",8.8,8.8,8.8,31,30.1,7.6,65,0.2,0,0.8,3238,268,7.6,0,179461,179461,0.4,0.7,0.7
"Olean, NY Micro Area",13.2,13.2,13.2,42.9,58.7,13.5,74.8,0.7,53,0.5,194,0,7,0.1,4196,4196,0.4,0.4,0.4
"Olympia-Tumwater, WA Metro Area",13.5,13.5,13.5,42.8,59.1,16.1,74.5,8.7,82,0.3,738,0,7.7,0.2,1034,1034,2.1,0.2,0.2
"Omaha-Council Bluffs, NE-IA Metro Area",10.5,10.5,10.5,36.3,59.3,15.9,61.4,32.9,0,0.4,2004,693,7.8,0,123344,123344,0.6,3.2,3.2
"Opelousas, LA Micro Area",11,11,11,38.2,49.1,18.3,65.9,0.1,116,0.8,336,1040,8.2,0,88550,88550,0.1,1.6,1.6
"Owosso, MI Micro Area",12.1,12.1,12.1,39,60.9,16.1,70.7,1.9,0,0.1,1171,23,6.3,0,1396,1396,3,0,0
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",9.8,9.8,9.8,35.1,47.4,15.8,51.7,13.9,3453,1.9,14436,11724,6.5,0,5849896,5849896,0.2,23.8,23.8
"Paducah, KY-IL Micro Area",12.7,12.7,12.7,39.9,57.9,14.8,75.7,1.8,0,0.4,1192,0,10.2,0,7121,7121,1.9,0.1,0.1
"Palatka, FL Micro Area",16.8,16.8,16.8,48.8,17.7,6.8,75.1,0,0,1.7,227,1565,8.8,0,117556,117556,0.1,0.2,0.2
"Palm Bay-Melbourne-Titusville, FL Metro Area",13.4,13.4,13.4,46.4,10.6,9.3,73.2,9,0,0.9,1440,0,,0,1607,1607,5.3,,
"Panama City, FL Metro Area",11.9,11.9,11.9,36.2,57.9,16.3,68.3,49.2,51,0.6,1795,360,5.8,0,19993,19993,1.6,0.8,0.8
"Parkersburg-Vienna, WV Metro Area",15.9,15.9,15.9,41.3,33.6,17.1,74,1.3,0,0.1,1644,134,9,0,5992,5992,4.4,3.1,3.1
"Pensacola-Ferry Pass-Brent, FL Metro Area",15.4,15.4,15.4,51.4,30.8,13.9,78.5,0,0,1.2,833,744,8.4,0,33440,33440,0.5,0.1,0.1
"Peoria, IL Metro Area",17.1,17.1,17.1,45.2,24.4,8.2,76.3,2.9,0,1.3,231,225,6.3,0,5031,5031,0.5,0.3,0.3
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6.2,6.2,6.2,33,36.4,9.6,64.3,,,,,,10.9,,24766,24766,,0.3,0.3
"Portland-South Portland, ME Metro Area",7.2,7.2,7.2,30.4,18.1,5.9,76.1,0,14,0.2,551,686,9.6,0,35659,35659,0.2,1.1,1.1
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",11.2,11.2,11.2,48.4,51.4,19.9,75.1,25.9,58,0.4,4606,0,9.4,0.1,4302,4302,11,0.3,0.3
"Port St. Lucie, FL Metro Area",9,9,9,34.9,30.2,10.5,63.3,0.1,112,0.5,2074,389,8.7,0,115758,115758,0.4,0.4,0.4
"Phoenix-Mesa-Scottsdale, AZ Metro Area",12.6,12.6,12.6,43.7,57.5,25.3,74.6,6.3,409,0.2,2238,43,13.8,1.3,1097,1097,7,0.3,0.3
"Pine Bluff, AR Metro Area",11.8,11.8,11.8,38,26.1,15.7,66.6,0.8,0,0.4,3291,181,8.2,0,25045,25045,2.8,1.2,1.2
"Pinehurst-Southern Pines, NC Micro Area",9.2,9.2,9.2,29.9,37.5,9.2,65.5,0.3,0,0.5,1036,135,8.1,0,74966,74966,0.3,0.6,0.6
"Pittsburgh, PA Metro Area",10.5,10.5,10.5,47.7,68.7,29.8,72.5,,,,,,11,,1257,1257,,0,0
"Pittsfield, MA Metro Area",12.2,12.2,12.2,45.1,24.4,11.5,66.2,0.2,147,1,374,0,7.6,0.4,1973,1973,1.1,0,0
"Plattsburgh, NY Micro Area",9.1,9.1,9.1,35.1,25,9.2,61.9,0.1,156,1.7,477,11719,9.3,0,572417,572417,0,1,1
"Pocatello, ID Metro Area",10.1,10.1,10.1,34.6,39.6,11.4,64.6,0.7,0,0.7,451,0,8.8,0,5432,5432,0.6,0.5,0.5
"Ponce, PR Metro Area",11.9,11.9,11.9,40.5,40.7,11.9,76.5,0.3,0,0.2,158,70,6.9,0,5494,5494,0.3,0.4,0.4
"Port Angeles, WA Micro Area",10.6,10.6,10.6,40.3,34.7,17.5,71.7,0,0,0.9,211,0,9,0,3869,3869,0.4,0.3,0.3
"Portsmouth, OH Micro Area",10.2,10.2,10.2,35.2,32.8,14.1,65.5,0,0,4,715,3528,11.1,0,187465,187465,0.3,0.7,0.7
"Pottsville, PA Micro Area",12.3,12.3,12.3,42.4,80,14.4,72.4,,,,,,7.4,,971,971,,0.8,0.8
"Prescott, AZ Metro Area",13.9,13.9,13.9,53,14.3,19.2,79.6,,,,,,8.1,,2969,2969,,0.3,0.3
"Providence-Warwick, RI-MA Metro Area",13.7,13.7,13.7,42.6,20.9,10.2,76.2,0,67,1.6,90,1277,7,0,62794,62794,0,0.9,0.9
"Provo-Orem, UT Metro Area",11,11,11,36.3,27.7,9,66.2,0,49,1.4,191,1176,10.4,0.1,12136,12136,0.2,1,1
"Pueblo, CO Metro Area",12.4,12.4,12.4,44.6,49.3,18.4,75.5,,,,,,6.1,,1338,1338,,0.6,0.6
"Punta Gorda, FL Metro Area",10.4,10.4,10.4,37.9,30.1,11.2,68.8,0.1,57,1,995,1639,7,0,26310,26310,0.5,0.5,0.5
"Quincy, IL-MO Micro Area",11.3,11.3,11.3,38.5,43.2,13.9,74.3,0.2,13,0.5,676,0,8.4,0,12553,12553,0.4,0.8,0.8
"Racine, WI Metro Area",10.1,10.1,10.1,33.9,43.4,11.6,66.9,10.9,1859,0.6,11495,3906,6.8,0.1,734722,734722,0.5,5.7,5.7
"Raleigh, NC Metro Area",9.4,9.4,9.4,35.8,40.5,10.9,66.7,0.1,266,1.1,1620,20178,9.8,0,706866,706866,0.1,0.9,0.9
"Rapid City, SD Metro Area",11.3,11.3,11.3,52.1,63.7,19.5,67.4,,,,,,7.7,,1284,1284,,0.4,0.4
"Reading, PA Metro Area",12,12,12,40.5,35.5,8.3,77.3,,,,,,6.1,,4551,4551,,0,0
"Redding, CA Metro Area",12.6,12.6,12.6,37.5,52,11.1,70.5,5.6,695,0.4,7862,753,6.8,0.1,90993,90993,0.8,3,3
"Reno, NV Metro Area",14.1,14.1,14.1,37.7,71.3,16.1,70,30,84,0.7,2756,412,7.6,0.1,8312,8312,4.7,0.4,0.4
"Richmond, IN Micro Area",11.9,11.9,11.9,43.6,58.1,13.4,67.9,32.3,0,0.7,1796,259,8.6,0,3638,3638,5.4,0,0
"Richmond, VA Metro Area",9.9,9.9,9.9,37.8,32.6,17.2,68.9,0.5,0,0.5,336,0,9.6,0,5778,5778,0.9,1.5,1.5
"Richmond-Berea, KY Micro Area",12.4,12.4,12.4,59,71.6,42.4,70.3,,,,,,4.8,,null,null,,0.2,0.2
"Riverside-San Bernardino-Ontario, CA Metro Area",18.8,18.8,18.8,51.8,43.7,11.7,75.6,,,,,,12.3,,3209,3209,,1,1
"Roanoke, VA Metro Area",12.7,12.7,12.7,34.5,46.1,8,72.8,52.3,181,0.6,9881,992,7.9,0.1,31929,31929,4.1,0.6,0.6
"Roanoke Rapids, NC Micro Area",10,10,10,33,40,12.7,61.6,0.9,370,0.5,18835,1364,7.3,0,308213,308213,1.9,2.9,2.9
"Rochester, MN Metro Area",14.1,14.1,14.1,46.1,28.7,10.3,80.3,0.1,0,2.5,11,893,8,0,79844,79844,0,0.2,0.2
"Rochester, NY Metro Area",11.4,11.4,11.4,44.8,39.7,23.7,68.7,0.9,0,0.7,340,0,7.1,0,1142,1142,1.1,0,0
"Rockford, IL Metro Area",12.1,12.1,12.1,42.3,47.8,11.9,77.3,47.9,4670,0.5,1134,36,9.6,8,3126,3126,1.9,0.2,0.2
"Rocky Mount, NC Metro Area",9.7,9.7,9.7,37.5,41.9,17,68.4,34.1,249,0.3,3840,1086,8.6,0.1,89509,89509,1.5,4.3,4.3
"Rome, GA Metro Area",20.1,20.1,20.1,53,23.3,12.9,75.5,0.1,0,0.8,5103,964,8.2,0,16516,16516,4.6,0.3,0.3
"Roseburg, OR Micro Area",10.8,10.8,10.8,34.8,50.5,15.3,62.8,24.6,896,0.3,7205,1400,8.2,0.1,237303,237303,1.1,1.4,1.4
"Roswell, NM Micro Area",4.8,4.8,4.8,27.5,12.9,6.8,68.9,0.1,0,0.2,534,565,9.4,0,54846,54846,0.3,1.4,1.4
"Russellville, AR Micro Area",11.5,11.5,11.5,45.9,72.5,21.9,69.1,0,0,0.6,453,313,9.3,0,7669,7669,0.7,1.3,1.3
"Sacramento--Roseville--Arden-Arcade, CA Metro Area",21.4,21.4,21.4,56.7,23.4,11.1,83.1,0,0,1.5,284,882,10.4,0,21086,21086,0.3,0.2,0.2
"Saginaw, MI Metro Area",11.4,11.4,11.4,36.6,60.8,14.3,76.7,,,,,,8.3,,498,498,,1.2,1.2
"Salisbury, MD-DE Metro Area",10.7,10.7,10.7,36.8,41.9,10.1,72.1,1,0,0.1,799,0,10.6,0,10571,10571,1,0.9,0.9
"Salt Lake City, UT Metro Area",8.2,8.2,8.2,31.4,19.8,6.2,67.8,0.3,0,0.4,979,1061,6.6,0,196319,196319,0.2,0.4,0.4
"San Angelo, TX Metro Area",11.8,11.8,11.8,35.3,28,10.5,68.4,0.5,0,0.6,1377,0,7.6,0,3468,3468,2.3,0.5,0.5
"San Antonio-New Braunfels, TX Metro Area",10.4,10.4,10.4,34.7,46.5,12.5,72.1,23.1,1270,0.5,4102,154,9.4,0.8,38900,38900,2.5,1,1
"San Diego-Carlsbad, CA Metro Area",10.8,10.8,10.8,50,82.3,27,62.4,2.8,0,0,4568,607,7.3,0,7442,7442,18.6,0,0
"Sandusky, OH Micro Area",12.9,12.9,12.9,43.8,61.5,21.4,67.9,3.1,0,0.6,8232,593,11.1,0,8245,8245,11.6,0.6,0.6
"San Francisco-Oakland-Hayward, CA Metro Area",11.2,11.2,11.2,34.1,38.9,8.4,60.6,1.4,30,0.4,2914,380,13.3,0,68926,68926,1.5,1.5,1.5
"San Germ\u00E1n, PR Metro Area",5.5,5.5,5.5,35.7,17.2,18.3,48.4,1.3,0,0.5,1210,0,15.8,0,2865,2865,6.7,1.4,1.4
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",11.4,11.4,11.4,42.9,68.1,22.1,70.2,5.5,0,0,1020,0,10.4,0,1690,1690,3.7,0,0
"San Juan-Carolina-Caguas, PR Metro Area",10.2,10.2,10.2,33.1,39.3,11.8,67.6,2.9,0,0.6,3799,1444,7.6,0,106233,106233,0.7,0.7,0.7
"St. Cloud, MN Metro Area",10.1,10.1,10.1,39.1,76.8,18.1,62,,,,,,10.3,,2422,2422,,0.1,0.1
"St. George, UT Metro Area",6.3,6.3,6.3,40.6,49.6,14.6,69.4,,,,,,12.5,,17297,17297,,0,0
"St. Joseph, MO-KS Metro Area",8.3,8.3,8.3,37.4,50.4,21,65.8,0.1,228,1.5,12362,20609,11.2,0,1016297,1016297,0.9,0.7,0.7
"St. Louis, MO-IL Metro Area",12.5,12.5,12.5,41,50.5,12.4,70.3,4.5,35,0.5,3121,86,7.6,0,17756,17756,2.3,0.4,0.4
"Salem, OH Micro Area",14.7,14.7,14.7,46.1,61.8,20.4,66.5,3.4,0,0.4,325,0,7.3,0,2553,2553,1.1,0,0
"Salem, OR Metro Area",9.7,9.7,9.7,31.8,30.8,10.5,73.9,0.4,0,0.6,1785,68,8.2,0,23480,23480,1.9,2,2
"Salinas, CA Metro Area",11.4,11.4,11.4,37.8,59,16.3,67.9,3.4,1729,0.8,8371,444,7.2,0.4,65550,65550,1.8,1.1,1.1
"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",10.7,10.7,10.7,38.6,55,16.3,69.2,0.1,0,0.7,713,220,10,0,28433,28433,0.5,0.3,0.3
"Santa Cruz-Watsonville, CA Metro Area",12.4,12.4,12.4,40.6,24.1,8.2,60.8,0.6,0,0.7,296,42,5.4,0,5823,5823,0.5,0.1,0.1
"Santa Fe, NM Metro Area",10,10,10,42.7,31,10.4,65.1,,,,,,7.9,,7851,7851,,0.2,0.2
"Santa Maria-Santa Barbara, CA Metro Area",15.3,15.3,15.3,51.1,61.4,26.7,71.8,1.3,0,0.8,5106,102,13.3,0,2233,2233,10.8,0,0
"Santa Rosa, CA Metro Area",9.7,9.7,9.7,43.8,49.8,13,69.7,0,0,0.6,862,7,12.8,0,4663,4663,2.6,0,0
"Savannah, GA Metro Area",9.7,9.7,9.7,37.3,48.7,17.4,62.8,0.1,51,0.8,16938,8437,9,0,462305,462305,1.9,0.9,0.9
"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",11.8,11.8,11.8,43.1,61.2,22.8,75.5,0.9,0,0.3,1334,0,8.4,0,4100,4100,1.7,0.1,0.1
"Searcy, AR Micro Area",9,9,9,30.5,47.7,14.5,68.3,1.4,0,1,1543,0,6.4,0,16924,16924,2,1.2,1.2
"Seattle-Tacoma-Bellevue, WA Metro Area",12.3,12.3,12.3,42.7,19.4,8.2,76.1,0,126,0.7,619,596,9.3,0.2,12758,12758,0.9,1,1
"Sebastian-Vero Beach, FL Metro Area",10.4,10.4,10.4,40.4,22.4,7.3,68.8,0,0,0,549,119,9.8,0,4397,4397,1.2,0.2,0.2
"Sebring, FL Metro Area",10.8,10.8,10.8,35.2,31.9,8.5,69.7,0.1,197,0.6,8716,352,6.3,0,129604,129604,0.7,1.2,1.2
"Seneca, SC Micro Area",13,13,13,45.4,59.8,13.5,69.4,7.5,43,0,1350,51,12.4,0.1,698,698,3.3,0.2,0.2
"Sevierville, TN Micro Area",10.3,10.3,10.3,39.5,50.8,16.7,62.8,0.8,27,0.5,6150,219,10.2,0,58929,58929,3.8,1.3,1.3
"Shawnee, OK Micro Area",8.8,8.8,8.8,41.1,46.1,19,51.4,0.2,35,2.5,2240,1722,9.2,0,128498,128498,1.7,2.2,2.2
"Sheboygan, WI Metro Area",16.1,16.1,16.1,43,40.5,14.4,77.2,6.3,0,0.6,2202,1201,7.9,0,30952,30952,1.2,0.4,0.4
"Shelby, NC Micro Area",7.3,7.3,7.3,27.5,27,5.6,67.6,0.1,4,0.4,140,1467,10.7,0,163743,163743,0,1.6,1.6
"Shelton, WA Micro Area",9.9,9.9,9.9,38.4,33.6,9,65.6,,,,,,12,,7663,7663,,1,1
"Sherman-Denison, TX Metro Area",8.3,8.3,8.3,34.7,15,9,63.5,0,184,0.7,1218,3815,11.4,0,305943,305943,0.1,1.4,1.4
"Show Low, AZ Micro Area",9,9,9,33.7,39.8,14.3,54.5,0.1,287,5.3,6743,27691,8.5,0,731450,731450,0.6,2,2
"Shreveport-Bossier City, LA Metro Area",13.3,13.3,13.3,35.7,29.2,14.6,73.4,,,,,,5.3,,1053,1053,,1,1
"Sierra Vista-Douglas, AZ Metro Area",11,11,11,39.1,9.6,16.5,62.3,,,,,,8.8,,8322,8322,,0,0
"Sioux City, IA-NE-SD Metro Area",9.9,9.9,9.9,33.9,38.1,10.8,56.2,0.1,281,2.8,4384,16962,8.2,0,1449397,1449397,0.3,7.8,7.8
"Sioux Falls, SD Metro Area",11.4,11.4,11.4,55.5,74.3,45.1,68.6,,,,,,4.9,,null,null,,0,0
"Somerset, PA Micro Area",8.3,8.3,8.3,32.9,36.7,9.4,54.9,0.1,0,1.8,1644,7336,8.9,0,788197,788197,0.2,2,2
"South Bend-Mishawaka, IN-MI Metro Area",11.7,11.7,11.7,50.8,66,30.6,67.3,0,103,87.3,0,5985,6.7,0,null,null,0,1.1,1.1
"Spartanburg, SC Metro Area",13.2,13.2,13.2,40.7,45.8,9.9,61.3,0.1,25,1.1,2642,1737,8.2,0,27900,27900,2.4,0.3,0.3
"Springfield, IL Metro Area",11.6,11.6,11.6,38.2,39.8,14.4,60.3,0.5,0,1.5,4308,975,8.9,0,47869,47869,4.5,2.5,2.5
"Springfield, MA Metro Area",16.5,16.5,16.5,42,43.6,17.2,69.7,0,0,0.3,2770,1308,8.8,0,18947,18947,3.8,0.9,0.9
"Springfield, MO Metro Area",9.1,9.1,9.1,37.4,33.3,16.5,50.8,0,0,3.9,497,1377,10.8,0,93559,93559,0.3,2,2
"Springfield, OH Metro Area",13.1,13.1,13.1,36.2,43.2,15,61.5,0,49,1,5746,1664,8.3,0,79149,79149,3,0.9,0.9
"State College, PA Metro Area",9.4,9.4,9.4,36,26.1,8.3,62.7,0.1,0,1,79,633,11.2,0,27033,27033,0,1,1
"Statesboro, GA Micro Area",11.7,11.7,11.7,38.2,48.2,13.8,65.9,12.9,4558,0.4,3507,84,10.7,1.9,41402,41402,1.5,0.8,0.8
"Staunton-Waynesboro, VA Metro Area",9.2,9.2,9.2,42.6,62.1,12.1,67.2,,,,,,9.1,,1624,1624,,0.3,0.3
"Stevens Point, WI Micro Area",8.7,8.7,8.7,31.4,39.7,9.4,59.8,1.6,0,0.8,21018,2825,8,0,837093,837093,1.3,4.6,4.6
"Stillwater, OK Micro Area",17.7,17.7,17.7,51.3,22.5,7.3,80.4,,,,,,11.6,,21272,21272,,0.4,0.4
"Stockton-Lodi, CA Metro Area",16.8,16.8,16.8,57,22.9,14.8,79.9,0,88,3.1,73,572,13.5,0.2,11177,11177,0.2,0.2,0.2
"Sumter, SC Metro Area",15.2,15.2,15.2,49.9,4.6,8.9,74.4,,,,,,8.8,,3530,3530,,0.5,0.5
"Sunbury, PA Micro Area",12.4,12.4,12.4,34.3,23.8,7.4,68,,,,,,11.7,,6746,6746,,0.1,0.1
"Spokane-Spokane Valley, WA Metro Area",9.6,9.6,9.6,49.3,48.2,12.7,67.8,,,,,,9.9,,1727,1727,,0,0
"Syracuse, NY Metro Area",12.1,12.1,12.1,35.2,32.3,9.4,71.7,1.6,0,0.3,912,0,9.2,0,6385,6385,1.8,0.3,0.3
"Talladega-Sylacauga, AL Micro Area",12,12,12,42.2,47,12.5,70.1,1.7,0,1,338,46,7.7,0,2398,2398,0.9,0,0
"Tallahassee, FL Metro Area",15.5,15.5,15.5,50.4,44.1,12.3,82.5,0.6,0,0.6,3115,86,9,0,4849,4849,11.5,2,2
"Tampa-St. Petersburg-Clearwater, FL Metro Area",11.1,11.1,11.1,39.2,8.6,7.5,68.9,0,0,0,920,111,8.6,0,11844,11844,1.7,0.1,0.1
"Terre Haute, IN Metro Area",11.9,11.9,11.9,52.2,74.4,20.9,71.3,0.3,41,0.4,12244,493,12,0.1,2611,2611,29.6,0.1,0.1
"Texarkana, TX-AR Metro Area",10.6,10.6,10.6,40.1,62.9,23.9,61.6,0.1,0,0.6,292,206,7.6,0,12277,12277,0.2,0.5,0.5
"The Villages, FL Metro Area",13.7,13.7,13.7,51.4,75.7,26.1,71.9,0,0,0.7,895,100,9.1,0,14015,14015,1.8,0.1,0.1
"Toledo, OH Metro Area",10.1,10.1,10.1,32.6,43,9.8,67.3,1,0,0.7,364,0,12,0,16028,16028,0.6,0.4,0.4
"Topeka, KS Metro Area",9.4,9.4,9.4,25.4,43.4,6.9,67.5,0.7,10,0.8,200,0,5.6,0,16687,16687,0.2,0.6,0.6
"Torrington, CT Micro Area",11.4,11.4,11.4,48.3,93.6,24.1,67.1,,,,,,12.3,,1324,1324,,0.1,0.1
"Traverse City, MI Micro Area",13.6,13.6,13.6,48,19.9,13.4,78.7,36.4,2414,0.6,1850,0,9.1,8.2,496,496,6.3,0.2,0.2
"Trenton, NJ Metro Area",10.6,10.6,10.6,36.8,45,13,68.9,0.6,0,0.4,1639,0,12.2,0,22465,22465,1.3,1,1
"Twin Falls, ID Metro Area",9.9,9.9,9.9,37.6,21,8.4,71.7,0.6,0,0.8,712,515,9.2,0,28622,28622,0.5,0.2,0.2
"Truckee-Grass Valley, CA Micro Area",11,11,11,38.9,56.9,17.1,65.9,1.3,32,0.2,9023,148,7.8,0,28464,28464,3.8,1.6,1.6
"Tucson, AZ Metro Area",11.6,11.6,11.6,39.5,60.6,11.1,74.3,0,0,0.3,250,0,5.8,0,7296,7296,0.3,1.1,1.1
"Tullahoma-Manchester, TN Micro Area",11.4,11.4,11.4,40.5,46.5,21.5,63.9,27.2,100,1.4,8290,1583,9.3,0,62933,62933,3,1.5,1.5
"Tulsa, OK Metro Area",10,10,10,38.9,16.5,8.9,62.5,0.1,155,0.3,7464,167,8.8,0.1,16002,16002,3.7,0.4,0.4
"Tupelo, MS Micro Area",11.9,11.9,11.9,41.7,37.2,14.8,68,3.9,0,0.3,504,0,7.8,0,3274,3274,0.9,0.8,0.8
"Tuscaloosa, AL Metro Area",9.4,9.4,9.4,46.3,49,8.9,60.9,19.2,713,0.4,2180,92,6.6,1.2,13835,13835,3.6,2.7,2.7
"Tyler, TX Metro Area",7.1,7.1,7.1,41.2,0,10,46.9,0,0,2.3,354,64,10.2,0,2438,2438,1.1,0,0
"Ukiah, CA Micro Area",11.8,11.8,11.8,38,39.1,16.4,69.1,5.6,0,1.1,2012,211,9.3,0,4192,4192,3.9,0.1,0.1
"Valdosta, GA Metro Area",11.2,11.2,11.2,35.1,27,11.4,66.9,0.9,0,0,1462,0,7.5,0,2060,2060,4.9,0.2,0.2
"Vallejo-Fairfield, CA Metro Area",8.2,8.2,8.2,41.4,40.4,9.7,50.5,,,,,,8.3,,5024,5024,,1,1
"Urban Honolulu, HI Metro Area",7.9,7.9,7.9,37,49.1,20.1,63.3,0,0,1.7,2558,5414,14.9,0,199734,199734,1.1,0.9,0.9
"Utica-Rome, NY Metro Area",11.1,11.1,11.1,45.1,35.6,16.9,70.8,1.7,0,1,215,179,7.7,0,2532,2532,0.4,0.1,0.1
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",12.9,12.9,12.9,44.6,45.5,12,74.4,28.8,1707,0.8,835,60,6.8,4.4,976,976,2.2,0.5,0.5
"Waterloo-Cedar Falls, IA Metro Area",11.3,11.3,11.3,37.9,54.6,16.3,67.4,6,1088,0.7,6347,82,7.7,0.4,35889,35889,2.3,1.9,1.9
"Victoria, TX Metro Area",11.8,11.8,11.8,47.3,52.4,13.2,66.3,0,0,1.9,454,0,,0,1471,1471,1.3,,
"Vineland-Bridgeton, NJ Metro Area",9.5,9.5,9.5,38.4,17.4,7.3,57.8,0.6,27,1.1,551,383,10,0,23700,23700,0.4,1,1
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",11.3,11.3,11.3,38.9,27.9,8.6,67,0.1,120,1.6,1122,8015,8.2,0,515887,515887,0.1,0.7,0.7
"Visalia-Porterville, CA Metro Area",10.9,10.9,10.9,44.8,62.4,18.6,68.9,0.9,0,0.4,2198,230,11.5,0,2771,2771,3,0.5,0.5
"Kalamazoo-Portage, MI Metro Area",11,11,11,48.7,38.7,11.9,65.7,,,,,,9.2,,4510,4510,,0.5,0.5
"Kapaa, HI Micro Area",29.6,29.6,29.6,73.6,53.7,15.8,89,,,,,,7.2,,8770,8770,,0,0
"Kalispell, MT Micro Area",11.1,11.1,11.1,37.1,42.9,14.5,66.3,0.4,0,0.8,1805,0,9,0,23811,23811,0.7,0.4,0.4
"Kankakee, IL Metro Area",11.5,11.5,11.5,39.6,11,8.5,69.6,0.1,0,0.3,2228,0,9.3,0,9407,9407,2.3,0.1,0.1
"Kansas City, MO-KS Metro Area",14.3,14.3,14.3,33.3,25.8,13.2,78.7,52.9,97,0.2,3205,245,7.6,0.1,21811,21811,4.2,1,1
"Keene, NH Micro Area",14.8,14.8,14.8,40.4,30.1,13.1,82.1,1,0,0.8,3440,29,7,0,2430,2430,5.2,0.8,0.8
