CITY,Total Population 65-74 %,Total Population 65-74 %,Total Population 65-74 %,16+ Yrs Not in Labor Force %,Percetage of Labor Force with Public Health Insurance,Percent of Population Employed Health Insurance Coverage Ages 19-64,of Owner Occupied Housing Units %,"Homes Using Oil, Kerosene for Heat Energy %",Homes Using Coal for Heat Energy %,Homes with No Heat %,Homes Using Wood for Heat Energy %,Homes Using Solar Energy %,Workers Carpooling %,Homes Heating with Coal %,Foriegn Born %,Foriegn Born %,Homes Heating with Wood %,Workers Taking Taxi to Work %,Workers Taking Taxi to Work %.

NAME,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP03_0007PE,DP03_0112PE,DP03_0107PE,DP04_0046PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0067PE,DP02_0095PE,DP02_0095PE,DP04_0068PE,DP03_0021PE,DP03_0021PE
CATEGORY,Social,Political,Economical,Economic,Economic,Economic,Social,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Political,Social,Environmental,Environmental,Social
"Bellingham, WA Metro Area",10.7,10.7,10.7,39.5,56.6,13.3,61.4,1.8,0,0.3,3487,374,9.4,0,46.6,46.6,4,2.2,2.2
"Bend-Redmond, OR Metro Area",12.6,12.6,12.6,37.2,34.5,12.2,66,0.8,0,0.3,6550,255,8.3,0,46.6,46.6,8.2,0.1,0.1
"Billings, MT Metro Area",10.2,10.2,10.2,34.6,37.3,12.3,67.7,0.2,0,0.9,1205,0,9.2,0,39.7,39.7,1.7,0.8,0.8
"Binghamton, NY Metro Area",10.4,10.4,10.4,40.6,53.2,16.4,66.3,14.9,1384,0.5,3605,187,9.7,1.4,49.1,49.1,3.8,3.5,3.5
"Birmingham-Hoover, AL Metro Area",9.7,9.7,9.7,40.6,22,4.9,69.3,0.1,161,0.4,2210,59,8.8,0,60.9,60.9,0.5,0.6,0.6
"Bismarck, ND Metro Area",8.9,8.9,8.9,28.9,33.6,6.5,69.1,0.3,285,1.3,220,0,8.8,0.5,23.2,23.2,0.4,0.3,0.3
"Blacksburg-Christiansburg-Radford, VA Metro Area",9.8,9.8,9.8,49,28.3,4.3,64.7,5.9,0,0.4,3399,0,8.8,0,72.5,72.5,5,2,2
"Bay City, MI Metro Area",11.4,11.4,11.4,41.7,49.3,14.1,75.2,0.4,0,0.2,1024,35,6,0,32.6,32.6,2.3,0.3,0.3
"Beaumont-Port Arthur, TX Metro Area",8.5,8.5,8.5,44.6,11.8,6.3,65.8,0,0,0.3,434,93,9.2,0,61.4,61.4,0.3,0.5,0.5
"Beaver Dam, WI Micro Area",9.8,9.8,9.8,33.1,39.6,9.4,68.5,2.6,0,0.9,1217,0,8.6,0,47.6,47.6,3.5,0.1,0.1
"Beckley, WV Metro Area",12.6,12.6,12.6,51.5,53.2,20.9,74.7,0.5,154,0,1044,0,12.1,0.3,12.8,12.8,2.1,0,0
"Bloomington, IL Metro Area",7.8,7.8,7.8,35.7,35.7,8,66.1,0.1,0,0.4,158,0,9.4,0,60.6,60.6,0.2,0.7,0.7
"Bloomington, IN Metro Area",8.1,8.1,8.1,38.1,25.3,7.8,57.4,0.2,141,0.1,1700,219,11.2,0.2,72.2,72.2,2.6,2.5,2.5
"Bloomsburg-Berwick, PA Metro Area",11.1,11.1,11.1,40.4,55.9,9.9,70.5,26.3,1554,0.5,1489,46,7,4.5,51.4,51.4,4.3,0.4,0.4
"Bluefield, WV-VA Micro Area",13.2,13.2,13.2,52.8,59.7,13.5,70.1,4.3,124,0.8,2153,0,7.1,0.3,39.5,39.5,5,0.1,0.1
"Boise City, ID Metro Area",9,9,9,35.8,17.6,6.4,71.1,0.4,158,0.2,7543,74,8.2,0.1,53.1,53.1,2.8,0.3,0.3
"Boston-Cambridge-Newton, MA-NH Metro Area",9,9,9,31.2,42.7,12.9,60.9,23.8,1164,0.5,13895,1094,7,0.1,47.4,47.4,0.8,13.2,13.2
