CITY,Total Population 65-74 %,Total Population 65-74 %,Total Population 65-74 %,16+ Yrs Not in Labor Force %,Percetage of Labor Force with Public Health Insurance,Percent of Population Employed Health Insurance Coverage Ages 19-64,of Owner Occupied Housing Units %,"Homes Using Oil, Kerosene for Heat Energy %",Homes Using Coal for Heat Energy %,Homes with No Heat %,Homes Using Wood for Heat Energy %,Homes Using Solar Energy %,Workers Carpooling %,Homes Heating with Coal %,Foriegn Born %,Foriegn Born %,Homes Heating with Wood %,Workers Taking Taxi to Work %,Workers Taking Taxi to Work %.

NAME,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP03_0007PE,DP03_0112PE,DP03_0107PE,DP04_0046PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0067PE,DP02_0095PE,DP02_0095PE,DP04_0068PE,DP03_0021PE,DP03_0021PE
CATEGORY,Social,Political,Economical,Economic,Economic,Economic,Social,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Political,Social,Environmental,Environmental,Social
"Ottawa-Peru, IL Micro Area",11.1,11.1,11.1,38.3,41.6,14.9,71.8,0.3,0,0.3,784,0,7.1,0,45.9,45.9,1.3,0,0
"Owensboro, KY Metro Area",9.9,9.9,9.9,39.2,53.2,15,69.4,0,0,0.5,380,0,7.4,0,59.9,59.9,0.8,0.1,0.1
"Oak Harbor, WA Micro Area",15,15,15,45.2,53.1,19.2,73.1,1.5,0,0.2,3157,41,10.3,0,27.5,27.5,9.1,3.2,3.2
"Ocala, FL Metro Area",15.5,15.5,15.5,53.7,32.1,9.4,75.6,0.3,0,0.6,315,85,9.3,0,33.1,33.1,0.2,0.4,0.4
"Ocean City, NJ Metro Area",14.7,14.7,14.7,42.4,22.8,10.7,80.4,4.9,0,0.6,324,343,6.8,0,33.5,33.5,0.8,1.5,1.5
"Odessa, TX Metro Area",5.6,5.6,5.6,32.5,13.3,5.2,64.7,,,,,,12.6,,66.1,66.1,,0.5,0.5
"Ogden-Clearfield, UT Metro Area",6.7,6.7,6.7,31.8,20.6,5.1,75.9,0,45,0.2,894,267,9.9,0,54.7,54.7,0.4,1.5,1.5
"Ogdensburg-Massena, NY Micro Area",9.9,9.9,9.9,46.2,37,19.4,71.6,29.5,54,1.7,4743,11,9.9,0.1,55.6,55.6,11.4,0.5,0.5
"Oklahoma City, OK Metro Area",8.3,8.3,8.3,34.2,20,6.4,63.1,0.1,8,0.3,2519,0,8.8,0,62.4,62.4,0.5,0.6,0.6
"Olean, NY Micro Area",11,11,11,41.6,66.3,16.7,71.5,5.7,288,0.1,3413,0,9.5,0.9,34.8,34.8,10.6,0.2,0.2
"Olympia-Tumwater, WA Metro Area",11,11,11,38.5,38.5,12.8,64.1,0.6,137,0.2,5061,165,11.2,0.1,36.6,36.6,4.6,1.6,1.6
"Omaha-Council Bluffs, NE-IA Metro Area",8.3,8.3,8.3,30.1,23.8,6.2,64.9,0.2,0,0.4,1211,50,8.4,0,59,59,0.3,0.7,0.7
"Opelousas, LA Micro Area",9.4,9.4,9.4,48.2,69,15.3,65.5,,,,,,10,,85.9,85.9,,0.7,0.7
"Owosso, MI Micro Area",11,11,11,39.6,29.2,13,72.6,3,0,1.2,1963,0,8.8,0,31,31,7,0.4,0.4
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",8.9,8.9,8.9,35,32.6,11.8,62.5,0.1,42,7.1,1270,1234,10.7,0,49.5,49.5,0.5,1.1,1.1
"Paducah, KY-IL Micro Area",10.6,10.6,10.6,45.1,58.3,23.2,68.1,,,,,,8.6,,43.2,43.2,,0.7,0.7
"Palatka, FL Micro Area",14.3,14.3,14.3,53.3,14.5,12.9,77.5,,,,,,12.8,,69.4,69.4,,0,0
"Palm Bay-Melbourne-Titusville, FL Metro Area",12.8,12.8,12.8,45.8,21.6,9.3,75.7,0,0,1,306,576,8.8,0,32.7,32.7,0.1,0.7,0.7
"Panama City, FL Metro Area",10.1,10.1,10.1,40.7,38.4,13.6,68.7,,,,,,9.9,,52,52,,0.6,0.6
"Parkersburg-Vienna, WV Metro Area",11.7,11.7,11.7,45.4,70.5,17.7,73.1,,,,,,9.2,,42.4,42.4,,1,1
"Pensacola-Ferry Pass-Brent, FL Metro Area",9.7,9.7,9.7,40.5,39.7,8.6,68,0,0,0.6,762,0,9.6,0,37.3,37.3,0.4,0.6,0.6
"Peoria, IL Metro Area",10.1,10.1,10.1,39.6,45.6,11.1,69.5,0.2,0,0.3,505,91,7.2,0,44.6,44.6,0.3,0.7,0.7
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",9.1,9.1,9.1,34.8,42,10.4,66.6,12.4,1584,0.5,12965,2624,7.2,0.1,44.2,44.2,0.6,9.8,9.8
"Portland-South Portland, ME Metro Area",11.6,11.6,11.6,31.9,24.4,6.8,70.4,60.1,422,0.3,11752,420,8.2,0.2,47.7,47.7,5.1,1,1
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",9.2,9.2,9.2,32.8,38.4,10.7,62.4,1.5,0,0.4,27065,1116,8.8,0,49.6,49.6,2.8,6.1,6.1
"Port St. Lucie, FL Metro Area",13.9,13.9,13.9,48.4,23.2,9.2,75.8,0.2,0,1.4,316,121,8.7,0,34.5,34.5,0.2,0.4,0.4
"Phoenix-Mesa-Scottsdale, AZ Metro Area",9.1,9.1,9.1,36.8,41.9,11.3,63.9,0.1,182,0.9,2526,12437,11.2,0,57,57,0.1,1.8,1.8
"Pine Bluff, AR Metro Area",10.5,10.5,10.5,56.3,34.2,13.6,63,0,0,0.7,378,0,6.3,0,53.7,53.7,1.2,0.3,0.3
"Pinehurst-Southern Pines, NC Micro Area",12.9,12.9,12.9,42.3,68.6,11.2,76.6,2.7,0,0.6,318,0,10.6,0,48.2,48.2,0.8,0,0
"Pittsburgh, PA Metro Area",11.1,11.1,11.1,37,42.1,9.7,69.6,6.4,1930,0.3,11659,172,8.3,0.2,45.6,45.6,1.2,5.6,5.6
"Pittsfield, MA Metro Area",13.2,13.2,13.2,39.5,49.6,14.9,68.2,30,52,0.5,2278,200,7,0.1,28.1,28.1,4.1,0.5,0.5
"Plattsburgh, NY Micro Area",9.7,9.7,9.7,46.7,24.9,16,68.4,36.2,116,0.4,2723,0,9,0.4,46.3,46.3,8.7,0.2,0.2
"Pocatello, ID Metro Area",8.4,8.4,8.4,38.8,21.3,6,65.3,0.8,0,0,811,0,8,0,57.5,57.5,2.6,1.7,1.7
"Ponce, PR Metro Area",11.8,11.8,11.8,60,75.4,38.9,69.4,0,0,86.8,0,624,7.1,0,null,null,0,0,0
"Port Angeles, WA Micro Area",16.8,16.8,16.8,49.5,52.4,12.7,72.3,,,,,,8.3,,44.3,44.3,,0.9,0.9
"Portsmouth, OH Micro Area",10.1,10.1,10.1,51.4,52.3,22.2,66.3,2.4,0,0.3,722,0,10.8,0,28.8,28.8,2.5,0,0
"Pottsville, PA Micro Area",11.4,11.4,11.4,43.6,61.9,10.1,75.7,45.2,6209,1.5,1867,79,10,10.6,28.6,28.6,3.2,0.5,0.5
"Prescott, AZ Metro Area",18.9,18.9,18.9,52.3,53.8,15,73.3,0.2,0,0.3,5496,303,9.3,0,40.6,40.6,5.5,0,0
"Providence-Warwick, RI-MA Metro Area",9.8,9.8,9.8,35.8,45.8,15.3,61.5,27.3,132,0.4,6870,1002,8.5,0,37.4,37.4,1.1,2.4,2.4
"Provo-Orem, UT Metro Area",4.6,4.6,4.6,31.2,16.5,5.5,69.7,0,215,0,1317,475,11.3,0.1,55.4,55.4,0.8,2,2
"Pueblo, CO Metro Area",10.7,10.7,10.7,43.9,59.8,26.1,65.3,0.2,0,0.5,762,97,9.6,0,56.4,56.4,1.2,0.7,0.7
"Punta Gorda, FL Metro Area",21.3,21.3,21.3,59.8,45.6,11.7,83.4,,,,,,6.4,,32.2,32.2,,0.6,0.6
"Quincy, IL-MO Micro Area",9.9,9.9,9.9,34.1,69.8,12.8,72.2,0,0,1.4,698,0,9.1,0,25.7,25.7,2.3,0.7,0.7
"Racine, WI Metro Area",9.6,9.6,9.6,36.7,52.6,11.1,66.4,1.1,0,0.6,207,0,6.1,0,51.3,51.3,0.3,1.6,1.6
"Raleigh, NC Metro Area",7.7,7.7,7.7,30.7,8.5,5.2,65.1,0.4,0,0.4,1706,195,8.9,0,55.7,55.7,0.3,0.9,0.9
"Rapid City, SD Metro Area",11.1,11.1,11.1,34.1,4.3,7,70.2,0.5,0,0.3,2216,0,11,0,57.4,57.4,3.8,0.5,0.5
"Reading, PA Metro Area",9.7,9.7,9.7,34.5,40.3,10,71.3,26.7,2204,0.3,4239,71,9.6,1.4,50.1,50.1,2.7,2,2
"Redding, CA Metro Area",11.9,11.9,11.9,47.6,54.3,16.4,65.1,2.6,0,0.2,8086,227,10.1,0,52.9,52.9,11.9,0.8,0.8
"Reno, NV Metro Area",10.4,10.4,10.4,33.2,32.5,9.2,58.2,2.2,0,0.5,2719,269,12.3,0,50,50,1.4,1.7,1.7
"Richmond, IN Micro Area",10.4,10.4,10.4,41.6,65.1,11.5,64.9,4.1,106,0,774,0,8,0.4,55.6,55.6,2.7,0.2,0.2
"Richmond, VA Metro Area",9.4,9.4,9.4,34.4,21.5,6.5,65.6,4.4,104,0.4,6414,301,8.7,0,53,53,1.3,1.7,1.7
"Richmond-Berea, KY Micro Area",8.9,8.9,8.9,38.8,32,17.7,61.9,0.1,212,0.5,1063,60,12,0.5,54.9,54.9,2.7,0.1,0.1
"Riverside-San Bernardino-Ontario, CA Metro Area",7.7,7.7,7.7,39.1,54.1,19,64.6,0.1,167,2.3,12895,10622,10.9,0,47.3,47.3,0.9,1.2,1.2
"Roanoke, VA Metro Area",11.9,11.9,11.9,39.9,23.9,6.8,67.5,4.5,0,0.4,3412,0,6.2,0,60.6,60.6,2.7,1.7,1.7
"Roanoke Rapids, NC Micro Area",12.4,12.4,12.4,50.3,28.3,5.5,63.3,4.3,0,0.3,459,0,13.2,0,66.6,66.6,1.7,0.3,0.3
"Rochester, MN Metro Area",9.2,9.2,9.2,30.2,46.4,10.4,73.1,0.5,7,0.6,1893,90,11.8,0,46.8,46.8,2.1,4.6,4.6
"Rochester, NY Metro Area",10.2,10.2,10.2,37.9,46.8,13.8,68.2,4.7,1308,0.5,9706,334,7.9,0.3,43.7,43.7,2.3,2.2,2.2
"Rockford, IL Metro Area",9.8,9.8,9.8,35,53.8,13.1,68.9,0.1,82,0.3,326,0,10.8,0.1,54.9,54.9,0.2,0.9,0.9
"Rocky Mount, NC Metro Area",11.4,11.4,11.4,38.9,35.5,11.8,66,1,0,0.2,384,0,8.6,0,64.1,64.1,0.7,1.1,1.1
"Rome, GA Metro Area",9.4,9.4,9.4,48.7,18.3,5.3,60.2,,,,,,8,,61,61,,0.3,0.3
"Roseburg, OR Micro Area",14.7,14.7,14.7,48.4,44.1,18.5,70.1,3,0,0.4,6589,114,11.4,0,45.5,45.5,14.4,0.1,0.1
"Roswell, NM Micro Area",9.1,9.1,9.1,45,53.5,30.9,63.3,,,,,,11.4,,46.2,46.2,,1,1
"Russellville, AR Micro Area",9.1,9.1,9.1,45,19.3,14.2,71.6,,,,,,9.8,,76.3,76.3,,0.3,0.3
"Sacramento--Roseville--Arden-Arcade, CA Metro Area",9.1,9.1,9.1,38.3,47,15.2,60.7,0.1,239,0.7,15012,5618,9.2,0,43,43,1.8,2.2,2.2
"Saginaw, MI Metro Area",10.9,10.9,10.9,43,56.7,20.5,70.5,1.2,27,0.6,2004,43,11.3,0,32.9,32.9,2.5,0.3,0.3
"Salisbury, MD-DE Metro Area",14.5,14.5,14.5,43.8,52.1,17.3,74,9.9,152,0.3,2766,521,8.3,0.1,62.5,62.5,1.7,0.7,0.7
"Salt Lake City, UT Metro Area",6.6,6.6,6.6,29,20.7,4,67.4,0.1,124,0.2,1159,503,12,0,60.2,60.2,0.3,3.2,3.2
"San Angelo, TX Metro Area",9.5,9.5,9.5,35.5,6.6,7.3,62.5,,,,,,8.8,,52,52,,0,0
"San Antonio-New Braunfels, TX Metro Area",7.8,7.8,7.8,36.7,19.6,7.1,62.3,0.1,39,0.7,1160,1521,11.2,0,58.4,58.4,0.1,1.8,1.8
"San Diego-Carlsbad, CA Metro Area",8.1,8.1,8.1,34.1,39.7,14.6,53.1,0.1,183,4.4,8466,16430,8.8,0,44.5,44.5,0.7,2.6,2.6
"Sandusky, OH Micro Area",12.3,12.3,12.3,39.5,31.4,15.2,70.8,0.7,0,0.7,1003,0,6.3,0,33,33,3.2,1.4,1.4
"San Francisco-Oakland-Hayward, CA Metro Area",9,9,9,31.9,33.9,10.4,55,0.1,335,2.5,6072,11617,9.6,0,42.2,42.2,0.4,17.3,17.3
"San Germ\u00E1n, PR Metro Area",13.3,13.3,13.3,64.6,76.6,32.9,69.9,,,,,,5,,null,null,,0.6,0.6
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",7.5,7.5,7.5,32.2,27.8,9.1,55.7,0.1,0,0.8,3078,4685,10.3,0,46.6,46.6,0.5,4,4
"San Juan-Carolina-Caguas, PR Metro Area",11,11,11,52.2,65.1,25.7,67.3,0,92,85.8,0,2682,8.8,0,null,null,0,2.4,2.4
"St. Cloud, MN Metro Area",8.2,8.2,8.2,29.1,42.6,15.6,67.6,2.5,19,0.8,2013,0,7.3,0,57.9,57.9,2.7,2,2
"St. George, UT Metro Area",12.1,12.1,12.1,46.3,14.9,6.8,71.3,0.1,92,0.6,690,164,7.7,0.2,49.1,49.1,1.2,0.6,0.6
"St. Joseph, MO-KS Metro Area",9.8,9.8,9.8,40,12.8,6.7,67.1,0.3,25,0.5,1017,45,8.7,0.1,53.4,53.4,2.2,0.5,0.5
"St. Louis, MO-IL Metro Area",9.5,9.5,9.5,34.6,25.6,6.7,68.4,0.2,256,0.2,8189,253,6.9,0,46.6,46.6,0.7,2.1,2.1
"Salem, OH Micro Area",12.1,12.1,12.1,43.5,39.2,15.4,72.7,7.5,79,0.5,1541,0,8.2,0.2,27.3,27.3,3.7,0.7,0.7
"Salem, OR Metro Area",9.2,9.2,9.2,38.3,51.3,15.3,59.7,0.9,0,0.4,5798,43,10.9,0,64.9,64.9,3.8,1.5,1.5
"Salinas, CA Metro Area",7.9,7.9,7.9,38.7,38.9,16.9,51.3,0.2,0,2.4,1843,1340,9.6,0,71.4,71.4,1.5,1.3,1.3
"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",12.5,12.5,12.5,43.2,28.9,12.7,61.3,0,0,1.6,2210,1108,12.8,0,49.7,49.7,2.1,0.7,0.7
"Santa Cruz-Watsonville, CA Metro Area",10.7,10.7,10.7,36.3,50.9,13.7,60.1,0,0,4.3,4706,737,9.6,0,59.1,59.1,5,2.5,2.5
"Santa Fe, NM Metro Area",15.6,15.6,15.6,42.1,38.1,16.7,71.2,0.2,0,0.9,2206,741,9.4,0,71.8,71.8,3.5,0.7,0.7
"Santa Maria-Santa Barbara, CA Metro Area",8.4,8.4,8.4,37,42.8,13.2,52.4,0,0,6,803,595,14.9,0,66.3,66.3,0.5,2.4,2.4
"Santa Rosa, CA Metro Area",12,12,12,34,39,12.2,61.5,0.2,0,0.7,6947,1620,9.7,0,58.1,58.1,3.7,2.1,2.1
"Savannah, GA Metro Area",8.7,8.7,8.7,33.5,16,6.9,60.5,0.1,0,0.4,268,0,10.5,0,58.6,58.6,0.2,1.2,1.2
"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",11.1,11.1,11.1,39.3,48.4,12.9,67.5,15,5956,0.5,3862,48,9.7,2.6,55.2,55.2,1.7,1,1
"Searcy, AR Micro Area",9,9,9,47,50.2,8.9,64.3,,,,,,6.6,,77.8,77.8,,0.5,0.5
"Seattle-Tacoma-Bellevue, WA Metro Area",8.2,8.2,8.2,31.3,36.1,9.4,59.8,1.9,75,0.5,27319,549,10,0,49.9,49.9,1.8,10.7,10.7
"Sebastian-Vero Beach, FL Metro Area",17.3,17.3,17.3,51.5,4.5,8.8,82.5,,,,,,6.7,,34.7,34.7,,0.1,0.1
"Sebring, FL Metro Area",16.5,16.5,16.5,56.6,56.8,12.7,78.6,,,,,,12.3,,65.4,65.4,,1.4,1.4
"Seneca, SC Micro Area",14.5,14.5,14.5,50.8,15.3,7.6,73.4,,,,,,15.1,,17,17,,0.9,0.9
"Sevierville, TN Micro Area",12.1,12.1,12.1,42.1,13.9,15.6,68.9,1.2,0,0.2,987,0,12,0,75.4,75.4,2.7,0.4,0.4
"Shawnee, OK Micro Area",9.8,9.8,9.8,45.6,26,8.3,68.3,0,0,0.4,477,0,8.6,0,44.8,44.8,1.8,0.1,0.1
"Sheboygan, WI Metro Area",10.4,10.4,10.4,34.4,37.7,7.3,71.7,1.2,22,0.2,725,0,5.9,0,35.2,35.2,1.6,0.3,0.3
"Shelby, NC Micro Area",10.8,10.8,10.8,46.1,39.6,5.8,67.4,2.9,0,0.3,794,0,8.3,0,56.6,56.6,2.3,0,0
"Shelton, WA Micro Area",14.3,14.3,14.3,47.8,34.4,23.2,73,,,,,,18.1,,76,76,,1.1,1.1
"Sherman-Denison, TX Metro Area",10.5,10.5,10.5,39.1,20.5,6.6,67,0,9,0.2,647,12,11.5,0,60.1,60.1,1.3,0,0
"Show Low, AZ Micro Area",11,11,11,55.1,55,30,70.7,0,55,0.7,13082,0,12.2,0.2,45.5,45.5,38.2,1.4,1.4
"Shreveport-Bossier City, LA Metro Area",9.7,9.7,9.7,41.1,49.5,18.1,61.5,0,0,0.3,413,48,7.7,0,51,51,0.2,1,1
"Sierra Vista-Douglas, AZ Metro Area",12.7,12.7,12.7,51.1,37.8,29.9,71.8,0,0,0.3,989,685,7.9,0,38.5,38.5,2,0.2,0.2
"Sioux City, IA-NE-SD Metro Area",8.7,8.7,8.7,31.8,31,9.9,68.2,0.2,0,0.4,179,0,9.8,0,43.9,43.9,0.3,0.3,0.3
"Sioux Falls, SD Metro Area",8.2,8.2,8.2,25.5,34.3,5.4,67,0.5,0,1,558,0,8.3,0,58.3,58.3,0.5,0.2,0.2
"Somerset, PA Micro Area",12.3,12.3,12.3,46.3,44.5,12.8,79.2,40.7,3348,0.3,1701,0,9.2,11.6,59.3,59.3,5.9,0.2,0.2
"South Bend-Mishawaka, IN-MI Metro Area",9.7,9.7,9.7,34.8,39.4,8.2,69.9,1,35,0.4,2175,0,8.6,0,51.8,51.8,1.7,0.7,0.7
"Spartanburg, SC Metro Area",9.9,9.9,9.9,38.5,22.9,6.9,70.8,1.8,27,0.3,889,166,9.6,0,48.9,48.9,0.7,0.2,0.2
"Springfield, IL Metro Area",10.7,10.7,10.7,35.5,53.5,13.9,68.6,0,0,0.5,305,0,6.6,0,38.7,38.7,0.3,1,1
"Springfield, MA Metro Area",9.8,9.8,9.8,40.2,55.3,18.8,61.5,26.8,305,0.5,5340,608,8.3,0.1,42.5,42.5,2.2,2.2,2.2
"Springfield, MO Metro Area",9.5,9.5,9.5,40.4,16.7,5.8,62,0.1,372,0.2,8623,276,8.7,0.2,51.5,51.5,4.5,0.3,0.3
"Springfield, OH Metro Area",11.1,11.1,11.1,39.7,61.6,18,65.2,2.5,0,0.2,651,0,11.9,0,57.3,57.3,1.2,0.9,0.9
"State College, PA Metro Area",7.9,7.9,7.9,43.2,22,6.1,63.2,23.4,1160,0.8,2460,60,9.1,2,71.9,71.9,4.2,5.2,5.2
"Statesboro, GA Micro Area",6.7,6.7,6.7,41.2,28,7,49.6,,,,,,8.9,,76.9,76.9,,0.4,0.4
"Staunton-Waynesboro, VA Metro Area",12.1,12.1,12.1,41.1,9.1,8.1,68.2,11.3,61,0,2868,0,7.6,0.1,63.6,63.6,5.7,1.1,1.1
"Stevens Point, WI Micro Area",9.6,9.6,9.6,34.9,18.1,6.8,68.9,1.5,0,1,1616,10,8.6,0,68,68,5.5,0.6,0.6
"Stillwater, OK Micro Area",8,8,8,42.7,22.3,4.5,54.6,,,,,,11.4,,62.9,62.9,,0.4,0.4
"Stockton-Lodi, CA Metro Area",7.5,7.5,7.5,39.1,54.4,20.6,54.5,0.1,0,1,1733,2919,12.7,0,51.6,51.6,0.7,1.6,1.6
"Sumter, SC Metro Area",9.6,9.6,9.6,40.9,42.6,16.2,62.4,0.9,81,1.1,629,81,9.9,0.2,30.1,30.1,1.6,0.1,0.1
"Sunbury, PA Micro Area",12,12,12,41.3,62.5,9.8,70,33.4,1918,0.3,1354,0,7.9,4.9,55.5,55.5,3.5,0.5,0.5
"Spokane-Spokane Valley, WA Metro Area",10.4,10.4,10.4,39.6,53,18.7,64.8,1.5,0,0.4,11948,83,9,0,40.2,40.2,5.2,3.1,3.1
"Syracuse, NY Metro Area",9.8,9.8,9.8,38.5,48.9,13.7,68.1,6.8,1614,0.6,8322,0,8.1,0.6,43.3,43.3,3.2,2.1,2.1
"Talladega-Sylacauga, AL Micro Area",11.2,11.2,11.2,48,11.8,9.1,70.5,,,,,,4.1,,55.3,55.3,,0.6,0.6
"Tallahassee, FL Metro Area",9.2,9.2,9.2,38.3,26.1,7.4,59.1,0.5,0,0.8,704,35,7.9,0,46,46,0.5,2,2
"Tampa-St. Petersburg-Clearwater, FL Metro Area",11.1,11.1,11.1,40.3,26.2,7.9,64.7,0.2,0,1.1,758,1986,9,0,46.3,46.3,0.1,1.3,1.3
"Terre Haute, IN Metro Area",9.8,9.8,9.8,39.8,40.7,11.4,66.2,1.1,0,0.8,1752,231,10.1,0,77.4,77.4,2.6,0.1,0.1
"Texarkana, TX-AR Metro Area",9.8,9.8,9.8,47.8,34.2,8.7,63.4,,,,,,8.2,,66.7,66.7,,1.5,1.5
"The Villages, FL Metro Area",32.7,32.7,32.7,74.9,34.5,6.2,87.5,,,,,,8.6,,31.2,31.2,,0.1,0.1
"Toledo, OH Metro Area",9.6,9.6,9.6,36.6,39.3,13.3,62.4,0.4,0,0.4,2918,10,8.6,0,48.4,48.4,1.2,1.4,1.4
"Topeka, KS Metro Area",11,11,11,37.8,18.8,8.4,68.1,0.2,0,0.1,1963,55,12.2,0,60.8,60.8,2.1,0.8,0.8
"Torrington, CT Micro Area",12.3,12.3,12.3,34.3,33.6,13.9,77.7,59.4,259,0.3,3488,115,6.5,0.4,38.8,38.8,4.7,1.1,1.1
"Traverse City, MI Micro Area",13.3,13.3,13.3,39.3,45.1,11.3,79.5,2,0,0.5,3905,70,8.8,0,36.7,36.7,6.6,0.9,0.9
"Trenton, NJ Metro Area",8.8,8.8,8.8,34.3,23.5,8.3,62.6,6.3,0,0.4,150,0,13.7,0,50.2,50.2,0.1,6.7,6.7
"Twin Falls, ID Metro Area",8.4,8.4,8.4,37.5,8.1,5.5,68.8,2,0,0.3,2168,120,8,0,70.3,70.3,5.4,0.5,0.5
"Truckee-Grass Valley, CA Micro Area",17.5,17.5,17.5,45.2,24.1,21.4,74.1,0.9,0,0.8,5044,353,6.7,0,58.3,58.3,12.2,0.1,0.1
"Tucson, AZ Metro Area",11.3,11.3,11.3,42.4,50.1,16.1,62.3,0,180,1,2705,2824,10,0,50,50,0.7,2.1,2.1
"Tullahoma-Manchester, TN Micro Area",10.6,10.6,10.6,42.4,41.3,8.7,70.9,,,,,,5.2,,73.3,73.3,,0,0
"Tulsa, OK Metro Area",9.2,9.2,9.2,36.8,19.7,6.2,65,0.1,0,0.2,3552,43,9,0,62.3,62.3,0.9,0.5,0.5
"Tupelo, MS Micro Area",8.5,8.5,8.5,41.6,30,4.4,70.6,,,,,,11.1,,84.9,84.9,,0,0
"Tuscaloosa, AL Metro Area",8.7,8.7,8.7,40.7,28.6,5.9,64.3,0.2,0,0.1,951,0,9.4,0,69.4,69.4,1.1,0.2,0.2
"Tyler, TX Metro Area",9.4,9.4,9.4,38.3,15.5,4.3,67.1,,,,,,7.9,,55,55,,0.5,0.5
"Ukiah, CA Micro Area",14.1,14.1,14.1,41.6,44,25.5,58.2,4.3,40,0.6,7293,160,14.1,0.1,59,59,21.6,0,0
"Valdosta, GA Metro Area",7.8,7.8,7.8,45.6,34.4,5.1,53.4,,,,,,7.4,,46,46,,0,0
"Vallejo-Fairfield, CA Metro Area",9.6,9.6,9.6,35.8,36.3,13.2,62.9,0.1,31,0.8,941,2916,13.7,0,40.9,40.9,0.6,3.3,3.3
"Urban Honolulu, HI Metro Area",9.6,9.6,9.6,33,38.6,9.5,55.4,0,0,59.3,113,11358,14.6,0,38.2,38.2,0,7.2,7.2
"Utica-Rome, NY Metro Area",10.4,10.4,10.4,42,47.4,18.2,67.3,18.5,630,0.5,4779,99,8.4,0.6,33.3,33.3,4.2,1.3,1.3
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",7.8,7.8,7.8,28.1,31.8,7.4,63.5,3.3,539,0.5,14260,4101,9.2,0,46,46,0.6,13,13
"Waterloo-Cedar Falls, IA Metro Area",9.4,9.4,9.4,32.5,58.5,13.2,69.4,0,0,0.4,552,0,8.2,0,60.3,60.3,0.8,0.3,0.3
"Victoria, TX Metro Area",9,9,9,39.6,19.4,9.1,68.5,,,,,,10.1,,59.3,59.3,,1.3,1.3
"Vineland-Bridgeton, NJ Metro Area",9.1,9.1,9.1,45.4,53.9,16.6,67.5,21.8,0,0.2,675,5,14.9,0,53.8,53.8,1.3,2.6,2.6
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",8.7,8.7,8.7,33.7,23.4,8.5,60.6,2.2,265,0.4,2941,185,8.5,0,44.7,44.7,0.4,1.4,1.4
"Visalia-Porterville, CA Metro Area",6.7,6.7,6.7,40,70.6,29.1,58.8,0.3,0,1,1621,1281,13.7,0,68.5,68.5,1.2,1.1,1.1
"Kalamazoo-Portage, MI Metro Area",9.5,9.5,9.5,34.4,49.5,12.8,67.4,1.7,134,0.6,3229,134,8.5,0.1,58.5,58.5,2.4,1.6,1.6
"Kapaa, HI Micro Area",12.3,12.3,12.3,35.5,28.3,11.5,59.2,0,0,82.9,11,277,15.4,0,48.3,48.3,0,1.5,1.5
"Kalispell, MT Micro Area",12.4,12.4,12.4,38.4,60.6,17.3,72.1,0.4,16,0.1,3888,0,6.7,0,31,31,10.1,0,0
"Kankakee, IL Metro Area",9.4,9.4,9.4,40.1,39.4,13.7,67.1,,,,,,9,,48.1,48.1,,0.8,0.8
"Kansas City, MO-KS Metro Area",8.8,8.8,8.8,32.2,14.2,5.4,65,0.1,174,0.3,7166,151,7.8,0,57,57,0.9,0.9,0.9
"Keene, NH Micro Area",11.8,11.8,11.8,35.1,31.7,11.3,69.1,61.9,0,0.4,4391,0,6.1,0,16.4,16.4,14.5,0.4,0.4
"Kennewick-Richland, WA Metro Area",8.1,8.1,8.1,37.1,39.9,14.6,67.2,0.6,63,0.1,1682,0,10,0.1,63.8,63.8,1.7,0.7,0.7
"Key West, FL Micro Area",14.5,14.5,14.5,36.8,22.8,5.2,64,,,,,,5.3,,50.2,50.2,,0.6,0.6
"Killeen-Temple, TX Metro Area",6.8,6.8,6.8,37.4,30.4,12.2,56.2,0.1,0,0.5,624,38,12.3,0,56.4,56.4,0.4,0.1,0.1
"Kingsport-Bristol-Bristol, TN-VA Metro Area",12.7,12.7,12.7,47.9,32.7,12.6,73.4,1.2,178,0.9,2805,0,6.4,0.1,52.6,52.6,2.2,0.3,0.3
"Kingston, NY Metro Area",11.4,11.4,11.4,38.6,51.4,14.9,67.2,42.9,0,0.1,5402,372,7.3,0,42.6,42.6,7.8,3.9,3.9
"Klamath Falls, OR Micro Area",13.3,13.3,13.3,47.3,33.3,20.6,63.7,6,0,1,4336,71,12,0,68.5,68.5,16.2,0.1,0.1
"Knoxville, TN Metro Area",10.8,10.8,10.8,39.9,34.8,8.9,68.7,0.2,0,0.3,5080,67,7,0,50.5,50.5,1.5,0.7,0.7
