CITY,Total Population,TOTAL POPULATION under 18,Total Population of 18+,Renter Occupied Housing Units,Total Population Estimate,Average Household Size Renters,Median Rent for Occupied Housing Units,Median Housing Cost,Total Male Population Estimate,Estimate of Foriegn -born Population,Estimate of ages above 25yrs with a high school degree,Estimate of population >25 with a graduate degree,Estimate of voting age population,TOTAL POPULATION under 18,Total Population of 18+,Estimate of ages above 25yrs with a high school degree,Per Capita Income ,Median Household Income,TOTAL CIVILIAN labor Force,Employed health insurance coverage ages 19-64,Estimate of Owner Occupied Housing Units with a Mortgage,Estimate of Owner Occupied Housing Units without a Mortgage,Total Population of 18+,Total Population,Total Male Population Estimate,Estimate of Foriegn -born Population,Estimate of ages above 25yrs with a high school degree,%foriegn born,Estimate of population >25 with a graduate degree,Estimate of voting age population,Estimate of Male Citizen voting population ,Estimate of Total Households with comuters and Internet,Estimate of Homes using Electric Heat,Estimate of homes using Gas
NAME,,DP05_0019E,DP05_0025E,DP04_0047E,DP05_0001E,DP04_0049E,DP04_0134E,DP04_0089E,DP05_0002E,DP02_0103E,DP02_0061E,DP02_0065E,DP05_0087E,DP05_0019E,DP05_0025E,DP02_0061E,DP03_0088E,DP03_0062E,DP03_0008PE,DP03_0107E,DP04_0091E,DP04_0092E,DP05_0025E,DP05_0001E,DP05_0002E,DP02_0103E,DP02_0061E,DP02_0095PE,DP02_0065E,DP05_0087E,DP05_0088E,DP02_0150PE,DP04_0065E,DP04_0063E
CATEGORY,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Political,Political,Political,Political,Political,Political,Political,Political,Political,Political,Environmental,Environmental
"El Paso, TX Metro Area",#REF!,98820,347655,72469,446475,2.82,1859,669000,224964,19038,17850,60581,291989,98820,347655,17850,41636,84846,219734,31799,50890,27191,347655,446475,224964,19038,17850,98557,60581,291989,143374,0.5,35830,101991
"Enid, OK Metro Area",#REF!,92711,393176,70929,485887,2.48,1900,718500,238756,15645,16281,83309,353539,92711,393176,16281,49595,94295,257891,25809,80404,39253,393176,485887,238756,15645,16281,83299,83309,353539,169693,0.6,51087,117168
"Erie, PA Metro Area",#REF!,91458,318550,59997,410008,2.37,1179,238200,200479,7288,17437,60072,309816,91458,318550,17437,35606,66245,203866,18211,67226,33443,318550,410008,200479,7288,17437,23577,60072,309816,148724,0.7,,
"Eugene, OR Metro Area",#REF!,115296,452454,73748,567750,2.13,847,159100,281105,18776,23789,67502,432667,115296,452454,23789,32546,61174,279675,30280,87935,71790,452454,567750,281105,18776,23789,39856,67502,432667,212402,3.4,53114,121273
"Eureka-Arcata-Fortuna, CA Micro Area",#REF!,17863,59344,8773,77207,2.33,737,150800,37396,579,4871,6616,58289,17863,59344,4871,26005,51402,35931,4039,,,59344,77207,37396,579,4871,1457,6616,58289,27811,,,
"Evansville, IN-KY Metro Area",#REF!,846236,3165317,617805,4011553,2.18,1730,638400,2026879,300771,97402,804084,2800302,846236,3165317,97402,55152,101721,2183868,178456,691670,275321,3165317,4011553,2026879,300771,97402,802357,804084,2800302,1405967,0.7,846025,626844
"Fairbanks, AK Metro Area",#REF!,25183,138479,14982,163662,2.49,1159,279400,78325,2233,7452,27438,134502,25183,138479,7452,37969,58972,68209,5055,26621,28371,138479,163662,78325,2233,7452,13235,27438,134502,63297,0.9,64938,2511
"Elizabeth City, NC Micro Area",#REF!,17172,86124,9766,103296,2.04,917,164500,50102,1232,7572,9305,79464,17172,86124,7572,27100,48564,39199,2530,12742,23658,86124,103296,50102,1232,7572,13201,9305,79464,37662,0.3,42736,574
"Elizabethtown-Fort Knox, KY Metro Area",#REF!,14890,64313,7905,79203,2.22,755,189200,38431,,5455,9425,62015,14890,64313,5455,31613,50393,34115,4036,12548,13570,64313,79203,38431,,5455,3334,9425,62015,30533,0.8,23134,5530
"Elkhart-Goshen, IN Metro Area",#REF!,20308,79209,9424,99517,2.55,870,234600,49578,,6654,8593,76738,20308,79209,6654,28342,50239,46616,2631,,,79209,99517,49578,,6654,4190,8593,76738,37572,,,
"Fargo, ND-MN Metro Area",#REF!,16867,56152,7614,73019,2.4,809,145200,36064,309,3505,6516,55228,16867,56152,3505,25561,51451,32815,2818,9164,9872,56152,73019,36064,309,3505,1810,6516,55228,26415,0.4,10885,12930
"Faribault-Northfield, MN Micro Area",#REF!,25794,91953,13666,117747,1.79,762,197500,60002,1969,3796,14815,89068,25794,91953,3796,35569,62188,62041,4914,21713,14037,91953,117747,60002,1969,3796,6750,14815,89068,45611,0.7,7820,34908
"Farmington, MO Micro Area",#REF!,22298,78061,10218,100359,2.28,775,142100,48537,,7500,7673,76993,22298,78061,7500,25472,47150,47592,5125,15262,14816,78061,100359,48537,,7500,2141,7673,76993,36755,0.4,29602,8024
"Farmington, NM Metro Area",#REF!,13204,54411,4339,67615,2.95,978,360700,35330,1316,2513,7394,52458,13204,54411,2513,33222,77070,30092,3830,13969,6728,54411,67615,35330,1316,2513,4236,7394,52458,27134,0.7,18858,1302
"Fayetteville, NC Metro Area",#REF!,33244,106092,18232,139336,2.24,1037,222900,68681,2187,3287,15867,101106,33244,106092,3287,32249,62919,67581,3846,20480,17293,106092,139336,68681,2187,3287,8367,15867,101106,49292,1.4,34201,17477
"Fayetteville-Springdale-Rogers, AR-MO Metro Area",#REF!,27700,80447,9956,108147,2.62,649,161100,54422,,6165,7614,79309,27700,80447,6165,21023,49449,38969,5694,9820,20311,80447,108147,54422,,6165,2732,7614,79309,39694,0.4,7533,14504
"Findlay, OH Micro Area",#REF!,93243,295912,59988,389155,2.35,888,175200,187151,3574,25850,40385,291393,93243,295912,25850,28641,48164,165528,28857,53293,42567,295912,389155,187151,3574,25850,8045,40385,291393,137982,0.2,93523,58300
"Flagstaff, AZ Metro Area",#REF!,26695,99355,13733,126050,2.25,793,175000,63923,3126,6051,14764,92581,26695,99355,6051,27698,56600,48368,11521,20005,16214,99355,126050,63923,3126,6051,15939,14764,92581,47724,0.7,16991,25113
"Flint, MI Metro Area",#REF!,40550,108850,16206,149400,2.39,856,159300,75836,6263,7025,15100,100360,40550,108850,7025,30970,64232,78086,8486,23771,17444,108850,149400,75836,6263,7025,19344,15100,100360,49879,0.1,15893,35661
"Florence, SC Metro Area",#REF!,73538,209019,38008,282557,2.05,893,256700,141834,8041,8011,47291,202413,73538,209019,8011,41852,75946,160720,7853,50601,26358,209019,282557,141834,8041,8011,16571,47291,202413,101567,0.2,32400,71565
"Florence-Muscle Shoals, AL Metro Area",#REF!,14535,50888,6332,65423,2.02,634,146200,32072,,3500,4647,50542,14535,50888,3500,23914,44561,27304,6009,9576,9601,50888,65423,32072,,3500,,4647,50542,24810,,19745,3160
"Fond du Lac, WI Metro Area",#REF!,13328,60299,6145,73627,2.21,674,115300,38724,,3132,5832,60022,13328,60299,3132,26947,54352,33717,3188,11524,11446,60299,73627,38724,,3132,444,5832,60022,31644,0.6,5568,5934
"Forest City, NC Micro Area",#REF!,74171,249524,36137,323695,2.11,889,163700,159397,5034,12140,39803,240918,74171,249524,12140,33262,59416,160651,14844,56583,36054,249524,323695,159397,5034,12140,18645,39803,240918,115585,0.6,20156,98123
"Fort Collins, CO Metro Area",#REF!,78165,257699,32752,335864,2.33,900,193300,163455,8012,18671,36056,247268,78165,257699,18671,30127,60472,166042,11499,56799,38886,257699,335864,163455,8012,18671,24706,36056,247268,118811,0.6,86452,34251
"Fort Payne, AL Micro Area",#REF!,128894,464572,81228,593466,2.18,1044,351600,295756,9876,15458,80822,455062,128894,464572,15458,34092,65283,286088,41988,99623,56173,464572,593466,295756,9876,15458,27494,80822,455062,225730,1.1,108925,107519
"Fort Smith, AR-OK Metro Area",#REF!,46277,160968,24866,207245,2.06,855,155100,100180,2597,6491,31006,158036,46277,160968,6491,38216,68796,100310,9235,37452,27022,160968,207245,100180,2597,6491,6739,31006,158036,74327,0.6,,
"Frankfort, KY Micro Area",#REF!,132765,562540,98946,695305,2.13,1052,277600,332687,19166,26721,94766,540522,132765,562540,26721,35244,65520,340761,51868,114080,62762,562540,695305,332687,19166,26721,61847,94766,540522,254856,0.3,53199,114538
"Fresno, CA Metro Area",#REF!,107171,372427,67377,479598,1.99,802,194100,235303,4699,15845,62296,365904,107171,372427,15845,32628,56896,240657,14819,79805,48078,372427,479598,235303,4699,15845,13635,62296,365904,176019,0.6,82651,80770
"Gadsden, AL Metro Area",#REF!,30495,105138,16868,135633,2.22,699,144500,66028,1070,8672,10500,103709,30495,105138,8672,30098,59431,67250,9587,24107,16038,105138,135633,66028,1070,8672,2782,10500,103709,49459,0.9,10949,39295
"Gainesville, FL Metro Area",#REF!,23231,134296,19754,157527,2.17,1021,273700,82531,6666,3098,22594,127680,23231,134296,3098,35604,66789,78459,5956,21088,16676,134296,157527,82531,6666,3098,12125,22594,127680,66579,1.2,22818,14541
"Gainesville, GA Metro Area",#REF!,15220,67222,13901,82442,2.24,946,171100,40153,,3877,8177,65974,15220,67222,3877,25515,57656,41792,2868,,,67222,82442,40153,,3877,2185,8177,65974,32344,0.4,,
"Gallup, NM Micro Area",#REF!,23591,102183,14730,125774,1.97,877,245200,62293,664,4109,16141,100584,23591,102183,4109,33527,60488,64057,5179,23600,13472,102183,125774,62293,664,4109,4469,16141,100584,49256,0.2,26555,14140
"Gettysburg, PA Metro Area",#REF!,13393,57075,8401,70468,1.78,794,190100,35597,438,1451,10798,56557,13393,57075,1451,34367,65928,39654,3205,12337,9199,57075,70468,35597,438,1451,1875,10798,56557,28300,0.3,5083,17472
"Fort Wayne, IN Metro Area",#REF!,15536,66453,15276,81989,2.34,797,198700,42103,2628,2159,10823,63080,15536,66453,2159,25293,49348,39982,2175,8787,7474,66453,81989,42103,2628,2159,4982,10823,63080,31833,,,
"Glens Falls, NY Metro Area",#REF!,210579,578831,93541,789410,3.22,1484,457600,396171,40600,45148,67592,499377,210579,578831,45148,32102,80681,362594,63379,101741,46478,578831,789410,396171,40600,45148,188041,67592,499377,247181,0.2,72806,147706
"Glenwood Springs, CO Micro Area",#REF!,30270,105512,18283,135782,2.31,805,146000,65919,1544,8666,12468,103730,30270,105512,8666,24535,43210,57641,7777,18012,18374,105512,135782,65919,1544,8666,4089,12468,103730,49380,0.2,,
"Goldsboro, NC Metro Area",#REF!,18004,73262,9248,91266,2.06,646,144500,46189,,4535,9240,73121,18004,73262,4535,27432,50751,44653,4700,14657,13918,73262,91266,46189,,4535,659,9240,73121,36960,1.9,9171,11364
"Grand Forks, ND-MN Metro Area",#REF!,136679,521602,86310,658281,1.98,898,164000,323292,14336,25536,83383,507215,136679,521602,25536,35931,64296,324944,45439,108981,75059,521602,658281,323292,14336,25536,39215,83383,507215,245512,0.7,51317,164640
"Grand Island, NE Metro Area",#REF!,16909,64615,9141,81524,2.23,709,103400,38582,,6951,6446,63874,16909,64615,6951,24874,45063,32124,2149,11741,12893,64615,81524,38582,,6951,1031,6446,63874,30679,,,
"Grand Junction, CO Metro Area",#REF!,73110,314017,63849,387127,2.18,1111,223700,187324,7685,15269,58215,304870,73110,314017,15269,32718,58945,203573,10096,54124,37948,314017,387127,187324,7685,15269,24587,58215,304870,144323,0.5,135359,13855
"Grand Rapids-Wyoming, MI Metro Area",#REF!,632734,2586780,421934,3219514,2.27,1286,279600,1576052,150322,128693,509932,2413860,632734,2586780,128693,37361,62951,1612701,108280,516430,371250,2586780,3219514,1576052,150322,128693,477769,509932,2413860,1159890,0.5,1198478,71167
"Grants Pass, OR Metro Area",#REF!,39782,146587,23087,186369,2.1,770,121400,93822,878,10249,15265,145249,39782,146587,10249,28030,50440,86024,9932,29172,20765,146587,186369,93822,878,10249,3127,15265,145249,73396,0.6,31680,30991
"Great Falls, MT Metro Area",#REF!,34581,111843,19257,146424,2.43,803,140800,75296,,7946,11897,109298,34581,111843,7946,27471,50070,62567,3448,17548,18374,111843,146424,75296,,7946,4180,11897,109298,54452,0.1,,
"Greeley, CO Metro Area",#REF!,9497,126141,7500,135638,1.58,1099,323200,67644,1156,7139,25226,124167,9497,126141,7139,46088,64608,31369,1695,24369,36923,126141,135638,67644,1156,7139,7130,25226,124167,62179,0.7,,
"Green Bay, WI Metro Area",#REF!,142931,501286,94473,644217,1.99,802,155900,315080,8435,25287,81734,492671,142931,501286,25287,34260,58191,328669,38057,108507,70185,501286,644217,315080,8435,25287,25203,81734,492671,238273,0.7,55049,193472
"Greeneville, TN Micro Area",#REF!,54333,178337,29176,232670,2.16,837,154800,114485,1492,7475,32862,173231,54333,178337,7475,31746,57474,113493,6200,39191,27621,178337,232670,114485,1492,7475,8635,32862,173231,83574,0.4,22291,59782
"Greenfield Town, MA Micro Area",#REF!,32604,152396,16993,185000,2.06,1110,300100,92621,3485,6194,28859,145294,32604,152396,6194,47538,84978,99348,8363,37488,22625,152396,185000,92621,3485,6194,15771,28859,145294,71695,0.5,11894,11501
"Greensboro-High Point, NC Metro Area",#REF!,29494,125191,12108,154685,2.2,1118,270700,76932,423,4890,24972,124441,29494,125191,4890,38568,67346,74532,9989,31438,21271,125191,154685,76932,423,4890,3132,24972,124441,60995,0.4,7439,40131
"Greenville, NC Metro Area",#REF!,81925,303973,53149,385898,2.29,1341,311900,189973,25977,13453,63993,268190,81925,303973,13453,46571,87662,199109,10493,57079,33742,303973,385898,189973,25977,13453,86745,63993,268190,128779,0.4,29149,103454
"Greenville-Anderson-Mauldin, SC Metro Area",#REF!,17485,86002,10931,103487,2.1,1513,575300,50917,1348,3109,20611,83793,17485,86002,3109,46447,79519,48504,6854,21647,10101,86002,103487,50917,1348,3109,5916,20611,83793,40637,0.7,7153,13593
"Greenwood, SC Micro Area",#REF!,213308,838722,153168,1052030,2.21,1008,261600,520198,22622,40483,139300,790156,213308,838722,40483,34323,60667,501330,69427,166183,113797,838722,1052030,520198,22622,40483,120426,139300,790156,387604,0.5,189594,223220
"Gulfport-Biloxi-Pascagoula, MS Metro Area",#REF!,23693,83527,10833,107220,2.56,775,199300,52022,762,4956,10229,82007,23693,83527,4956,26757,55306,50175,5161,17535,14045,83527,107220,52022,762,4956,2616,10229,82007,39285,0.4,28539,10326
"Hagerstown-Martinsburg, MD-WV Metro Area",#REF!,249720,774471,139241,1024191,2.3,903,186100,505756,23662,43471,138417,738449,249720,774471,43471,32776,59696,502950,29039,153155,110638,774471,1024191,505756,23662,43471,68059,138417,738449,356966,0.5,141268,237038
"Hammond, LA Metro Area",#REF!,39819,123343,17302,163162,2.46,771,149200,78180,442,10725,17396,122202,39819,123343,10725,29602,56354,76408,2725,24878,21838,123343,163162,78180,442,10725,2437,17396,122202,57804,,,
"Hanford-Corcoran, CA Metro Area",#REF!,56562,210076,36533,266638,2.19,891,195400,128845,4247,13524,25256,204535,56562,210076,13524,29917,53998,125336,6361,38189,27103,210076,266638,128845,4247,13524,8890,25256,204535,96249,0.2,68490,26357
"Harrisburg-Carlisle, PA Metro Area",#REF!,32233,86020,13037,118253,2.43,815,296100,59919,4544,5829,10522,79051,32233,86020,5829,28354,55519,55767,5942,18764,11105,86020,118253,59919,4544,5829,12685,10522,79051,39418,0.9,16338,21181
"Harrisonburg, VA Metro Area",#REF!,57702,179484,25232,237186,2.53,996,202100,116370,3702,9159,28339,166968,57702,179484,9159,31682,63115,113674,7735,30091,25852,179484,237186,116370,3702,9159,19518,28339,166968,79192,0.3,48380,29253
"Hartford-West Hartford-East Hartford, CT Metro Area",#REF!,19252,72053,14368,91305,2.54,1194,419600,44751,2393,4761,9296,66126,19252,72053,4761,33734,59444,41600,10570,11220,8685,72053,91305,44751,2393,4761,10741,9296,66126,32388,0.9,7924,10984
"Hattiesburg, MS Metro Area",#REF!,210112,790778,137549,1000890,2.63,1884,781600,505777,51219,24828,162253,725491,210112,790778,24828,39573,90704,474538,49819,135825,64719,790778,1000890,505777,51219,24828,204149,162253,725491,370239,0.2,165781,14404
"Helena, MT Micro Area",#REF!,61081,229130,36856,290211,2.06,793,152300,144801,6629,12898,31249,221174,61081,229130,12898,34063,60313,134353,20510,40168,41489,229130,290211,144801,6629,12898,19794,31249,221174,109419,2.6,17881,65948
"Hermiston-Pendleton, OR Micro Area",#REF!,37997,109919,24886,147916,2.49,828,166000,72139,1256,6544,11291,108050,37997,109919,6544,22918,42233,59781,2748,18515,11878,109919,147916,72139,1256,6544,4685,11291,108050,51862,0.4,,
"Hickory-Lenoir-Morganton, NC Metro Area",#REF!,99075,352641,59859,451716,2.8,1877,543100,225948,16787,16374,62339,316661,99075,352641,16374,38846,87770,221844,24244,71733,26025,352641,451716,225948,16787,16374,91584,62339,316661,157749,0.3,50789,95041
"Hilo, HI Micro Area",#REF!,25498,75298,14968,100796,2.37,1010,181400,51282,1603,5248,10224,70689,25498,75298,5248,27660,54333,49124,3278,11042,15026,75298,100796,51282,1603,5248,6943,10224,70689,34446,,,
"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",#REF!,37194,116433,18617,153627,2.42,1131,196400,78899,4959,9627,12343,106734,37194,116433,9627,29227,58389,65708,7227,22749,12517,116433,153627,78899,4959,9627,16821,12343,106734,53462,0.3,5452,35249
"Hinesville, GA Metro Area",#REF!,398008,1408415,267270,1806423,2.22,1232,284800,892136,35664,57220,269155,1368467,398008,1408415,57220,38367,72686,882161,110582,330357,123585,1408415,1806423,892136,35664,57220,115895,269155,1368467,666339,0.5,417789,261905
"Guayama, PR Metro Area",#REF!,144194,332860,61308,477054,3.42,1061,276400,240240,17507,29972,28007,266639,144194,332860,29972,23890,58209,205232,48867,52595,29638,332860,477054,240240,17507,29972,111404,28007,266639,130163,0.3,32128,97121
"Iowa City, IA Metro Area",#REF!,68601,211884,38909,280485,2.39,1014,183700,136931,3388,11947,28239,198420,68601,211884,11947,30680,60070,135596,7031,33405,29824,211884,280485,136931,3388,11947,22554,28239,198420,94432,0.4,71679,23891
"Hobbs, NM Micro Area",#REF!,11759,50923,6851,62682,2.16,883,347200,33113,285,1670,8101,48896,11759,50923,1670,33806,65271,30625,3048,,,50923,62682,33113,285,1670,4492,8101,48896,25918,1.3,12358,8691
"Holland, MI Micro Area",#REF!,46936,148310,23922,195246,2.7,987,169400,94114,6496,8346,19563,142255,46936,148310,8346,32194,70552,92741,6478,29224,17211,148310,195246,94114,6496,8346,12268,19563,142255,66787,,,
"Homosassa Springs, FL Metro Area",#REF!,19020,61086,7147,80106,2.39,890,180200,40405,1342,3967,8374,59630,19020,61086,3967,31355,65540,40290,3019,15313,9063,61086,80106,40405,1342,3967,3451,8374,59630,29300,2.3,5737,20332
"Hot Springs, AR Metro Area",#REF!,1448639,4910013,849725,6358652,2.29,1762,497800,3124520,455000,170850,1162659,4334780,1448639,4910013,170850,55165,110355,3514764,270359,1159014,376238,4910013,6358652,3124520,455000,170850,1461587,1162659,4334780,2099877,0.5,1071459,1133212
"Houma-Thibodaux, LA Metro Area",#REF!,37351,130445,20646,167796,2.1,823,167100,82284,2758,3032,20248,126891,37351,130445,3032,32672,61833,88290,9130,28816,19017,130445,167796,82284,2758,3032,9275,20248,126891,61592,0.5,17924,42070
"Meadville, PA Micro Area",#REF!,17005,67938,8770,84943,1.98,900,241400,41994,552,2919,12270,65351,17005,67938,2919,36109,68319,47918,3561,17540,8778,67938,84943,41994,552,2919,3463,12270,65351,32486,0.5,5732,23961
"Merced, CA Metro Area",#REF!,27297,88998,21281,116295,2.02,1056,177200,61929,2178,3177,13288,87765,27297,88998,3177,33007,60398,46805,6456,16497,10850,88998,116295,61929,2178,3177,5147,13288,87765,47007,0.3,10139,19120
"Medford, OR Metro Area",#REF!,36605,129584,17589,166189,1.82,774,182700,84033,1099,4091,20641,127438,36605,129584,4091,35958,71486,89383,6280,32878,19424,129584,166189,84033,1099,4091,6790,20641,127438,64161,0.6,10134,39545
"Memphis, TN-MS-AR Metro Area",#REF!,51978,155012,22412,206990,2.69,906,170400,107682,12648,15784,14446,131212,51978,155012,15784,26401,57304,83524,16056,29553,23016,155012,206990,107682,12648,15784,47664,14446,131212,68454,0.3,52397,13441
"Meridian, MS Micro Area",#REF!,21625,92173,13350,113798,1.97,652,116100,56024,494,3552,12768,91597,21625,92173,3552,31038,49362,53255,6858,15977,19818,92173,113798,56024,494,3552,1471,12768,91597,44694,0.8,12442,27908
"Marion, OH Micro Area",#REF!,29275,94067,18304,123342,2.32,1107,406200,61969,3804,5190,15723,82773,29275,94067,5190,40010,65006,58336,7236,16484,12771,94067,123342,61969,3804,5190,15489,15723,82773,40806,1.1,43768,1644
"Marquette, MI Micro Area",#REF!,26571,111169,14893,137740,1.97,708,131000,68657,,5187,13783,110774,26571,111169,5187,32984,52728,63244,8581,19579,22860,111169,137740,68657,,5187,1094,13783,110774,55227,1,19794,28601
"Marshall, TX Micro Area",#REF!,21323,85476,12290,106799,2.19,980,245600,53326,833,3055,16068,82727,21323,85476,3055,39061,69996,55959,5489,18289,12507,85476,106799,53326,833,3055,5871,16068,82727,41070,0.7,7051,31847
"Martinsville, VA Micro Area",#REF!,163077,484842,87256,647919,2.23,856,170900,322581,12311,26353,82991,463605,163077,484842,26353,31769,61131,325134,19495,99937,62953,484842,647919,322581,12311,26353,43361,82991,463605,226853,0.7,74005,159695
"Mayag\u00FCez, PR Metro Area",#REF!,33529,115484,19788,149013,2.2,859,127000,77344,2451,7913,14512,111246,33529,115484,7913,29359,55107,68825,5563,17020,20038,115484,149013,77344,2451,7913,7347,14512,111246,57169,0.4,29248,23933
"McAllen-Edinburg-Mission, TX Metro Area",#REF!,23396,90209,13234,113605,1.99,825,166500,56170,929,5439,14014,89232,23396,90209,5439,29965,60494,55043,6768,19758,14030,90209,113605,56170,929,5439,2159,14014,89232,43681,1,12498,16190
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",#REF!,54801,237032,45707,291833,2.01,1183,302700,140309,3653,8901,54451,230455,54801,237032,8901,42316,66939,153395,10927,53546,27842,237032,291833,140309,3653,8901,13533,54451,230455,109459,0.8,112429,9588
"Michigan City-La Porte, IN Metro Area",#REF!,17996,60373,14049,78369,2.4,898,141400,37191,1331,5208,6159,56795,17996,60373,5208,26776,47201,34789,3943,10684,8135,60373,78369,37191,1331,5208,5475,6159,56795,26176,,,
"Midland, MI Metro Area",#REF!,32937,109625,15776,142562,2.37,1213,309400,69898,1554,7149,17958,103530,32937,109625,7149,36321,72798,71578,6021,22820,14353,109625,142562,69898,1554,7149,9840,17958,103530,50622,1,26658,13547
"Midland, TX Metro Area",#REF!,149568,531870,81765,681438,2.25,835,193100,330264,12248,32653,89059,505279,149568,531870,32653,32486,57392,325674,26577,112939,79209,531870,681438,330264,12248,32653,48056,89059,505279,238461,0.4,181515,59307
"Milwaukee-Waukesha-West Allis, WI Metro Area",#REF!,15834,58236,8721,74070,2.08,728,158600,36810,238,2627,6972,57238,15834,58236,2627,32224,52627,35538,4473,12702,10467,58236,74070,36810,238,2627,1567,6972,57238,28279,0,4508,18810
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",#REF!,27663,89047,11775,116710,2,718,184400,58250,,4465,10272,86862,27663,89047,4465,28727,59666,56064,4184,19281,13159,89047,116710,58250,,4465,3315,10272,86862,42999,0.6,7344,29183
"Minot, ND Micro Area",#REF!,200782,777665,124122,978447,2.19,1168,349500,485187,44995,38105,154100,727105,200782,777665,38105,41219,83195,535663,66648,177050,77987,777665,978447,485187,44995,38105,121125,154100,727105,356445,0.2,67869,115203
"Missoula, MT Metro Area",#REF!,75372,180663,33278,256035,2.87,880,260200,128564,7537,16334,18886,151131,75372,180663,16334,24766,61012,116541,15494,32110,21604,180663,256035,128564,7537,16334,44875,18886,151131,73067,0.2,60532,19633
"Mobile, AL Metro Area",#REF!,15973,72569,7191,88542,3.15,312,80200,43432,null,null,null,72474,15973,72569,null,9607,17728,28261,10828,,,72569,88542,43432,null,null,null,null,72474,34694,null,,
"Modesto, CA Metro Area",#REF!,100642,358054,41727,458696,2.41,1037,215900,228557,5982,17964,54262,350990,100642,358054,17964,35744,72949,241727,21665,88286,48885,358054,458696,228557,5982,17964,18230,54262,350990,172865,0.8,38131,93316
"Monroe, LA Metro Area",#REF!,108190,429879,66343,538069,1.99,679,131200,264789,2109,22127,62426,427235,108190,429879,22127,29900,51194,245708,39029,82913,81280,429879,538069,264789,2109,22127,9205,62426,427235,207936,1,36265,170056
"Monroe, MI Metro Area",#REF!,47521,134963,26044,182484,2.71,1147,366600,92576,6870,10922,14039,119425,47521,134963,10922,27645,63678,80263,16374,23416,12137,134963,182484,92576,6870,10922,34637,14039,119425,59665,0.4,21921,31743
"Montgomery, AL Metro Area",#REF!,15393,61448,9273,76841,2.27,859,271100,38987,353,3427,6135,58882,15393,61448,3427,29678,54631,31265,4751,11785,9442,61448,76841,38987,353,3427,4353,6135,58882,30772,0.7,22167,3391
"Morehead City, NC Micro Area",#REF!,42735,135873,24507,178608,2.33,972,149000,91964,2997,9196,16078,130413,42735,135873,9196,26747,54037,80970,4356,21731,20578,135873,178608,91964,2997,9196,9467,16078,130413,67363,0.6,36849,25822
"Morgantown, WV Metro Area",#REF!,20537,78419,7473,98956,2.31,935,172000,49879,,3353,11460,77315,20537,78419,3353,30759,61257,45011,5155,20486,11004,78419,98956,49879,,3353,3104,11460,77315,38745,0.5,3073,28619
"Morristown, TN Metro Area",#REF!,50305,259210,36429,309515,2.75,431,114300,149002,null,null,null,257208,50305,259210,null,11580,17926,111554,36280,18624,52519,259210,309515,149002,null,null,null,null,257208,123078,null,,
"Moses Lake, WA Micro Area",#REF!,97354,298065,46150,395419,2.38,953,151400,201001,7954,19383,33162,281270,97354,298065,19383,31712,61429,176498,11243,45413,56926,298065,395419,201001,7954,19383,31617,33162,281270,141480,0.5,92494,50992
"Mount Airy, NC Micro Area",#REF!,142074,557941,94194,700015,2.01,861,181700,341487,13203,26362,104905,545502,142074,557941,26362,36978,63367,362175,41077,125328,72634,557941,700015,341487,13203,26362,37079,104905,545502,262213,1,45549,230596
"Mount Pleasant, MI Micro Area",#REF!,15392,53145,7686,68537,2.45,866,125600,37201,1552,4581,5500,50090,15392,53145,4581,24832,51214,25226,5725,,,53145,68537,37201,1552,4581,6771,5500,50090,26751,,5143,12134
"Mount Vernon-Anacortes, WA Metro Area",#REF!,34492,112469,24647,146961,2.45,820,143200,70595,,10996,13284,111432,34492,112469,10996,27441,48659,65702,6001,17497,15736,112469,146961,70595,,10996,2101,13284,111432,51505,,,
"Muncie, IN Metro Area",#REF!,29078,100761,16910,129839,2.44,1105,328900,65339,1427,5152,13656,96887,29078,100761,5152,30888,65196,62786,7755,22519,11918,100761,129839,65339,1427,5152,5438,13656,96887,47514,1.1,27753,18108
"Muskegon, MI Metro Area",#REF!,172914,726372,130223,899286,1.95,1091,243000,441284,20943,30035,138472,702348,172914,726372,30035,41527,78272,470977,54546,155244,92791,726372,899286,441284,20943,30035,70007,138472,702348,340275,0.5,68557,222371
"Muskogee, OK Micro Area",#REF!,25113,73115,9013,98228,2.77,718,156600,47339,3350,8080,8788,69043,25113,73115,8080,27563,50191,44459,2399,12931,14059,73115,98228,47339,3350,8080,7086,8788,69043,33072,0.3,,
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",#REF!,196710,724601,119760,921311,2.2,961,246000,455865,18824,39666,120434,687866,196710,724601,39666,34696,60070,448345,74738,162964,93872,724601,921311,455865,18824,39666,80314,120434,687866,335867,0.7,69445,273650
"Nacogdoches, TX Micro Area",#REF!,35921,114969,18225,150890,2.66,848,167900,74699,2210,8935,14580,112136,35921,114969,8935,26427,47032,63283,12007,19353,17671,114969,150890,74699,2210,8935,5554,14580,112136,55591,,38323,14431
