CITY,Year,%homes heating with wood,% 16+ Yrs not in labor force,%workers taking taxi to work,%Total population 65-74,% of Owner Occupied Housing Units,%homes using solar energy,%homes with no heat,% homes heating with coal,%foriegn born,%workers carpooling,%homes using coal for heat energy,Percent of population Employed health insurance coverage ages 19-64,%homes using wood for heat energy,"%homes using oil, Kerosene for heat energy",Percetage of Labor force with Public Health Insurance
"Chattanooga, TN-GA Metro Area",2023,2.73,39.58,0.47,13.35,76.60,44.83,0.80,1.40,100.00,6.97,100.00,20.85,100.00,26.80,50.07
"Morristown, TN Metro Area",2023,4.20,45.98,0.00,12.52,75.58,16.00,0.28,0.00,100.00,8.85,0.00,22.63,100.00,0.13,78.98
"London, KY Micro Area",2023,0.00,35.83,0.12,11.60,70.52,100.00,0.55,0.00,100.00,8.45,0.00,6.18,100.00,0.33,12.60
"Salem, OH Micro Area",2023,0.65,42.98,0.00,12.28,68.70,100.00,1.10,0.27,100.00,10.13,100.00,18.17,100.00,2.90,59.65
"Trenton, NJ Metro Area",2023,1.95,46.92,0.00,11.32,68.80,78.67,0.95,4.08,100.00,11.02,100.00,14.93,100.00,7.32,47.03
"Adrian, MI Micro Area",2023,0.00,33.68,1.23,10.37,65.90,100.00,0.90,0.20,100.00,8.82,100.00,4.48,100.00,16.00,20.77
"San Diego-Carlsbad, CA Metro Area",2023,7.60,41.23,0.03,11.40,69.15,0.00,0.00,0.27,100.00,7.47,100.00,16.58,100.00,8.83,53.13
"Lakeland-Winter Haven, FL Metro Area",2023,0.57,36.33,1.25,8.62,65.53,100.00,1.00,0.05,100.00,9.72,100.00,12.90,100.00,10.55,35.95
"Tullahoma-Manchester, TN Micro Area",2023,0.00,36.13,1.65,11.02,71.10,0.00,0.46,0.30,100.00,7.42,100.00,14.22,100.00,19.95,45.03
"Dubuque, IA Metro Area",2023,0.18,39.55,0.45,11.37,64.15,100.00,1.20,0.00,100.00,9.62,0.00,8.70,100.00,0.00,24.05
"Billings, MT Metro Area",2023,0.00,40.00,1.10,9.92,69.12,100.00,1.28,0.17,100.00,9.60,100.00,10.43,100.00,0.37,27.17
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",2023,1.27,40.48,0.00,10.30,67.33,0.00,0.97,0.00,100.00,8.01,0.00,15.73,0.00,0.00,47.40
"North Port-Sarasota-Bradenton, FL Metro Area",2023,0.91,43.30,0.00,10.32,68.33,0.00,0.48,0.31,100.00,9.54,0.00,23.00,0.00,0.09,62.23
"Flagstaff, AZ Metro Area",2023,0.00,47.50,0.02,12.87,73.33,100.00,1.15,0.02,100.00,7.82,100.00,19.23,100.00,0.10,57.37
"Lima, OH Metro Area",2023,2.58,41.72,0.57,12.78,74.88,100.00,0.85,0.05,100.00,7.85,48.50,13.97,100.00,0.00,37.45
"Athens-Clarke County, GA Metro Area",2023,0.00,34.00,0.63,12.22,74.35,31.17,0.89,0.43,100.00,8.43,100.00,14.62,100.00,4.68,33.58
"Syracuse, NY Metro Area",2023,0.00,40.52,0.00,11.38,68.27,49.67,0.27,0.00,100.00,10.40,0.00,10.38,0.00,0.00,26.92
"Morehead City, NC Micro Area",2023,4.43,40.80,0.23,11.53,66.70,100.00,0.58,0.03,100.00,9.52,7.00,18.22,100.00,2.22,54.33
"Crestview-Fort Walton Beach-Destin, FL Metro Area",2023,0.00,34.82,0.40,9.87,69.23,100.00,0.70,0.33,100.00,10.38,100.00,20.58,100.00,0.98,63.28
"Lawrence, KS Metro Area",2023,0.45,32.80,1.81,9.60,69.40,100.00,0.95,0.05,100.00,7.58,100.00,12.72,100.00,3.52,52.05
"Lufkin, TX Micro Area",2023,4.04,35.80,0.47,13.15,76.20,100.00,9.66,0.02,100.00,5.57,0.00,13.02,100.00,4.28,41.52
"Wenatchee, WA Metro Area",2023,0.00,39.90,0.45,10.73,65.82,100.00,0.65,0.00,100.00,10.70,0.00,12.08,100.00,0.00,18.42
"Grand Forks, ND-MN Metro Area",2023,3.00,46.03,0.00,12.73,73.03,100.00,0.53,4.03,100.00,5.13,100.00,15.95,100.00,24.97,60.77
"Cape Coral-Fort Myers, FL Metro Area",2023,1.55,42.82,1.23,9.48,66.83,100.00,0.22,1.78,100.00,12.15,100.00,17.03,100.00,12.27,37.60
"Evansville, IN-KY Metro Area",2023,0.00,34.07,0.77,9.67,74.58,100.00,0.68,0.53,100.00,7.57,100.00,5.52,100.00,37.65,29.97
"Abilene, TX Metro Area",2023,0.08,37.02,0.67,11.93,69.45,59.17,0.63,0.00,100.00,9.80,0.00,7.23,100.00,11.00,34.48
"Port St. Lucie, FL Metro Area",2023,3.13,41.02,0.00,9.35,73.02,100.00,0.17,0.62,100.00,7.97,100.00,12.63,0.00,3.67,35.78
"Ogdensburg-Massena, NY Micro Area",2023,0.00,43.62,0.65,17.35,72.00,100.00,1.08,0.01,100.00,8.52,24.58,10.37,100.00,3.94,28.88
"Akron, OH Metro Area",2023,1.63,32.73,1.90,10.63,67.33,100.00,0.60,0.41,100.00,10.27,100.00,5.73,100.00,15.65,33.58
"San Angelo, TX Metro Area",2023,0.67,34.27,0.28,9.22,65.65,100.00,0.44,0.00,100.00,7.33,0.00,8.62,100.00,0.00,29.35
"Bay City, MI Metro Area",2023,0.22,37.38,0.63,11.52,68.08,100.00,1.50,0.00,100.00,8.45,50.50,13.90,100.00,4.63,30.83
"Yuma, AZ Metro Area",2023,0.00,31.62,1.58,11.25,72.77,100.00,0.25,0.00,100.00,6.40,100.00,5.88,100.00,1.27,31.50
"Odessa, TX Metro Area",2023,1.08,39.75,0.28,11.40,67.08,100.00,0.55,0.00,100.00,7.55,45.00,19.50,100.00,0.50,54.60
"Weirton-Steubenville, WV-OH Metro Area",2023,0.00,37.53,0.72,10.28,62.45,100.00,0.63,0.00,100.00,10.58,0.00,13.33,100.00,0.00,17.35
"Goldsboro, NC Metro Area",2023,2.78,44.97,0.00,12.38,72.37,100.00,0.84,3.01,100.00,6.05,100.00,13.07,100.00,13.39,34.32
"Lawton, OK Metro Area",2023,0.42,32.67,2.31,10.70,71.20,100.00,0.95,0.07,100.00,8.34,100.00,14.97,100.00,2.37,71.48
"Brunswick, GA Metro Area",2023,3.03,39.57,0.00,11.67,66.77,100.00,0.78,0.18,100.00,7.28,57.33,20.28,100.00,0.00,39.17
"Alexandria, LA Metro Area",2023,1.72,37.27,1.33,10.05,63.23,100.00,1.50,0.03,100.00,8.78,82.00,17.43,100.00,20.42,40.28
"Panama City, FL Metro Area",2023,2.52,39.68,0.67,13.35,70.15,100.00,0.82,0.23,100.00,6.00,100.00,10.98,100.00,21.62,39.85
"Burlington, NC Metro Area",2023,3.37,40.73,0.00,12.52,71.88,55.00,0.47,0.48,100.00,9.25,100.00,20.13,100.00,22.32,63.25
"Gadsden, AL Metro Area",2023,0.43,39.72,0.43,11.68,71.05,0.00,0.52,0.02,100.00,8.77,41.67,12.10,100.00,5.25,38.17
"Portland-South Portland, ME Metro Area",2023,0.17,38.73,0.00,10.00,70.62,0.00,0.94,0.78,100.00,8.18,0.00,7.20,0.00,0.00,28.57
"Charleston, WV Metro Area",2023,0.34,42.48,0.00,12.02,71.38,63.42,1.71,0.06,100.00,6.98,100.00,12.82,100.00,6.09,24.65
"Kalispell, MT Micro Area",2023,0.00,55.30,0.00,16.85,75.48,0.00,0.00,0.00,100.00,7.44,0.00,15.02,100.00,2.80,43.82
"Toledo, OH Metro Area",2023,0.39,33.87,0.20,8.05,66.18,100.00,0.57,0.13,100.00,8.77,100.00,22.13,0.00,0.29,58.93
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",2023,0.00,37.93,8.27,12.15,63.77,100.00,0.00,0.00,100.00,5.82,100.00,17.45,100.00,5.31,53.18
"Sandusky, OH Micro Area",2023,10.23,43.00,0.00,11.45,69.25,0.00,0.00,0.27,100.00,9.28,100.00,19.32,100.00,9.67,65.90
"Sheboygan, WI Metro Area",2023,2.20,41.30,1.47,12.17,66.78,100.00,1.38,0.98,100.00,7.92,100.00,18.67,100.00,10.18,55.98
"Charleston-North Charleston, SC Metro Area",2023,0.00,36.12,1.53,10.75,70.23,100.00,0.37,0.03,100.00,6.56,100.00,10.92,100.00,2.18,32.83
"Kennewick-Richland, WA Metro Area",2023,0.52,36.33,2.03,13.33,75.43,100.00,1.00,0.25,100.00,8.13,100.00,11.80,100.00,19.93,38.40
"Grants Pass, OR Metro Area",2023,0.00,34.47,0.52,11.58,63.27,100.00,16.28,0.00,100.00,8.73,3.17,8.50,0.00,0.00,30.72
"Binghamton, NY Metro Area",2023,0.00,35.85,0.87,10.40,66.48,100.00,1.25,0.00,100.00,8.35,51.42,9.40,100.00,0.00,32.42
"Manhattan, KS Metro Area",2023,1.12,42.98,0.00,12.45,72.70,100.00,2.83,0.15,100.00,10.14,100.00,20.23,100.00,0.00,60.70
"Anniston-Oxford-Jacksonville, AL Metro Area",2023,1.18,43.47,0.00,11.93,71.43,100.00,0.83,0.00,100.00,8.03,0.00,14.67,100.00,1.13,33.95
"Key West, FL Micro Area",2023,3.20,41.27,1.77,12.97,73.83,100.00,1.06,0.06,100.00,8.73,100.00,12.58,100.00,0.00,44.30
"Mayag\u00FCez, PR Metro Area",2023,0.65,36.77,0.21,10.10,71.32,77.83,0.55,0.03,100.00,11.72,21.00,12.98,100.00,0.00,35.40
"Montgomery, AL Metro Area",2023,1.97,39.27,0.33,12.58,67.92,100.00,0.68,0.03,100.00,8.95,74.00,18.73,100.00,2.77,47.62
"Sierra Vista-Douglas, AZ Metro Area",2023,0.00,31.62,0.85,10.37,60.85,100.00,5.28,0.00,100.00,6.73,100.00,12.62,100.00,1.15,24.27
"Hickory-Lenoir-Morganton, NC Metro Area",2023,0.00,49.78,0.37,13.10,68.83,100.00,1.63,0.13,100.00,10.75,100.00,17.63,100.00,2.88,46.62
"Detroit-Warren-Dearborn, MI Metro Area",2023,1.55,33.32,0.63,10.17,68.07,100.00,0.65,0.03,100.00,8.73,5.67,15.80,100.00,1.48,40.48
"Arecibo, PR Metro Area",2023,2.18,36.68,0.62,12.02,66.40,100.00,0.73,0.18,100.00,9.80,100.00,10.73,100.00,5.53,47.50
"Houma-Thibodaux, LA Metro Area",2023,5.58,30.05,0.80,9.47,65.70,100.00,0.53,0.23,100.00,8.70,100.00,11.65,100.00,23.23,28.55
"Bellingham, WA Metro Area",2023,0.00,39.10,3.28,10.27,69.47,100.00,1.47,0.00,100.00,9.10,79.67,11.30,100.00,11.37,22.12
"Monroe, MI Metro Area",2023,1.10,32.40,0.15,10.60,63.57,0.00,0.68,0.15,100.00,9.72,100.00,13.32,100.00,3.93,30.85
"Erie, PA Metro Area",2023,2.03,38.65,0.62,9.72,59.42,100.00,1.55,0.38,100.00,9.52,100.00,18.00,100.00,7.62,48.82
"Denver-Aurora-Lakewood, CO Metro Area",2023,1.93,42.22,0.03,13.18,70.37,100.00,0.72,0.00,100.00,9.28,0.00,22.45,100.00,1.70,47.98
"Sunbury, PA Micro Area",2023,0.00,44.58,0.13,14.73,75.88,100.00,2.80,0.00,100.00,11.17,0.00,8.07,100.00,0.00,5.87
"East Stroudsburg, PA Metro Area",2023,0.00,53.12,0.00,12.00,69.23,100.00,22.96,0.00,100.00,6.37,0.00,29.32,100.00,0.00,69.00
"Fayetteville-Springdale-Rogers, AR-MO Metro Area",2023,0.00,50.32,0.17,17.95,88.02,100.00,0.82,0.00,100.00,8.58,0.00,12.42,100.00,1.43,36.10
"Carbondale-Marion, IL Metro Area",2023,0.87,36.33,0.70,10.33,71.40,100.00,0.86,0.09,100.00,6.63,13.89,16.93,100.00,5.21,60.20
"Dalton, GA Metro Area",2023,13.20,46.47,1.27,10.63,68.00,0.00,0.92,0.00,100.00,10.27,0.00,19.60,100.00,0.00,50.25
"Iowa City, IA Metro Area",2023,0.15,35.17,0.18,8.65,63.00,100.00,1.17,0.00,100.00,9.98,100.00,13.53,100.00,0.27,36.20
"Muskegon, MI Metro Area",2023,3.16,39.90,0.38,12.22,62.87,100.00,0.55,0.41,100.00,9.67,100.00,17.87,100.00,6.11,48.93
"Orlando-Kissimmee-Sanford, FL Metro Area",2023,1.67,41.45,1.38,12.30,68.25,80.50,1.08,1.20,100.00,8.53,100.00,9.87,100.00,2.98,26.88
"Torrington, CT Micro Area",2023,0.00,37.45,0.35,10.05,65.80,100.00,1.07,0.00,100.00,9.23,0.00,15.40,100.00,0.00,62.23
"Muncie, IN Metro Area",2023,2.33,43.72,0.00,11.45,67.47,100.00,0.28,0.32,100.00,10.27,100.00,19.50,100.00,3.58,46.67
"Roseburg, OR Micro Area",2023,0.00,38.93,1.97,12.45,70.62,100.00,0.57,0.18,100.00,7.22,100.00,16.05,100.00,19.13,41.48
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2023,2.54,49.87,0.00,12.35,69.68,10.25,0.76,0.02,100.00,9.30,0.00,12.32,100.00,6.83,38.13
"Kahului-Wailuku-Lahaina, HI Metro Area",2023,0.52,40.02,0.77,10.93,71.00,100.00,0.00,0.05,100.00,6.32,80.00,13.28,100.00,4.16,45.18
"Greenville-Anderson-Mauldin, SC Metro Area",2023,1.32,42.00,0.62,13.85,70.60,100.00,0.85,0.00,100.00,5.83,16.50,14.77,100.00,1.15,30.75
"Olympia-Tumwater, WA Metro Area",2023,0.00,39.88,0.22,13.38,75.62,100.00,0.65,0.00,100.00,5.75,0.00,13.33,100.00,5.45,53.28
"Albuquerque, NM Metro Area",2023,0.00,37.72,0.57,8.82,63.65,100.00,0.65,0.09,100.00,8.87,0.00,17.27,0.00,0.00,37.07
"Bakersfield, CA Metro Area",2023,0.00,37.15,3.47,11.25,69.28,100.00,0.68,0.23,100.00,6.13,100.00,11.67,100.00,0.00,36.85
"Enid, OK Metro Area",2023,0.58,39.93,0.58,10.87,65.27,100.00,1.02,0.32,100.00,10.08,100.00,22.65,100.00,6.87,62.83
"Lansing-East Lansing, MI Metro Area",2023,0.07,42.83,0.54,8.42,62.38,100.00,0.73,0.00,100.00,9.90,0.00,21.23,100.00,4.19,48.70
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",2023,2.32,41.43,0.00,13.60,74.73,100.00,0.58,0.30,100.00,6.88,84.00,15.62,100.00,22.72,52.37
"North Wilkesboro, NC Micro Area",2023,0.00,43.47,0.70,11.52,66.42,100.00,0.95,0.60,100.00,8.70,100.00,7.15,100.00,0.00,20.45
"Whitewater-Elkhorn, WI Micro Area",2023,1.00,40.87,0.55,9.95,67.92,100.00,0.95,0.35,100.00,9.88,100.00,8.45,100.00,3.23,29.78
"Hagerstown-Martinsburg, MD-WV Metro Area",2023,3.45,44.38,0.92,13.05,71.38,100.00,0.55,0.07,100.00,6.62,87.67,18.12,100.00,13.70,49.93
"Topeka, KS Metro Area",2023,0.17,29.78,0.47,7.03,65.38,100.00,0.91,0.13,100.00,7.95,100.00,18.03,100.00,0.57,58.88
"Boise City, ID Metro Area",2023,1.33,39.18,1.56,11.07,68.03,0.00,0.60,0.00,100.00,8.08,0.00,14.18,100.00,6.28,33.67
"Bloomington, IL Metro Area",2023,0.58,42.28,0.70,13.25,68.10,98.50,0.72,0.10,100.00,9.57,80.83,11.12,100.00,0.00,28.23
"Harrisonburg, VA Metro Area",2023,0.00,36.90,0.63,10.75,66.58,0.00,0.47,0.00,100.00,5.88,0.00,10.30,0.00,0.00,43.37
"Rockford, IL Metro Area",2023,0.31,46.97,0.00,12.98,72.45,100.00,1.52,3.47,100.00,7.70,100.00,17.60,0.00,20.99,40.38
"Pocatello, ID Metro Area",2023,0.00,36.58,1.55,11.35,66.67,100.00,1.38,0.05,100.00,8.92,73.00,12.73,100.00,0.00,34.17
"Marion, OH Micro Area",2023,0.73,36.07,0.85,11.45,65.53,100.00,1.56,0.02,100.00,6.20,3.17,13.82,100.00,1.09,45.47
"Beaumont-Port Arthur, TX Metro Area",2023,0.00,39.10,0.25,12.82,67.02,100.00,1.80,0.10,100.00,8.53,100.00,14.75,100.00,0.63,35.88
"Bridgeport-Stamford-Norwalk, CT Metro Area",2023,1.22,35.75,0.00,10.70,64.40,100.00,1.18,0.05,100.00,7.93,100.00,13.53,100.00,0.00,37.65
"Houston-The Woodlands-Sugar Land, TX Metro Area",2023,8.15,53.80,0.35,15.05,74.60,95.50,0.50,0.00,100.00,4.30,0.00,21.55,100.00,0.25,47.15
"Greensboro-High Point, NC Metro Area",2023,3.47,36.85,0.51,12.80,71.73,100.00,0.08,0.00,100.00,8.65,0.00,10.60,100.00,30.15,22.90
"Stillwater, OK Micro Area",2023,0.00,44.30,1.50,11.70,69.57,100.00,1.08,0.01,100.00,8.28,0.00,14.77,100.00,0.00,58.07
"Longview, TX Metro Area",2023,2.38,37.62,0.42,12.52,70.15,100.00,0.53,1.75,100.00,8.65,100.00,10.15,100.00,12.68,29.37
"Decatur, IL Metro Area",2023,0.65,35.60,0.18,11.93,71.93,100.00,1.38,0.05,100.00,10.28,20.33,10.23,100.00,1.83,24.93
"Sebring, FL Metro Area",2023,0.03,32.10,0.00,8.87,69.05,100.00,0.42,0.07,100.00,7.20,100.00,8.52,0.00,0.00,30.43
"Vineland-Bridgeton, NJ Metro Area",2023,0.81,40.78,1.02,11.22,60.90,100.00,1.46,0.13,100.00,7.03,100.00,9.62,100.00,0.00,34.67
"State College, PA Metro Area",2023,0.00,31.88,0.48,10.43,57.00,100.00,2.32,0.00,100.00,9.30,0.00,13.48,100.00,6.62,34.40
"Jefferson City, MO Metro Area",2023,0.17,45.38,0.48,11.45,66.05,100.00,0.83,0.00,100.00,4.82,92.50,19.38,100.00,1.70,47.00
"Glenwood Springs, CO Micro Area",2023,1.47,41.47,0.00,9.85,69.42,100.00,1.12,0.00,100.00,7.10,46.83,9.85,100.00,0.00,11.43
"Port Angeles, WA Micro Area",2023,0.00,33.48,0.73,9.82,69.40,25.83,0.00,0.00,100.00,8.78,0.00,8.42,100.00,16.63,23.30
"Battle Creek, MI Metro Area",2023,2.45,39.73,3.12,11.48,70.23,100.00,1.68,0.00,100.00,8.88,70.50,14.38,100.00,8.23,35.67
"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",2023,0.17,35.83,0.80,10.28,74.63,100.00,0.22,0.13,100.00,6.68,100.00,11.78,100.00,1.14,46.23
"Davenport-Moline-Rock Island, IA-IL Metro Area",2023,2.87,35.68,0.85,10.87,67.57,100.00,0.68,0.07,100.00,13.18,40.17,16.57,100.00,9.50,51.70
"Greenville, NC Metro Area",2023,0.00,37.32,1.00,11.20,69.32,100.00,0.43,0.00,100.00,8.85,0.00,11.65,100.00,1.65,30.50
"Grand Island, NE Metro Area",2023,4.35,44.62,0.17,12.48,73.60,76.67,0.44,3.93,100.00,6.55,100.00,15.50,100.00,24.10,55.45
"Gulfport-Biloxi-Pascagoula, MS Metro Area",2023,4.63,47.97,1.05,14.92,74.40,100.00,0.77,0.07,100.00,5.67,95.00,22.43,100.00,16.32,56.68
"Joplin, MO Metro Area",2023,1.91,40.55,0.88,11.62,68.68,100.00,0.78,0.10,100.00,7.59,60.08,12.28,100.00,4.12,45.05
"Columbus, GA-AL Metro Area",2023,5.83,36.85,0.80,10.82,67.62,100.00,0.48,0.12,100.00,9.00,33.33,17.55,100.00,1.99,58.12
"The Villages, FL Metro Area",2023,9.36,41.40,0.03,8.45,68.32,100.00,0.27,0.16,100.00,9.70,100.00,24.78,100.00,0.00,66.88
"Indiana, PA Micro Area",2023,1.23,39.12,0.08,11.50,65.35,95.00,0.58,0.00,100.00,8.38,0.00,19.97,100.00,0.00,50.63
"Greenwood, SC Micro Area",2023,1.98,42.78,1.47,12.82,68.68,100.00,0.68,0.07,100.00,5.15,95.00,17.28,100.00,15.17,42.42
"Jacksonville, NC Metro Area",2023,2.30,34.42,1.90,9.10,67.90,100.00,0.43,0.33,100.00,10.47,100.00,10.05,100.00,7.49,21.90
"Pinehurst-Southern Pines, NC Micro Area",2023,3.05,31.57,1.52,10.57,65.85,0.00,0.27,0.47,100.00,8.58,100.00,17.20,100.00,5.68,39.05
"Appleton, WI Metro Area",2023,1.59,45.20,0.00,11.95,67.78,100.00,0.68,0.17,100.00,9.73,84.50,14.55,100.00,1.14,43.03
"Wooster, OH Micro Area",2023,0.00,45.97,0.80,13.45,71.93,100.00,1.95,0.03,100.00,6.80,79.33,16.78,0.00,0.05,32.98
"Logan, UT-ID Metro Area",2023,1.98,41.23,0.10,12.85,75.50,100.00,0.79,0.13,100.00,7.62,72.83,10.90,100.00,2.27,25.72
"Hattiesburg, MS Metro Area",2023,0.18,41.13,0.85,11.35,64.13,100.00,6.95,0.00,100.00,9.98,0.00,18.03,100.00,0.00,49.23
"Marquette, MI Micro Area",2023,0.00,32.95,1.33,9.90,63.93,100.00,0.19,0.02,100.00,5.37,10.17,9.30,100.00,1.20,21.22
"Midland, MI Metro Area",2023,0.00,34.98,0.00,10.00,59.85,100.00,0.00,0.00,100.00,9.12,36.50,9.07,100.00,1.73,37.07
"Midland, TX Metro Area",2023,0.00,42.32,0.00,10.28,58.73,100.00,0.50,0.03,100.00,9.28,56.00,9.05,100.00,2.78,34.88
"New Bern, NC Metro Area",2023,2.03,32.63,0.88,8.53,67.63,100.00,0.40,0.10,100.00,6.17,49.33,10.47,100.00,3.90,46.48
"Roanoke Rapids, NC Micro Area",2023,2.15,37.07,1.28,14.10,71.23,0.00,0.30,0.08,100.00,8.15,100.00,9.88,100.00,25.58,35.40
"Milwaukee-Waukesha-West Allis, WI Metro Area",2023,1.69,46.15,0.00,11.73,68.85,100.00,0.91,0.02,100.00,8.20,25.33,11.88,100.00,7.23,34.43
"Youngstown-Warren-Boardman, OH-PA Metro Area",2023,0.00,43.92,0.65,13.03,75.70,100.00,0.92,0.00,100.00,8.17,0.00,9.92,0.00,0.00,27.13
"Pensacola-Ferry Pass-Brent, FL Metro Area",2023,2.00,41.27,1.28,14.25,72.58,100.00,0.65,0.03,100.00,6.27,35.50,12.75,100.00,17.58,25.48
"Springfield, IL Metro Area",2023,1.88,44.83,1.33,12.92,60.75,100.00,29.99,0.03,100.00,8.50,50.83,20.47,100.00,0.61,51.08
"Gettysburg, PA Metro Area",2023,0.00,33.10,0.38,10.48,64.47,70.67,0.48,0.00,100.00,9.22,0.00,16.55,0.00,0.53,50.98
"Eugene, OR Metro Area",2023,1.99,35.03,0.85,10.72,65.57,100.00,0.65,0.81,100.00,7.17,100.00,10.92,100.00,22.56,39.28
"St. Cloud, MN Metro Area",2023,3.12,39.22,0.00,11.53,68.45,0.00,0.00,1.45,100.00,9.22,100.00,15.33,100.00,6.62,56.73
"Jefferson, GA Micro Area",2023,0.00,40.37,1.55,10.50,66.13,100.00,0.68,0.00,100.00,6.72,35.08,9.87,100.00,0.78,31.77
"Branson, MO Micro Area",2023,0.00,38.70,0.88,11.72,68.70,100.00,0.67,0.00,100.00,6.67,0.00,8.33,100.00,0.82,33.38
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",2023,3.92,37.18,0.00,9.32,73.07,0.00,0.00,0.23,100.00,6.65,100.00,13.17,100.00,8.08,42.80
"Portsmouth, OH Micro Area",2023,0.00,32.42,0.78,9.92,69.67,100.00,0.00,0.00,100.00,8.77,100.00,7.12,100.00,0.40,18.33
"Kokomo, IN Metro Area",2023,0.00,39.52,0.17,10.70,71.48,100.00,15.02,0.08,100.00,9.77,51.50,9.08,0.00,0.91,27.35
"Yuba City, CA Metro Area",2023,0.00,39.37,1.35,12.40,73.97,100.00,0.95,0.00,100.00,7.07,0.00,10.53,100.00,0.00,36.90
"Racine, WI Metro Area",2023,0.00,35.85,2.72,9.60,65.92,100.00,0.45,0.03,100.00,8.33,100.00,12.13,100.00,3.46,23.17
"Salt Lake City, UT Metro Area",2023,0.00,34.07,0.53,9.38,69.12,100.00,0.24,0.00,100.00,6.82,0.00,8.42,100.00,0.00,38.88
"Florence-Muscle Shoals, AL Metro Area",2023,0.77,39.53,0.14,10.18,68.30,38.00,0.51,0.02,100.00,7.28,18.00,12.88,100.00,0.03,31.47
"Norwich-New London, CT Metro Area",2023,0.07,43.03,0.05,11.00,69.62,100.00,0.58,0.33,100.00,8.43,100.00,13.72,100.00,0.00,40.42
"Muskogee, OK Micro Area",2023,1.32,37.37,0.23,10.67,61.40,100.00,0.56,0.08,100.00,11.20,100.00,18.53,100.00,2.92,51.92
"Owensboro, KY Metro Area",2023,3.53,43.03,0.88,11.28,70.67,56.33,1.20,0.18,100.00,11.67,60.83,12.38,100.00,7.10,35.88
"Eau Claire, WI Metro Area",2023,0.00,52.48,0.00,11.72,65.23,100.00,16.05,0.00,100.00,6.65,0.00,25.97,0.00,0.00,62.35
"Tucson, AZ Metro Area",2023,0.00,39.67,0.65,10.43,74.48,0.00,0.47,0.22,100.00,7.00,73.67,15.78,100.00,7.32,51.35
"San Antonio-New Braunfels, TX Metro Area",2023,1.57,34.33,0.02,10.73,70.47,43.17,0.53,0.27,100.00,6.47,100.00,11.92,100.00,8.00,37.88
"Guayama, PR Metro Area",2023,1.54,33.82,0.78,7.75,65.08,100.00,1.30,0.01,100.00,8.66,50.78,14.73,100.00,3.12,44.60
"Reno, NV Metro Area",2023,0.12,38.98,0.93,13.02,74.32,100.00,0.88,0.00,100.00,6.40,45.50,11.88,100.00,15.25,54.37
"Warsaw, IN Micro Area",2023,0.00,42.20,1.12,12.53,69.38,100.00,1.20,0.00,100.00,7.88,2.83,11.55,100.00,0.45,20.57
"Sioux Falls, SD Metro Area",2023,0.00,44.87,2.55,10.88,62.07,100.00,2.78,0.15,100.00,8.25,100.00,23.80,100.00,0.80,38.43
"Faribault-Northfield, MN Micro Area",2023,0.38,44.78,0.08,13.87,69.53,100.00,66.08,0.00,100.00,10.17,10.00,13.72,100.00,0.00,29.15
"Merced, CA Metro Area",2023,0.56,34.22,0.18,12.48,69.88,0.00,0.35,0.00,100.00,7.07,0.00,9.52,100.00,30.05,40.37
"Missoula, MT Metro Area",2023,2.55,43.42,0.00,10.60,66.75,100.00,0.40,0.07,100.00,9.12,100.00,15.65,100.00,8.15,47.15
"Burlington-South Burlington, VT Metro Area",2023,0.45,39.40,0.32,10.70,67.00,100.00,1.17,0.00,100.00,9.72,23.00,21.48,100.00,6.67,58.15
"Bangor, ME Metro Area",2023,0.27,34.00,0.08,9.80,59.60,0.00,0.27,0.00,100.00,8.73,0.00,14.43,0.00,0.00,26.20
"Pittsfield, MA Metro Area",2023,0.00,39.83,0.00,9.90,66.38,5.50,0.99,0.18,100.00,8.47,0.00,19.40,0.00,0.00,36.10
"Albertville, AL Micro Area",2023,0.51,37.07,0.00,8.65,66.10,100.00,0.51,0.13,100.00,8.33,0.00,16.27,100.00,17.93,35.72
"Duluth, MN-WI Metro Area",2023,0.00,40.05,0.87,10.87,57.13,100.00,1.38,0.00,100.00,8.65,0.00,8.75,100.00,0.00,21.48
"Hobbs, NM Micro Area",2023,0.25,36.12,0.25,10.60,66.08,100.00,1.25,0.00,100.00,9.79,98.00,12.35,100.00,0.35,34.40
"Concord, NH Micro Area",2023,0.00,42.22,0.00,11.45,66.57,100.00,0.86,0.01,100.00,8.63,0.00,11.80,77.75,0.00,38.22
"York-Hanover, PA Metro Area",2023,0.00,42.58,0.73,12.70,74.13,100.00,0.77,0.00,100.00,7.17,0.00,11.37,0.00,0.00,31.70
"Sevierville, TN Micro Area",2023,1.32,35.83,0.78,9.70,65.73,100.00,0.55,0.10,100.00,6.43,100.00,12.92,100.00,3.80,49.15
"Omaha-Council Bluffs, NE-IA Metro Area",2023,0.00,42.23,1.00,12.90,73.32,100.00,0.45,0.00,100.00,5.75,0.00,16.67,0.00,13.40,64.63
"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",2023,1.17,44.52,0.00,10.87,72.70,100.00,0.67,0.00,100.00,8.78,0.00,17.80,100.00,0.00,55.57
