NAME,DP05_0025E,DP05_0015PE,DP05_0020E,,DP03_0107E,DP03_0107PE,DP03_0062E,DP03_0112PE,DP03_0007PE,DP03_0114PE,DP03_0008PE,DP02_0072PE,DP02_0077PE,DP04_0047E,DP04_0049E,DP04_0135E,DP04_0046PE,DP04_0091E,DP04_0091E,DP04_0092E,DP04_0082PE,DP03_0088E,DP04_0089E,DP04_0134E,DP02_0070PE
,Total Population of 18+,Total population 65-74,Total population 16+,,Employed health insurance coverage ages 19-64,Percent of population Employed health insurance coverage ages 19-64,Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars),Percent Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years!!In labor force!!Unemployed!!With health insurance coverage!!With public coverage,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,Percent Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years!!Not in labor force,Percent Estimate!!EMPLOYMENT STATUS!!Civilian labor force,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability,Estimate!!HOUSING TENURE!!Occupied housing units!!Renter-occupied,Estimate!!HOUSING TENURE!!Occupied housing units!!Average household size of renter-occupied unit,,Percent Estimate!!HOUSING TENURE!!Occupied housing units!!Owner-occupied,Estimate!!MORTGAGE STATUS!!Owner-occupied units!!Housing units with a mortgage,Estimate!!MORTGAGE STATUS!!Owner-occupied units!!Housing units with a mortgage,Estimate!!MORTGAGE STATUS!!Owner-occupied units!!Housing units without a mortgage,"Percent Estimate!!VALUE!!Owner-occupied units!!$50,000 to $99,999",Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Per capita income (dollars),Owner-occupied units!!Median (dollars),Estimate!!GROSS RENT!!Occupied units paying rent!!Median (dollars),Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population
"Fond du Lac, WI Metro Area",81036,10.5,83684,,3925,8.2,57415,58.6,34.3,9877,54976,22026,33,12509,2.11,718,69.5,17446,17446,11054,14.7,29145,145800,725,101316
"Forest City, NC Micro Area",53044,12.3,55558,,2602,10.2,43111,34.4,44.4,10984,30895,13779,44.8,8436,2.41,-999999999,67.9,7685,7685,10184,26,23719,162700,717,65758
"Fort Collins, CO Metro Area",281520,9.8,288748,,16036,9.5,71091,34.6,32.6,41870,194050,68975,28.5,51584,2.25,1632,63,57948,57948,29850,1.3,37073,123100,1345,347635
"Fort Payne, AL Micro Area",54240,10.3,57239,,646,2.4,36998,18.3,46.5,12774,30604,17145,43.4,7291,2.82,1769,72.4,8084,8084,11087,22,21822,398300,670,70633
"Fort Smith, AR-OK Metro Area",214895,10,222830,,15413,13.9,44317,25.2,43.4,47110,125794,67323,43.2,36172,2.46,2822,66.8,36392,36392,36226,27.9,25211,112000,679,278822
"Frankfort, KY Micro Area",56736,10.2,59091,,2419,7.6,52134,61.5,37.7,8606,36804,16658,49.1,10306,2.24,-999999999,65.6,12261,12261,7413,14.7,27798,120000,736,72598
"Fresno, CA Metro Area",712580,7.1,741706,,101077,25.9,52629,61.3,39.1,146230,451036,281496,42.2,151080,3.17,7333,51.2,110479,110479,47960,3.2,23834,148500,996,982821
"Gadsden, AL Metro Area",80469,11.2,82575,,2553,6.3,45868,27.9,43.6,17086,46578,21945,39.2,11242,2.63,1328,70.9,13612,13612,13771,25.2,26192,274400,685,101700
"Gainesville, FL Metro Area",236436,8.5,242070,,6798,5.3,50495,11.9,39.5,48067,146275,51964,30.4,40416,2.53,2066,61.6,34621,34621,30124,14.3,28891,127800,1015,285046
"Gainesville, GA Metro Area",150869,8.7,157289,,4675,5.2,61699,31.2,36.7,24698,99473,51216,31.2,19498,3.23,1228,70,28063,28063,17429,7,30008,184100,984,201269
"Gallup, NM Micro Area",51454,6.9,54398,,7485,34.9,34080,74,52.1,16094,26069,20816,50.8,5953,3.35,795,72.2,4637,4637,10859,23.6,15469,217900,644,71941
"Gettysburg, PA Metro Area",81644,11.5,83856,,3377,7.4,62284,26.8,37.8,11838,52137,21091,29.6,9913,2.25,965,74.9,17632,17632,12025,5.9,30366,76500,950,101521
"Fort Wayne, IN Metro Area",326263,9,339499,,20162,10.1,55491,34.1,33,47205,227387,111210,33.2,48183,2.19,1708,72,82368,82368,41760,23.9,29998,206800,767,433177
"Glens Falls, NY Metro Area",102682,12.2,105188,,6945,13.2,57058,60.2,41.6,16773,61105,22731,32,16164,1.97,754,68.9,20093,20093,15739,13.6,30899,135700,886,121289
"Glenwood Springs, CO Micro Area",59130,10,60755,,3288,8.3,76184,44.4,25.1,6255,45493,19037,26.8,8417,3.11,-999999999,68.1,-999999999,-999999999,-999999999,3.7,34058,178000,1374,77479
"Goldsboro, NC Metro Area",94093,9.9,96403,,6357,13.1,40791,21.5,38,17399,57565,29150,36.5,18840,2.44,1952,61.6,17270,17270,12909,20,25460,383300,773,119636
"Grand Forks, ND-MN Metro Area",79707,8.2,82308,,4509,9.3,54659,34.3,30.7,10563,55792,22577,28.1,19254,1.82,512,55.3,14677,14677,9150,8.9,29719,132700,811,99792
"Grand Island, NE Metro Area",62754,9.3,65055,,2314,6.2,54235,31.3,34.8,8781,42443,22345,34.2,10867,2.63,1071,66.8,11380,11380,10440,20.2,26387,196400,807,84035
"Grand Junction, CO Metro Area",119498,10.8,123093,,10030,15.9,49848,43.2,39.6,21154,74316,33624,37.6,19471,2.29,386,68.5,28619,28619,13758,6.2,28679,144200,869,152265
"Grand Rapids-Wyoming, MI Metro Area",814483,8.5,842061,,42789,8.5,63344,42.5,32,116057,572314,254497,31.2,103088,2.36,3837,74,187865,187865,106246,8.5,31769,229000,878,1060696
"Grants Pass, OR Metro Area",70553,15.2,72746,,7182,24.8,48315,60.5,51.7,14733,35122,16655,32.2,10729,2.21,-999999999,71,15678,15678,10652,2.1,25988,189500,847,86819
"Great Falls, MT Metro Area",63743,10.3,65079,,5154,15.2,49948,57.5,37.9,10443,38218,17834,33.1,14375,2.1,714,59.6,13402,13402,7781,6.7,29743,281200,793,78377
"Greeley, CO Metro Area",231808,7.7,240422,,18962,13,75938,42.9,30.4,33930,167047,82367,36.8,28301,2.81,1429,73.8,58895,58895,20733,2.2,32003,189300,1059,311698
"Green Bay, WI Metro Area",246715,9.3,255642,,10738,7,61400,31.4,33.1,32216,170951,74816,26.9,39069,2.06,1634,69.7,55425,55425,34619,12,32446,325400,801,318321
"Greeneville, TN Micro Area",56024,12.4,57660,,2171,8.1,47383,58.9,46.2,11163,30947,12990,45.4,6345,2.38,-999999999,76.8,-999999999,-999999999,-999999999,21.8,24905,174900,688,67713
"Greenfield Town, MA Micro Area",58217,13.6,59819,,6093,18.6,59248,65.5,35.4,7990,38635,12721,27,8822,1.98,138,71,13445,13445,8124,3.6,35421,130500,889,70178
"Greensboro-High Point, NC Metro Area",598156,9.5,617751,,26292,7.9,50026,23.9,38,107941,382480,169336,32.2,114513,2.31,5456,62.1,117461,117461,70127,17.7,29169,238400,826,761362
"Greenville, NC Metro Area",141487,8,145695,,7928,9.9,42481,29.5,36,26561,92592,38329,44.1,32296,2.42,1516,53.4,26494,26494,10498,20.2,24004,152300,714,178394
"Greenville-Anderson-Mauldin, SC Metro Area",704968,9.9,729689,,29244,7.4,55790,24.4,37.5,122058,455421,201163,36.8,107824,2.4,7414,68.7,143661,143661,93179,14.4,29513,146300,862,899387
"Greenwood, SC Micro Area",75102,10.1,78262,,2656,6.7,41959,17.3,41.2,14607,46040,20488,38.2,13179,2.38,1363,65.1,12754,12754,11866,36.1,25944,169100,732,94444
"Gulfport-Biloxi-Pascagoula, MS Metro Area",304549,9.5,314697,,14589,9.4,47444,15.1,39.8,55891,183045,92664,39,59375,2.37,3682,61.7,49177,49177,46474,19.5,26287,100300,841,388140
"Hagerstown-Martinsburg, MD-WV Metro Area",207848,9.8,216115,,16081,14,61256,36.4,38.1,31842,133456,60066,37.7,32332,2.57,2454,68.3,45387,45387,24387,8,30629,147900,935,258923
"Hammond, LA Metro Area",100906,9,104241,,9236,18.4,48205,55.5,41.4,24582,61048,32802,41,13168,2.65,-999999999,72.2,19467,19467,14766,16.2,23098,194800,822,133092
"Hanford-Corcoran, CA Metro Area",110593,5.8,114798,,10428,21,61663,80.9,46.8,24390,57696,40773,42.3,20170,3.41,1337,53.9,16052,16052,7505,5.2,22628,162800,1083,136372
"Harrisburg-Carlisle, PA Metro Area",451623,10.2,465912,,28439,10.7,64213,44.1,34.2,58043,305366,122822,32.7,79048,2.22,2631,66.2,97321,97321,57222,8.7,35748,231100,929,562889
"Harrisonburg, VA Metro Area",107363,8,110758,,3325,5.7,53046,13.3,40.3,22845,66095,27914,35.1,17830,2.61,655,62.8,17912,17912,12245,5,28153,188600,884,134422
"Hartford-West Hartford-East Hartford, CT Metro Area",964016,9.7,996372,,69331,12.3,77258,42.5,34.3,134592,653966,242088,30,154372,2.26,4792,67.2,214091,214091,102188,2.9,41678,210000,1111,1189775
"Hattiesburg, MS Metro Area",112894,8.3,117995,,4912,8.4,45249,16,41.4,25616,69000,36183,51.7,20388,2.5,1969,62.3,17608,17608,16088,15.9,25493,249800,830,148049
"Helena, MT Micro Area",62126,12.4,63840,,5511,15.3,65145,58.2,34.8,7777,41295,16476,28.2,8068,2.17,295,74.9,15881,15881,8147,2.5,32395,154300,816,77740
"Hermiston-Pendleton, OR Micro Area",64769,8.5,67282,,4555,14.1,56211,55,41.2,11155,39542,24126,47.8,12172,2.84,719,58.9,9966,9966,7452,11.9,23360,271800,777,84635
"Hickory-Lenoir-Morganton, NC Metro Area",291524,11.1,300723,,12107,7.8,47544,17.5,38.9,47523,183580,76733,38.6,39904,2.35,2737,72.5,59294,59294,45960,25.6,26416,182600,683,362656
"Hilo, HI Micro Area",157353,13.6,162367,,12160,15.1,57571,55.6,41,26338,95513,43613,35.9,24169,2.87,2444,66.2,26386,26386,21010,3.4,32572,138800,1126,199697
"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",176171,15.5,180891,,5251,6.8,63723,17.1,44.9,28756,93148,41472,25.3,22113,2.69,-999999999,73.7,36641,36641,25287,4.6,36674,368200,1212,209631
"Hinesville, GA Metro Area",57423,5.2,60090,,3686,13,47234,17,31.9,11298,34785,22579,48.2,15881,2.37,-999999999,49.3,-999999999,-999999999,-999999999,28,22815,299800,1073,73338
"Guayama, PR Metro Area",57077,11.5,58749,,7674,51.9,17062,89.8,71.1,23530,16919,null,null,7461,2.88,-999999999,70.7,-999999999,-999999999,-999999999,55.5,9909,112100,386,null
"Iowa City, IA Metro Area",137563,7.4,141324,,7070,8.2,64635,31.2,30.4,21380,98313,35775,25.4,27834,2.09,640,60.1,26720,26720,15132,4.8,36342,85400,968,171401
"Hobbs, NM Micro Area",48983,6.9,51076,,3704,14.2,50871,70.9,39.7,9879,30749,20603,43,8246,2.56,-999999999,64.5,6904,6904,8065,20.6,23318,225300,862,67368
"Holland, MI Micro Area",88970,10.2,92850,,4233,8.2,61353,38.8,37.6,13997,57899,28338,25.8,7509,2.55,-999999999,82.9,23193,23193,13290,9,28267,134200,872,116315
"Homosassa Springs, FL Metro Area",125980,19.9,128567,,5316,13.2,39964,29.9,61.7,26456,49202,21787,34.2,10665,2.69,755,82.9,21601,21601,30027,21.8,26187,170200,880,145839
"Hot Springs, AR Metro Area",79367,12.8,81395,,5709,15.3,42779,54.2,47.8,15546,42510,19565,41.1,13592,2.53,1209,66.4,14697,14697,12118,20.1,26857,137600,790,97955
"Houma-Thibodaux, LA Metro Area",157861,9,163170,,13086,15.9,51440,62,41.4,33040,95422,51275,41.8,18511,2.36,2565,74.9,28318,28318,26920,18.2,26869,149500,816,207238
"Meadville, PA Micro Area",67326,12.2,69543,,4828,14.1,51502,58.1,41.2,11272,40880,17618,37.4,8543,2,1475,75.2,13517,13517,12326,29.3,26419,153000,632,83502
"Merced, CA Metro Area",194425,6.4,203248,,28168,26.7,57745,60.9,38.7,40196,124576,80253,44.5,37311,3.56,2224,53.1,27900,27900,14276,3.1,23711,113700,1023,272072
"Medford, OR Metro Area",174993,13.2,180233,,15436,17.4,56546,49,42.2,30341,104123,44517,30,30479,2.33,1664,66.1,36580,36580,22728,4.4,30901,261100,980,218330
"Memphis, TN-MS-AR Metro Area",1015860,8.6,1056054,,49844,8.7,50338,32.6,35.8,177623,675844,333383,36.6,199296,2.53,8692,60.5,196195,196195,108650,21,28016,293600,893,1332548
"Meridian, MS Micro Area",78198,10.2,79877,,2964,8.2,37816,19,45.5,16367,42675,25943,46.1,12935,2.63,1196,67.6,12275,12275,14704,28.7,21900,157700,760,100502
"Marion, OH Micro Area",51298,10.3,52627,,5591,23,43008,53.4,46.4,9216,28223,13915,36.9,8585,2.53,856,64.5,9924,9924,5696,30.7,21296,91500,711,59946
"Marquette, MI Micro Area",54066,11.3,55205,,3962,13.9,54779,44.1,40.9,8935,32485,12402,29.5,8220,1.95,579,68.8,10708,10708,7400,17.8,26982,110700,784,65038
"Marshall, TX Micro Area",49834,10.1,52209,,1834,7.1,50561,41.4,41.3,10320,30641,16773,40.8,6927,2.89,-999999999,69.8,6705,6705,9296,16.8,24878,156500,709,65988
"Martinsville, VA Micro Area",52469,12.6,55198,,1471,6.8,30040,21,54.2,12891,25286,12478,43.7,9082,2.05,896,66.3,-999999999,-999999999,-999999999,44.3,18992,138300,611,63864
"Mayag\u00FCez, PR Metro Area",72564,12.4,75056,,6779,36.8,12913,66.4,65,23620,26211,null,null,15246,2.14,3944,59.4,5983,5983,16311,41.8,10598,86400,411,null
"McAllen-Edinburg-Mission, TX Metro Area",584647,6.2,614895,,14643,4.6,39165,8.5,41.3,127297,361040,281208,48.3,74502,3.35,7102,68.6,67020,67020,95801,34.3,16819,94200,703,858369
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",4944394,9.6,5089225,,170711,6.1,56328,18.9,37.1,765871,3200494,1253018,32,859668,2.83,23603,59.9,739762,739762,543637,5.9,32058,87500,1360,6150372
"Michigan City-La Porte, IN Metro Area",86585,10.9,89123,,5533,12.7,51584,43,43.2,12806,50613,23312,37.7,11691,2.49,642,72.9,20000,20000,11431,25.4,26844,298800,749,102448
"Midland, MI Metro Area",64980,10.4,67552,,5435,15.8,56091,56,41.5,12025,39526,18216,31.4,9071,2.09,314,73.4,13910,13910,11110,20.8,34197,133600,700,82646
"Midland, TX Metro Area",126064,6,130723,,5565,6.5,80747,21.2,27.8,16838,94261,51140,43.8,20047,2.58,-999999999,66.1,20022,20022,19110,8.2,39367,146200,1281,175940
"Milwaukee-Waukesha-West Allis, WI Metro Area",1213267,9,1254071,,70004,9.5,60643,43.5,34,177597,826511,361843,31.7,251335,2.18,6484,60.4,254432,254432,128631,8.2,35106,215800,884,1562591
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2772213,8.3,2866310,,194386,10.6,79578,39.1,28.4,319778,2050557,856204,30.1,415957,2.24,10087,70,680748,680748,289763,2,40772,222100,1090,3601564
"Minot, ND Micro Area",58225,7.8,60108,,2731,8.3,65085,15.5,30.1,8188,37397,17407,38.9,12820,1.94,593,59.4,10283,10283,8445,8.5,31626,270600,946,70379
"Missoula, MT Metro Area",96670,9.5,98913,,8118,12.8,56598,48.9,28.7,11456,70418,22056,35.9,21532,1.94,905,57.3,16851,16851,12018,3.4,31690,190100,857,118160
"Mobile, AL Metro Area",316980,9.5,328844,,10290,6.5,43061,31.5,44.5,73905,181636,96652,34.3,63441,2.47,5658,60,53683,53683,41503,23,24663,302100,824,409671
"Modesto, CA Metro Area",401014,7.8,418513,,44752,20.9,60321,53.9,39.9,83538,251631,148550,39.4,71480,3.12,3260,59.2,68318,68318,35373,2.5,26191,131700,1158,547120
"Monroe, LA Metro Area",133923,9.2,138767,,9982,15,44353,57.9,44.5,27124,76925,42778,32,24781,2.63,1354,61.8,19518,19518,20492,15.6,27350,318900,749,170917
"Monroe, MI Metro Area",118257,10.7,122210,,5596,8.6,61916,50.8,39.1,20129,74375,32148,32.6,12169,2.03,653,80.2,31460,31460,17957,9.4,31458,156600,848,149633
"Montgomery, AL Metro Area",286579,9.2,298057,,11174,7.5,51943,35.3,42,59251,170087,86620,43.9,51071,2.44,4566,64.2,56505,56505,35152,21.9,28400,168800,897,362657
"Morehead City, NC Micro Area",57181,15.5,58873,,2334,8.8,54833,16.6,45.5,9998,31561,12332,37.7,7282,2.18,627,74.6,11216,11216,10222,5.8,29367,144600,879,68264
"Morgantown, WV Metro Area",116087,8.5,118793,,6759,11,50574,37.9,40,23400,71015,24121,42.3,20021,2.28,1068,62.3,17266,17266,15886,13.8,30180,218500,837,135994
"Morristown, TN Metro Area",92767,11,95938,,4961,11.4,47439,9.5,45.3,20602,52411,25780,45.6,12530,2.49,501,71.4,16842,16842,14400,15.5,24056,171600,679,116753
"Moses Lake, WA Micro Area",69041,9,71819,,6997,18.1,53057,41.3,37.3,12753,45004,28270,40.6,11832,2.85,-999999999,61.6,11009,11009,7965,9,23269,146700,770,96877
"Mount Airy, NC Micro Area",56752,11.6,58278,,1082,3.8,48398,19.5,44.8,11884,32156,15156,42,8058,2.16,766,72.4,10750,10750,10422,25.4,25363,201600,582,71195
"Mount Pleasant, MI Micro Area",58756,7.6,60286,,4588,14.5,46198,24.2,38.9,12496,36819,11766,34.3,9407,2.55,362,62.9,9221,9221,6739,23.9,24521,123100,744,70023
"Mount Vernon-Anacortes, WA Metro Area",100229,12.3,103110,,4945,9.3,73206,59.7,39.5,14717,61628,27860,32.6,14986,2.38,723,69.1,20558,20558,12930,2.1,34708,139200,1107,126580
"Muncie, IN Metro Area",93342,9.6,95928,,6246,12.6,41662,33.8,39.9,18215,57484,21297,35.8,15923,2.2,1380,64.9,17769,17769,11619,33,23387,336900,750,113288
"Muskegon, MI Metro Area",133524,10.1,138591,,10972,15.5,50080,45.6,42.3,23450,79963,40037,36.6,16712,2.24,1415,75.1,28984,28984,21500,21.4,25432,96000,751,168411
"Muskogee, OK Micro Area",51722,9.2,53667,,3123,12,45290,21.3,44.4,9819,29814,16594,41.1,8888,2.25,1063,66.5,10145,10145,7533,27,24361,123300,685,65107
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",398389,17.6,408365,,14308,7.8,51580,23.7,46.8,69269,216712,82491,29.3,43783,2.7,2780,76.7,81189,81189,62960,11.5,28877,113100,933,477763
"Nacogdoches, TX Micro Area",50361,8.7,51893,,1928,7.9,46459,41.6,45.5,12177,28264,15330,51,9008,2.38,380,61.6,5501,5501,8933,12.9,21778,194700,741,64924
"Napa, CA Metro Area",110513,11.4,114103,,8199,13.2,87025,34.1,36,14776,72954,28882,29.2,17262,2.97,648,63.5,19705,19705,10348,2.2,40470,144400,1655,137800
"Naples-Immokalee-Marco Island, FL Metro Area",313957,15.9,321278,,6911,5,69867,25.5,47.7,41186,168117,64476,27.1,37736,2.94,1738,73.8,50812,50812,55624,2.8,45138,665100,1257,376691
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1486012,8.2,1534538,,66770,7.2,65919,29.3,31.5,222102,1050808,445689,33.4,251551,2.41,13055,65.6,321616,321616,157542,4.7,34879,369700,1081,1913797
"New Bern, NC Metro Area",97149,11.5,100124,,5289,12.8,48557,12.7,45.5,20418,49214,26209,33,17794,2.4,1631,64.1,16567,16567,15166,13.3,27535,261900,923,116278
"New Castle, PA Micro Area",69389,12.1,71732,,5926,16.6,47853,78.1,40.6,10882,42521,16740,40,10722,2.01,1030,71.4,14230,14230,12545,30.6,26428,158900,736,85068
"New Haven-Milford, CT Metro Area",684308,9.7,705905,,58483,14.9,67845,55.3,35.1,102645,458115,173298,30.9,131069,2.2,5960,60.9,134133,134133,70337,4.9,38305,110300,1150,847128
"New Orleans-Metairie, LA Metro Area",987568,9.7,1018658,,87145,16.2,50301,51,38.3,184889,625250,282363,35.3,182013,2.41,10959,62.3,166503,166503,133926,7.9,29830,251100,977,1252374
"New Philadelphia-Dover, OH Micro Area",71117,10.9,73525,,5365,13.5,49658,49.6,36.6,9873,46582,21008,34.5,11568,2.22,722,68.5,13261,13261,11911,22.7,27209,203800,735,91239
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",15690043,8.8,16174055,,1235697,13.4,78478,42.2,35.3,2565127,10453093,4282540,30.4,3513413,2.48,101157,51.8,2374085,2374085,1395425,1.4,43035,141100,1434,19801347
"Niles-Benton Harbor, MI Metro Area",120570,11.2,123766,,9273,14,51262,32.6,36.9,18085,78093,33556,35,17834,2.04,707,72.5,27839,27839,19110,19.4,31244,457100,686,153191
"North Port-Sarasota-Bradenton, FL Metro Area",688542,16.7,704555,,20639,6.8,60921,18.8,48.3,97810,364021,132854,28.2,85437,2.64,3527,74.5,120825,120825,128273,8.1,37874,152900,1267,814558
"Norwich-New London, CT Metro Area",215051,10.3,221413,,18402,15.3,67197,50.5,34,28423,140829,51718,30.9,36595,2.14,1067,66.1,47578,47578,23925,2.8,36428,257600,1115,256016
"Orangeburg, SC Micro Area",68182,11.6,69585,,5090,16.2,36536,34.7,46,15679,37542,18752,30.6,11295,2.56,3455,66.3,7920,7920,14346,23.4,18826,238400,644,86165
"North Wilkesboro, NC Micro Area",54513,12.2,56324,,1473,5.6,43466,11.5,41.5,10606,32916,13989,47.3,7885,2.28,-999999999,73.8,8919,8919,13319,32.8,27684,99500,617,67791
"Orlando-Kissimmee-Sanford, FL Metro Area",2010897,8.7,2073840,,94282,8,58610,19.2,35.8,343143,1330436,560989,35.7,341468,2.84,11043,61,347027,347027,188007,5.5,29431,109000,1217,2553365
"Oshkosh-Neenah, WI Metro Area",136120,9.2,140227,,5633,7,56589,42.8,34.8,17029,91487,34838,30.3,23548,2.07,506,67,29263,29263,18521,14.6,31885,242500,735,166379
"Ottawa-Peru, IL Micro Area",116557,11.1,120775,,9563,14.9,52572,41.6,38.3,16379,74426,31296,35.5,17042,2.18,1021,71.8,23201,23201,20161,26.8,30162,149200,691,144344
"Owensboro, KY Metro Area",90232,9.9,93121,,7328,15,51459,53.2,39.2,15955,56512,29411,36.5,14293,2.3,775,69.4,19429,19429,12965,24.3,26533,123600,767,117737
"Oak Harbor, WA Micro Area",69776,15,71556,,5250,19.2,64793,53.1,45.2,12711,32971,14684,32.2,9291,2.41,-999999999,73.1,15755,15755,9526,1.1,36251,137600,1191,78016
"Ocala, FL Metro Area",294189,15.5,302081,,10849,9.4,44576,32.1,53.7,51092,139826,65473,33.1,35010,2.64,2828,75.6,53696,53696,54735,16.8,25634,392500,901,350908
"Ocean City, NJ Metro Area",77821,14.7,79952,,4023,10.7,67007,22.8,42.4,11491,44812,14739,32.1,7677,2.13,-999999999,80.4,18968,18968,12563,1.9,42585,150600,1107,90196
"Odessa, TX Metro Area",113190,5.6,117708,,3697,5.2,64165,13.3,32.5,20498,79507,48900,45.4,19177,2.76,-999999999,64.7,16033,16033,19116,18.4,30683,306900,1028,161050
"Ogden-Clearfield, UT Metro Area",469558,6.7,491554,,15039,5.1,76653,20.6,31.8,75175,332722,206994,31.2,50897,2.75,1802,75.9,114200,114200,46235,2.2,29048,148000,1000,670230
"Ogdensburg-Massena, NY Micro Area",86447,9.9,89174,,8215,19.4,49681,37,46.2,18177,47982,21562,40.8,11839,1.9,894,71.6,15323,15323,14518,35,25682,282800,685,104389
"Oklahoma City, OK Metro Area",1051681,8.3,1086472,,39798,6.4,57485,20,34.2,176213,709402,344321,41.3,192848,2.51,10564,63.1,199723,199723,129468,16.7,30642,98400,879,1376236
"Olean, NY Micro Area",60115,11,62371,,5355,16.7,48179,66.3,41.6,10554,36455,16633,34.1,9153,2.13,712,71.5,11602,11602,11324,41.1,25133,160900,688,76091
"Olympia-Tumwater, WA Metro Area",225038,11,232674,,15832,12.8,72703,38.5,38.5,38039,139547,61290,33.6,39779,2.53,-999999999,64.1,48533,48533,22401,1.7,34725,86200,1222,280820
"Omaha-Council Bluffs, NE-IA Metro Area",701434,8.3,728218,,27579,6.2,66241,23.8,30.1,91493,504030,239565,31.8,127305,2.2,4978,64.9,161247,161247,74212,10.5,34714,314900,910,927832
"Opelousas, LA Micro Area",60504,9.4,63347,,4109,15.3,32867,69,48.2,16176,32803,22245,27.5,10337,3.03,1425,65.5,6662,6662,12966,23.7,20035,178900,621,81729
"Owosso, MI Micro Area",53626,11,55620,,3861,13,54456,29.2,39.6,8827,33613,14566,37,7720,2.22,-999999999,72.6,11944,11944,8554,29.7,29621,129200,684,67778
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",656509,8.9,679810,,45545,11.8,84566,32.6,35,104581,438249,194167,33.4,102016,3.14,5075,62.5,120085,120085,49879,1.7,36791,125100,1747,843490
"Paducah, KY-IL Micro Area",76285,10.6,78681,,8688,23.2,47346,58.3,45.1,15829,43157,22313,36.3,12645,2.26,1195,68.1,12949,12949,14085,25.5,30336,614400,747,96990
"Palatka, FL Micro Area",58406,14.3,60519,,2897,12.9,41608,14.5,53.3,13646,28284,15677,28.5,6296,2.89,-999999999,77.5,8632,8632,12999,32,21696,121600,736,73177
"Palm Bay-Melbourne-Titusville, FL Metro Area",487222,12.8,500565,,21610,9.3,57888,21.6,45.8,91418,270265,109395,34.4,55114,2.48,2246,75.7,96868,96868,74381,10,31082,90600,1074,591234
"Panama City, FL Metro Area",159537,10.1,164814,,11344,13.6,51842,38.4,40.7,28159,94264,43382,46,25141,2.64,1367,68.7,31074,31074,24232,14.9,28028,221300,1077,195631
"Parkersburg-Vienna, WV Metro Area",72611,11.7,75158,,6457,17.7,44054,70.5,45.4,15307,41061,19806,39.7,10502,2.03,1095,73.1,14330,14330,14163,25.2,25884,175000,727,91950
"Pensacola-Ferry Pass-Brent, FL Metro Area",389806,9.7,401176,,17215,8.6,57998,39.7,40.5,72025,229012,104829,34.6,58406,2.49,2751,68,76445,76445,47860,16.5,30210,126600,999,473528
"Peoria, IL Metro Area",283391,10.1,292926,,17176,11.1,58603,45.6,39.6,48939,176738,85179,34.1,45071,2.19,3424,69.5,60252,60252,42284,22.4,31495,169800,777,363262
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",4775449,9.1,4925297,,288644,10.4,70747,42,34.8,748961,3203213,1317542,32.6,764467,2.3,29069,66.6,1000945,1000945,520239,6.8,38404,140200,1134,6016894
"Portland-South Portland, ME Metro Area",435311,11.6,447188,,18057,6.8,69980,24.4,31.9,50195,303896,99905,29.5,67663,1.92,3382,70.4,107340,107340,53245,3.4,37903,256400,1068,530349
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",1947785,9.2,2007800,,129017,10.7,75599,38.4,32.8,289942,1348600,530596,31.4,359090,2.35,10044,62.4,419237,419237,176620,1.2,38987,275600,1323,2463811
"Port St. Lucie, FL Metro Area",392387,13.9,403409,,16272,9.2,55714,23.2,48.4,69839,207523,89550,30.9,44035,2.76,1806,75.8,70828,70828,66975,8.2,31818,397500,1254,476747
"Phoenix-Mesa-Scottsdale, AZ Metro Area",3704034,9.1,3834872,,239816,11.3,64427,41.9,36.8,601070,2417996,1152495,32.8,624706,2.7,23968,63.9,750674,750674,355020,3.7,32438,233300,1117,4800763
"Pine Bluff, AR Metro Area",71434,10.5,73892,,3787,13.6,37314,34.2,56.3,15418,32317,18872,40.2,12014,2.47,1377,63,8746,8746,11707,39.2,20100,267000,721,79703
