CITY,Total Population 65-74 %,Total Population 65-74 %,Total Population 65-74 %,16+ Yrs Not in Labor Force %,Percetage of Labor Force with Public Health Insurance,Percent of Population Employed Health Insurance Coverage Ages 19-64,of Owner Occupied Housing Units %,"Homes Using Oil, Kerosene for Heat Energy %",Homes Using Coal for Heat Energy %,Homes with No Heat %,Homes Using Wood for Heat Energy %,Homes Using Solar Energy %,Workers Carpooling %,Homes Heating with Coal %,Foriegn Born %,Foriegn Born %,Homes Heating with Wood %,Workers Taking Taxi to Work %,Workers Taking Taxi to Work %.

NAME,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP03_0007PE,DP03_0112PE,DP03_0107PE,DP04_0049E,DP04_0046PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0067PE,DP02_0095PE,DP02_0095PE,DP04_0068PE,DP03_0021PE,DP03_0021PE
CATEGORY,Social,Political,Economic,Economic,Economic,Economic,Social,Social,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Political,Social,Environmental,Environmental,Social
"Muskogee, OK Micro Area",8.6,8.6,8.6,29.3,16.7,6.1,2.18,66.1,0.2,0,0.5,1528,18,8.4,0,42,42,0.4,1,1
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",9.3,9.3,9.3,35,31,12.8,3.18,62.8,0.1,0,5.5,1053,1663,10.2,0,52.7,52.7,0.4,1.3,1.3
"Nacogdoches, TX Micro Area",11,11,11,43.2,39.4,16.6,2.06,67,,,,,,7.3,,70.9,70.9,,0.2,0.2
"Napa, CA Metro Area",13.4,13.4,13.4,50,35.7,14,2.35,65.8,,,,,,10.3,,32.3,32.3,,0.5,0.5
"Naples-Immokalee-Marco Island, FL Metro Area",13,13,13,45.3,25.8,8.4,2.52,77.5,0.2,0,1,568,275,6.8,0,68.4,68.4,0.2,0.4,0.4
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",10.9,10.9,10.9,37.6,20.5,8.7,2.32,70.7,,,,,,10.4,,61.1,61.1,,0.9,0.9
"New Bern, NC Metro Area",11.9,11.9,11.9,46.6,47.1,24.8,2.15,74.9,0.7,0,0.1,703,0,10.2,0,48.3,48.3,1.9,0.4,0.4
"New Castle, PA Micro Area",10.2,10.2,10.2,39,26.8,10.4,2.48,65.7,0,53,0.6,1260,40,10.9,0,55.9,55.9,0.7,0.4,0.4
"New Haven-Milford, CT Metro Area",10.9,10.9,10.9,39.6,49,13.2,2.09,72.7,0.1,27,0.3,1339,23,7,0,44.5,44.5,0.8,1.1,1.1
"New Orleans-Metairie, LA Metro Area",9.4,9.4,9.4,34.4,40.6,10.4,2.25,66.7,11.8,2389,0.5,11045,3251,8,0.1,56.9,56.9,0.5,9.4,9.4
"New Philadelphia-Dover, OH Micro Area",9.3,9.3,9.3,36.6,40.3,11,2.67,64.6,0.1,98,0.7,3673,12603,10.7,0,43.7,43.7,0.2,1.8,1.8
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",10.7,10.7,10.7,51.2,47.5,12.7,2.31,67.7,,,,,,7.5,,20,20,,2,2
"Niles-Benton Harbor, MI Metro Area",13,13,13,42.7,22.7,12.2,2.15,74.5,1.9,0,1.6,976,0,7.5,0,40.3,40.3,2.4,0,0
"North Port-Sarasota-Bradenton, FL Metro Area",11.6,11.6,11.6,36.9,43.9,8.9,1.85,68.2,6.4,1519,0.4,10809,637,8.3,0.1,49.7,49.7,1.1,6,6
"Norwich-New London, CT Metro Area",13.8,13.8,13.8,37.3,54.6,19.6,1.93,70,32.7,58,0.4,2311,0,11.2,0.1,70.3,70.3,4.3,2.1,2.1
"Orangeburg, SC Micro Area",10.2,10.2,10.2,46.2,52.2,16.1,2.11,65.5,34.6,82,0.3,1887,79,9,0.3,39.2,39.2,6,0.2,0.2
"North Wilkesboro, NC Micro Area",8.8,8.8,8.8,36.8,32.4,7.2,2.3,68,1.2,57,0.3,611,0,12.3,0.2,30,30,1.8,0.7,0.7
"Orlando-Kissimmee-Sanford, FL Metro Area",11.5,11.5,11.5,60,74.9,38,2.56,69.8,,,,,,8.7,,null,null,,0.3,0.3
"Oshkosh-Neenah, WI Metro Area",17.9,17.9,17.9,51.8,44.9,19.9,2.14,70.8,1.3,34,0.7,3120,0,11.9,0.1,74.4,74.4,9.4,1.5,1.5
"Ottawa-Peru, IL Micro Area",11.9,11.9,11.9,32.6,38,8.2,1.98,71.2,57.1,110,0.4,11363,727,9,0,55.9,55.9,5,1,1
"Owensboro, KY Metro Area",9.6,9.6,9.6,33.2,34,9.5,2.29,61.8,1.4,299,0.4,23856,608,8.7,0,51.8,51.8,2.5,6.7,6.7
"Oak Harbor, WA Micro Area",14.1,14.1,14.1,44,26.5,7.5,2.7,76.8,,,,,,9,,58,58,,0.6,0.6
"Ocala, FL Metro Area",10.5,10.5,10.5,50.9,53.6,16.6,2.38,68.2,1,0,0.1,778,0,6.5,0,,,2.7,0.1,0.1
"Ocean City, NJ Metro Area",11.8,11.8,11.8,42.9,60.8,9,2.13,76.7,50.1,6674,0.3,1372,45,9.9,11.5,59.8,59.8,2.4,0.2,0.2
"Odessa, TX Metro Area",9.3,9.3,9.3,36.5,39.3,12.4,2.38,66.6,38,223,0.7,4194,610,7.8,0.1,64.5,64.5,1.7,5.3,5.3
"Ogden-Clearfield, UT Metro Area",19.9,19.9,19.9,51.6,41.8,15.1,2.29,70.7,0.4,0,0.1,3330,811,10.5,0,49.3,49.3,3.2,0.2,0.2
"Ogdensburg-Massena, NY Micro Area",10.1,10.1,10.1,35,39.3,13.7,2.2,62,27.5,42,0.3,9269,629,8.5,0,59,59,1.5,2.9,2.9
"Oklahoma City, OK Metro Area",4.7,4.7,4.7,28.6,12.8,5.1,3,67.9,0.1,189,0.1,483,766,12,0.1,45.5,45.5,0.3,2.7,2.7
"Olean, NY Micro Area",10.9,10.9,10.9,44.9,49.5,21.1,2.33,67.1,0,0,0.5,1147,121,14.2,0,41.9,41.9,1.7,0.1,0.1
"Olympia-Tumwater, WA Metro Area",21.7,21.7,21.7,60.8,44.5,9.7,2.65,81.9,0.1,62,0.5,0,270,7.3,0.1,63.9,63.9,0,0.3,0.3
"Omaha-Council Bluffs, NE-IA Metro Area",9.9,9.9,9.9,37,21.8,9.8,2.12,72.5,0.6,0,0.6,775,0,8.3,0,76.3,76.3,2.6,0.7,0.7
"Opelousas, LA Micro Area",10.3,10.3,10.3,38.1,18.4,9.6,2.33,67.1,1.6,0,0.5,666,0,8.8,0,47.6,47.6,0.8,0.8,0.8
"Owosso, MI Micro Area",7.7,7.7,7.7,31.2,20.4,4.5,2.37,65.6,0.3,0,0.3,2022,164,7.3,0,41.1,41.1,0.4,0.8,0.8
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",11.4,11.4,11.4,33,10.6,9.4,2.03,68,0.2,0,0.4,1365,0,10,0,63.3,63.3,2.4,0.3,0.3
"Paducah, KY-IL Micro Area",10.1,10.1,10.1,34.5,40.3,11.4,2.44,69.6,24.8,1655,0.3,4463,108,7.3,1.1,61.5,61.5,2.9,1.3,1.3
"Palatka, FL Micro Area",11.6,11.6,11.6,45.4,44.7,17.4,2.71,73.6,3.1,0,0,4423,0,13.4,0,50.6,50.6,17.5,0.1,0.1
"Palm Bay-Melbourne-Titusville, FL Metro Area",12.7,12.7,12.7,44,58.6,20.4,2.43,63.2,1.9,0,0.3,10364,343,9.5,0,67.2,67.2,14.3,0.3,0.3
"Panama City, FL Metro Area",10.6,10.6,10.6,33.6,29.6,8.2,2.27,58.5,1.5,0,0.5,2875,240,13.1,0,47.1,47.1,1.5,2.2,2.2
"Parkersburg-Vienna, WV Metro Area",10.8,10.8,10.8,37.2,34.7,14.2,2.17,66.4,3.3,105,1.6,1097,0,13.6,0.4,6.5,6.5,4,0.7,0.7
"Pensacola-Ferry Pass-Brent, FL Metro Area",10.5,10.5,10.5,35.6,45.4,14.1,2.29,68.1,0,0,0.3,110,58,9.6,0,48.4,48.4,0.1,0.7,0.7
"Peoria, IL Metro Area",12,12,12,41.5,28.3,12.1,2.24,62.8,0.9,0,0.3,108,0,7.1,0,55.3,55.3,0.2,0.3,0.3
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",10.3,10.3,10.3,42.2,20.2,5.8,2.39,60.9,,,,,,9.9,,25.6,25.6,,0,0
"Portland-South Portland, ME Metro Area",15,15,15,47.2,65.2,22.5,2.37,69.9,1.3,0,0.2,7096,242,12,0,75.5,75.5,15.4,0,0
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",9.5,9.5,9.5,42,57.1,25.7,2.43,67.5,,,,,,9.3,,47.7,47.7,,0.2,0.2
"Port St. Lucie, FL Metro Area",9.4,9.4,9.4,44.5,39.7,15.6,2.33,72.1,,,,,,9.9,,23.2,23.2,,1.4,1.4
"Phoenix-Mesa-Scottsdale, AZ Metro Area",9.4,9.4,9.4,37.2,45.2,15.2,2.65,60.4,0.1,0,0.5,15756,6525,9.3,0,57.7,57.7,1.8,2.2,2.2
"Pine Bluff, AR Metro Area",11.1,11.1,11.1,42.6,69,18.8,2.28,72.1,1.3,0,0.8,1847,0,8.8,0,54,54,2.3,0.6,0.6
"Pinehurst-Southern Pines, NC Micro Area",9.8,9.8,9.8,33.2,27.9,8.6,2.38,66.3,3.8,0,0.6,4388,396,8.6,0,44.5,44.5,0.9,1.7,1.7
"Pittsburgh, PA Metro Area",8.9,8.9,8.9,41.3,32.7,16.9,2.29,60.8,0.4,0,0.9,1424,76,13.1,0,49.4,49.4,3.6,0.2,0.2
"Pittsfield, MA Metro Area",7.9,7.9,7.9,39.7,44.2,17.8,3.21,63.9,0.1,55,1.3,14386,11271,10.5,0,54.3,54.3,1,1.1,1.1
"Plattsburgh, NY Micro Area",12.4,12.4,12.4,39.3,38.1,7.1,2.15,69.3,5.9,0,0.4,3522,61,6.4,0,54.1,54.1,2.8,1.3,1.3
"Pocatello, ID Metro Area",11.1,11.1,11.1,47.5,25.7,11.6,2.5,65.8,5.5,0,0.1,406,8,6,0,51.3,51.3,1.4,0,0
"Ponce, PR Metro Area",9.7,9.7,9.7,28.9,48.9,7.6,1.98,74.3,0.6,0,1,2219,24,12.8,0,52.4,52.4,2.4,3.4,3.4
"Port Angeles, WA Micro Area",10.6,10.6,10.6,36.3,50,15.2,2.06,66.3,4.3,1146,0.4,8933,81,8,0.3,63,63,2,1.9,1.9
"Portsmouth, OH Micro Area",8.8,8.8,8.8,28.8,42.5,13.2,2.19,67.8,2.2,0,0.6,1734,21,9.6,0,63.7,63.7,2.3,1.3,1.3
"Pottsville, PA Micro Area",11.9,11.9,11.9,41.9,29,6.6,2.79,72.1,0,0,0.3,1113,39,11.6,0,39.9,39.9,1.8,0.4,0.4
"Prescott, AZ Metro Area",9.5,9.5,9.5,43.5,12.4,7.6,2.15,63.3,0.2,0,0.1,1253,27,8.5,0,43.9,43.9,2.7,0.6,0.6
"Providence-Warwick, RI-MA Metro Area",9.9,9.9,9.9,34.7,26.7,7.2,2.05,69.2,0.2,152,0.3,8377,219,7.1,0,55.9,55.9,0.7,1.8,1.8
"Provo-Orem, UT Metro Area",12.2,12.2,12.2,41.9,55.3,12.6,2.33,75.5,7.6,129,0,1976,0,6.9,0.3,95.6,95.6,4.9,0.4,0.4
"Pueblo, CO Metro Area",9.9,9.9,9.9,39,64.1,14.6,2.41,63.9,0.8,0,0.2,6208,130,10,0,35.8,35.8,4.1,1.5,1.5
"Punta Gorda, FL Metro Area",8.3,8.3,8.3,38.6,40.7,15.6,3.42,52.8,0.1,0,1.5,2640,549,10.2,0,28.1,28.1,2.1,1.2,1.2
"Quincy, IL-MO Micro Area",15.2,15.2,15.2,43.9,38.6,16.1,2.63,73.8,9.3,53,0.7,2373,562,8.6,0,41.5,41.5,1.4,0.8,0.8
"Racine, WI Metro Area",6.8,6.8,6.8,27.9,9.4,3.4,2.49,68.2,0,54,0.2,352,843,10,0,41,41,0.1,3.5,3.5
"Raleigh, NC Metro Area",8.8,8.8,8.8,36,41.2,4.9,2.13,66.8,,,,,,11.7,,40.2,40.2,,0.4,0.4
"Rapid City, SD Metro Area",8,8,8,34.7,18.2,6.8,2.8,62.7,0,36,0.5,1729,2634,11.3,0,43.2,43.2,0.2,1.9,1.9
"Reading, PA Metro Area",8.4,8.4,8.4,33.3,35.2,13.7,2.77,53.8,0,41,4.1,6082,16537,8.6,0,57.9,57.9,0.5,2.8,2.8
"Redding, CA Metro Area",12.5,12.5,12.5,38,60.2,9.6,2.38,72,0.9,0,0.2,609,0,11.5,0,78.3,78.3,2,0.5,0.5
"Reno, NV Metro Area",9.2,9.2,9.2,32.2,34.9,9.6,2.54,54,0.1,710,2.4,5220,13145,8.6,0,58.3,58.3,0.3,18.9,18.9
"Richmond, IN Micro Area",13.6,13.6,13.6,61,66.3,31.7,2.77,72.1,,,,,,4.4,,null,null,,0.8,0.8
"Richmond, VA Metro Area",7.8,7.8,7.8,32,35.1,8.8,2.81,55.2,0.1,0,0.9,2230,6633,10.5,0,54.4,54.4,0.3,4.7,4.7
"Richmond-Berea, KY Micro Area",11.1,11.1,11.1,51.5,62,24.9,2.53,68.3,0,64,86.2,0,3972,8.3,0,null,null,0,1.5,1.5
"Riverside-San Bernardino-Ontario, CA Metro Area",11.2,11.2,11.2,39.1,48.7,13.7,2.14,66.2,14.7,4477,0.3,3990,27,11.1,1.9,51.8,51.8,1.7,0.9,0.9
"Roanoke, VA Metro Area",9.7,9.7,9.7,47,67.5,14,2.49,64.8,,,,,,,,48.3,48.3,,,
"Roanoke Rapids, NC Micro Area",8.4,8.4,8.4,30.7,37.2,8.4,2.27,59.7,2,208,0.6,25553,1158,9.9,0,48.3,48.3,1.7,10.7,10.7
"Rochester, MN Metro Area",18.2,18.2,18.2,50.2,16.7,8.2,2.83,77.3,,,,,,6.5,,39.2,39.2,,0.4,0.4
"Rochester, NY Metro Area",16.6,16.6,16.6,57.4,19.5,11,2.6,80,,,,,,9.3,,53,53,,0.4,0.4
"Rockford, IL Metro Area",14.5,14.5,14.5,46.5,16.8,12.6,2.41,76.7,,,,,,11.2,,39,39,,0,0
"Rocky Mount, NC Metro Area",12.7,12.7,12.7,40.2,32.3,13.3,2.67,71.6,,,,,,15.8,,20.7,20.7,,0.9,0.9
"Rome, GA Metro Area",12.5,12.5,12.5,41.2,29.9,11.9,2.48,62.4,0,0,1.1,2577,913,10.4,0,51.2,51.2,2.4,1.8,1.8
"Roseburg, OR Micro Area",11.8,11.8,11.8,35.4,34,12.2,2.73,59.9,0.2,296,2,3840,817,10.4,0.3,49.9,49.9,3.9,2.7,2.7
"Roswell, NM Micro Area",15.9,15.9,15.9,41.6,51.6,17.3,2.22,71.4,0,0,0.3,2884,1542,11.5,0,41.9,41.9,4.6,0.9,0.9
"Russellville, AR Micro Area",8.7,8.7,8.7,36.4,30.4,13.8,2.97,52.2,0,0,4,583,752,15,0,34.1,34.1,0.4,3.4,3.4
"Sacramento--Roseville--Arden-Arcade, CA Metro Area",12.7,12.7,12.7,34.7,27.4,11.6,2.53,62.2,0.1,0,0.6,5687,1419,10.1,0,48.1,48.1,3,1.7,1.7
"Saginaw, MI Metro Area",9.4,9.4,9.4,35.5,23.1,6.4,2.56,60.5,0,0,0.3,205,0,10.7,0,51.5,51.5,0.1,1.9,1.9
"Salisbury, MD-DE Metro Area",9.4,9.4,9.4,43.1,11.3,9,2.63,69.8,0,0,0.4,544,0,7.4,0,43.6,43.6,2.1,0.1,0.1
"Salt Lake City, UT Metro Area",10.6,10.6,10.6,33.3,43.7,7.5,2.04,71.5,1.7,47,0.5,960,0,8,0.1,61.6,61.6,2,0.5,0.5
"San Angelo, TX Metro Area",11.4,11.4,11.4,44.5,26.1,8.7,2.99,69.6,2.5,0,0.2,650,5,7.3,0,58.8,58.8,2.1,0,0
"San Antonio-New Braunfels, TX Metro Area",15.4,15.4,15.4,45.4,32.4,14.6,3.09,81.3,,,,,,15.6,,15,15,,1.6,1.6
"San Diego-Carlsbad, CA Metro Area",10.3,10.3,10.3,38.3,14,6.5,2.51,69.2,,,,,,8.6,,41.4,41.4,,0.3,0.3
"Sandusky, OH Micro Area",11.5,11.5,11.5,54.3,65.4,21.8,2.8,72.8,0,0,0.5,15063,126,9.9,0,42,42,38.9,2.3,2.3
"San Francisco-Oakland-Hayward, CA Metro Area",10,10,10,43.5,56.3,16.1,2.38,65,0,0,0.1,540,70,8.3,0,42.2,42.2,0.4,1.1,1.1
"San Germ\u00E1n, PR Metro Area",13,13,13,49.9,62.9,22.1,2.45,67.8,0,0,0.3,1208,276,10.2,0,52,52,2.3,0.3,0.3
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",9,9,9,30.4,29.6,9.9,2.32,66.4,0.6,0,0.3,277,0,10.2,0,56,56,0.5,1.3,1.3
"San Juan-Carolina-Caguas, PR Metro Area",8.7,8.7,8.7,26.3,3.7,6.1,1.97,65.3,0.4,0,0.8,412,0,9.2,0,50.8,50.8,0.4,0.4,0.4
"St. Cloud, MN Metro Area",12.8,12.8,12.8,46.5,51.6,11.8,2.01,78.5,38.4,3240,0.1,1749,0,6.2,11,73.2,73.2,5.9,0.1,0.1
"St. George, UT Metro Area",9.8,9.8,9.8,38.1,43.4,9.9,2.28,70.7,0.6,0,0.6,1669,56,9.9,0,35.8,35.8,1.3,1.3,1.3
"St. Joseph, MO-KS Metro Area",9.7,9.7,9.7,39.5,30.5,7.8,2.44,72.6,2.1,43,1,1062,114,10.9,0,57.9,57.9,0.9,0.3,0.3
"St. Louis, MO-IL Metro Area",10.4,10.4,10.4,39.5,45.8,15.7,2.21,62.7,1.3,28,0.3,12788,27,9.7,0,63.7,63.7,5.6,2.3,2.3
"Salem, OH Micro Area",11,11,11,38.6,40.5,11.4,2.12,67.5,0.1,33,0.2,185,0,8.4,0,61.1,61.1,0.2,1.7,1.7
"Salem, OR Metro Area",10.8,10.8,10.8,37.5,53.8,18.5,2.15,63.1,29.3,545,0.7,9152,466,7.2,0.2,66.1,66.1,3.4,2.5,2.5
"Salinas, CA Metro Area",9.4,9.4,9.4,41.1,26.3,5.9,2.07,58.9,0.3,216,0.1,5882,382,8.4,0.1,48.3,48.3,3,1.9,1.9
"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",11.2,11.2,11.2,40.3,58.2,18.4,2.36,67,2.5,40,0.2,256,0,9.2,0.1,54.4,54.4,0.5,0.5,0.5
"Santa Cruz-Watsonville, CA Metro Area",8.6,8.6,8.6,41.9,40,9.4,2.27,60.6,21.6,1204,0.4,2502,63,8.1,2,32.1,32.1,4.2,5.6,5.6
"Santa Fe, NM Metro Area",7.1,7.1,7.1,36.3,6.9,6.6,2.42,54.1,,,,,,8.8,,33.3,33.3,,1.3,1.3
"Santa Maria-Santa Barbara, CA Metro Area",12.1,12.1,12.1,38.7,18.7,8.8,2.06,71.9,7.7,81,0.7,3506,0,8.6,0.2,22.9,22.9,6.9,0.7,0.7
"Santa Rosa, CA Metro Area",10.2,10.2,10.2,34,28.1,9.4,1.9,69.3,1.1,0,1.2,1683,0,8.6,0,38.9,38.9,5.8,1.1,1.1
"Savannah, GA Metro Area",7.2,7.2,7.2,43.2,4.6,5.1,2.26,53.1,0.7,0,0.3,395,0,10.5,0,31.7,31.7,1.2,0.4,0.4
"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",7.7,7.7,7.7,40.1,48.3,19.1,3.29,58.4,0.1,82,0.6,2343,2621,12,0,53,53,1,2.3,2.3
"Searcy, AR Micro Area",10.5,10.5,10.5,43.1,36.7,13.7,2.3,66,0.5,0,0.7,227,0,7.4,0,60.3,60.3,0.4,0.1,0.1
"Seattle-Tacoma-Bellevue, WA Metro Area",11.9,11.9,11.9,42.6,58.6,12.5,2.22,68.8,33.8,2598,0.1,1195,38,9.9,6.7,20.4,20.4,3.1,0.3,0.3
"Sebastian-Vero Beach, FL Metro Area",10.1,10.1,10.1,37.7,45.7,15.3,2.12,68.2,8.2,2058,0.9,7115,124,7.8,0.8,52.6,52.6,2.8,2.3,2.3
"Sebring, FL Metro Area",10.9,10.9,10.9,46.1,16.4,6.6,2.46,73.7,2.2,0,0.5,241,0,14.4,0,7.7,7.7,0.8,0.5,0.5
"Seneca, SC Micro Area",9.2,9.2,9.2,37,22.9,6.9,2.3,57.9,0.6,0,0.4,1418,95,9.7,0,46.6,46.6,0.9,1.9,1.9
"Sevierville, TN Micro Area",11.2,11.2,11.2,39.7,20.7,7.5,2.48,66.7,0.1,208,1.1,657,3471,8.5,0,54.5,54.5,0.1,1.1,1.1
"Shawnee, OK Micro Area",10.5,10.5,10.5,42.4,47.6,12,2.18,68.7,1.4,68,0.6,2387,71,11.7,0.1,41.8,41.8,3.3,1.1,1.1
"Sheboygan, WI Metro Area",10,10,10,46.4,22,9.8,2.58,64.7,,,,,,8.7,,47.4,47.4,,0,0
"Shelby, NC Micro Area",33.2,33.2,33.2,79.2,3.9,11.5,2.13,88.5,,,,,,4,,60.7,60.7,,0,0
"Shelton, WA Micro Area",10.1,10.1,10.1,36.1,42.4,12.4,2.12,64,0.5,50,0.3,1583,0,7.4,0,56.7,56.7,0.6,0.9,0.9
"Sherman-Denison, TX Metro Area",11,11,11,34.7,20.4,7.2,2.23,69.3,0.2,0,0.2,1193,0,9.5,0,55.1,55.1,1.2,1.2,1.2
"Show Low, AZ Micro Area",12.7,12.7,12.7,32.9,56.9,13.1,2.1,74.6,55,32,0.7,3647,38,6.9,0,66.8,66.8,4.9,1.3,1.3
"Shreveport-Bossier City, LA Metro Area",13.9,13.9,13.9,37.4,48.6,13.8,2.14,80.1,2,0,0.5,4496,69,10.2,0,61.3,61.3,7.4,1.5,1.5
"Sierra Vista-Douglas, AZ Metro Area",8.8,8.8,8.8,37.5,37.9,6.1,2.49,62.6,6.1,61,0.3,189,117,10.5,0,48.5,48.5,0.1,7.7,7.7
"Sioux City, IA-NE-SD Metro Area",17,17,17,45.5,47,22.2,2.54,72.7,0.7,0,0,4203,226,6.7,0,43.5,43.5,10.7,0,0
"Sioux Falls, SD Metro Area",11.4,11.4,11.4,41.5,45,15.5,2.3,63,0,92,0.9,2112,3808,9.6,0,46.3,46.3,0.5,1.6,1.6
"Somerset, PA Micro Area",10.7,10.7,10.7,42,23.3,11.2,2.4,74.3,,,,,,9.7,,31.6,31.6,,0.1,0.1
"South Bend-Mishawaka, IN-MI Metro Area",9.4,9.4,9.4,35.7,20.6,5.4,2.33,64.8,0.1,0,0.2,4340,69,9.7,0,43.9,43.9,1.1,0.5,0.5
"Spartanburg, SC Metro Area",8.6,8.6,8.6,40.6,25.1,4.4,2.84,71.5,,,,,,7,,24.8,24.8,,0.1,0.1
"Springfield, IL Metro Area",9.2,9.2,9.2,42.4,14.5,5.8,2.5,66,,,,,,10.4,,33.7,33.7,,1.5,1.5
"Springfield, MA Metro Area",8.9,8.9,8.9,34.5,25.9,4.9,2.79,69.2,2.8,0,0,1819,238,8.8,0,27.8,27.8,4.6,0.2,0.2
"Springfield, MO Metro Area",9.1,9.1,9.1,38.1,28.6,3.6,2.53,66.8,,,,,,8.6,,30,30,,0.5,0.5
"Springfield, OH Metro Area",15,15,15,44.6,60.3,24.1,2.66,60.2,3.9,0,0.6,7648,272,5.5,0,37.2,37.2,22.2,0.7,0.7
"State College, PA Metro Area",9.9,9.9,9.9,34,34.4,9.7,2.72,57.4,0.1,313,55.8,215,10958,12.9,0.1,61.9,61.9,0.1,7.2,7.2
"Statesboro, GA Micro Area",10.8,10.8,10.8,42.1,50.4,17.5,2.05,69.4,16.1,663,0.3,6304,371,8.6,0.6,51.8,51.8,5.4,0.8,0.8
"Staunton-Waynesboro, VA Metro Area",7.9,7.9,7.9,36,45.4,12,2.6,56.3,0.2,0,1.2,125,0,11.7,0,42.7,42.7,0.2,0.4,0.4
"Stevens Point, WI Micro Area",9.9,9.9,9.9,36.6,37.2,13.8,2.75,62.2,0.2,0,0.7,1079,2939,13,0,60.4,60.4,0.7,3.4,3.4
"Stillwater, OK Micro Area",10.3,10.3,10.3,40.2,7.2,4.9,2.79,68.9,,,,,,14.5,,44.9,44.9,,1.2,1.2
"Stockton-Lodi, CA Metro Area",9.4,9.4,9.4,43.6,32.4,14.4,2.67,65.8,17.5,40,0.1,799,59,13.7,0.1,30.6,30.6,1.6,1.4,1.4
"Sumter, SC Metro Area",9,9,9,32.9,33.1,10.7,2.37,61.1,2.4,139,0.5,1639,651,7.8,0,59.9,59.9,0.2,1.6,1.6
"Sunbury, PA Micro Area",6.9,6.9,6.9,38.9,60.8,28.3,3.25,59.2,0.1,0,0.6,2562,1840,15.3,0,42.8,42.8,1.8,0.1,0.1
"Spokane-Spokane Valley, WA Metro Area",8.8,8.8,8.8,42,21.2,4.7,2.52,62.3,0,0,0.4,333,80,8.7,0,31.9,31.9,0.3,0.2,0.2
"Syracuse, NY Metro Area",10.1,10.1,10.1,40.8,28.4,11.5,2.17,67.1,0.5,101,1.2,548,65,7.7,0.4,44.6,44.6,2.4,1.1,1.1
"Talladega-Sylacauga, AL Micro Area",7.8,7.8,7.8,35.3,3.7,9,2.32,63.1,,,,,,6.2,,46.2,46.2,,0,0
"Tallahassee, FL Metro Area",12.6,12.6,12.6,45,27.3,10.1,2.18,73,1,357,0.2,2457,111,6.4,0.3,46.9,46.9,1.9,0.1,0.1
"Tampa-St. Petersburg-Clearwater, FL Metro Area",12.1,12.1,12.1,39.2,31.2,17.5,1.97,67.4,46.5,36,0.4,2901,502,7.8,0.1,54.2,54.2,4.2,2.6,2.6
"Terre Haute, IN Metro Area",13,13,13,42.9,54.8,20.8,2.31,65.5,7,0,0.5,3408,66,5.1,0,53.7,53.7,11.6,0.4,0.4
"Texarkana, TX-AR Metro Area",11,11,11,40.2,31.1,8,2.25,68.9,0.5,186,0.2,4974,0,8.2,0.1,47.9,47.9,1.4,0.7,0.7
"The Villages, FL Metro Area",8.9,8.9,8.9,33.5,35.1,11.6,2.12,61.6,1.5,0,0.7,1424,0,8.3,0,34.4,34.4,1.4,2.2,2.2
"Toledo, OH Metro Area",12.7,12.7,12.7,37.4,23.4,10.2,2.1,77.3,1.1,0,0.3,3339,34,5.2,0,56.4,56.4,8.2,0,0
"Topeka, KS Metro Area",9.5,9.5,9.5,37.4,60.9,11.4,2.3,66.4,0.3,0,0.3,79,0,8.1,0,45.2,45.2,0.2,1.7,1.7
"Torrington, CT Micro Area",9,9,9,31.8,19,4.9,2.23,65.1,0,84,0.2,5182,509,7.2,0,45.3,45.3,0.6,0.8,0.8
"Traverse City, MI Micro Area",12.5,12.5,12.5,36.1,24.4,10.5,2.84,67.4,0,0,64.7,0,1002,9.5,0,47.3,47.3,0,0.6,0.6
"Trenton, NJ Metro Area",12.6,12.6,12.6,37.5,21.1,8.8,2.17,67.5,60,0,0.3,3784,0,7.8,0,66.7,66.7,12.7,0.1,0.1
"Twin Falls, ID Metro Area",8.3,8.3,8.3,36.4,42.3,13.7,2.79,67.6,0.3,0,0.1,1493,0,13.1,0,30.6,30.6,1.5,0.2,0.2
"Truckee-Grass Valley, CA Micro Area",15.3,15.3,15.3,36.9,8.2,5,2.15,56.8,,,,,,7.1,,58.6,58.6,,0.1,0.1
"Tucson, AZ Metro Area",6.8,6.8,6.8,36.4,26.6,15.6,2.49,55.9,0.1,0,0.6,1148,178,11.4,0,49.5,49.5,0.7,0.6,0.6
"Tullahoma-Manchester, TN Micro Area",10.7,10.7,10.7,40.5,30.1,9.9,2.39,73,,,,,,8.6,,,,,0,0
"Tulsa, OK Metro Area",10.3,10.3,10.3,33.9,62.6,7.8,1.98,67.2,2,0,0.6,1346,16,8,0,60.8,60.8,2.4,0.8,0.8
