CITY,Total Population 65-74 %,Total Population 65-74 %,Total Population 65-74 %,16+ Yrs Not in Labor Force %,Percetage of Labor Force with Public Health Insurance,Percent of Population Employed Health Insurance Coverage Ages 19-64,of Owner Occupied Housing Units %,"Homes Using Oil, Kerosene for Heat Energy %",Homes Using Coal for Heat Energy %,Homes with No Heat %,Homes Using Wood for Heat Energy %,Homes Using Solar Energy %,Workers Carpooling %,Homes Heating with Coal %,Foriegn Born %,Foriegn Born %,Homes Heating with Wood %,Workers Taking Taxi to Work %,Workers Taking Taxi to Work %.

NAME,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP03_0007PE,DP03_0112PE,DP03_0107PE,DP04_0049E,DP04_0046PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0067PE,DP02_0095PE,DP02_0095PE,DP04_0068PE,DP03_0021PE,DP03_0021PE
CATEGORY,Social,Political,Economic,Economic,Economic,Economic,Social,Social,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Political,Social,Environmental,Environmental,Social
"Bozeman, MT Micro Area",9.8,9.8,9.8,34.3,23.9,6.6,2.48,67.5,0.1,0,0.6,284,1082,7.7,0,37,37,0.1,0.9,0.9
"Brainerd, MN Micro Area",8.5,8.5,8.5,32.4,21.2,6,2.45,65.4,0.9,92,0.3,5645,349,8.5,0,41.8,41.8,0.6,1.6,1.6
"Branson, MO Micro Area",10.9,10.9,10.9,35.8,23.5,6.8,2.17,65,4.5,0,0.4,3055,470,8,0,54.8,54.8,3.5,3,3
"Bremerton-Silverdale, WA Metro Area",10.5,10.5,10.5,38.5,22.4,6.8,2.29,66,0.5,0,0.3,2200,0,9.8,0,47.5,47.5,1,0.6,0.6
"Bridgeport-Stamford-Norwalk, CT Metro Area",11.2,11.2,11.2,42.6,50.8,18.6,2.64,59.1,0.1,0,0.5,4917,934,10.1,0,56.5,56.5,6.3,0.9,0.9
"Brownsville-Harlingen, TX Metro Area",10,10,10,44.6,38,16.3,2.16,73.7,5.6,0,0.2,1030,0,10,0,69.3,69.3,3.6,0.7,0.7
"Brunswick, GA Metro Area",9.3,9.3,9.3,33.6,41,9.2,2.15,66.9,2.4,191,0.6,7765,254,8.4,0,46.1,46.1,0.9,1.5,1.5
"Cape Girardeau, MO-IL Metro Area",11.6,11.6,11.6,41.2,50.6,16.2,2.27,75.7,0.6,36,0,766,0,7.4,0.1,58.5,58.5,2.2,0.1,0.1
"Carbondale-Marion, IL Metro Area",7.3,7.3,7.3,37.7,32.1,16.6,2.37,58.8,0.3,0,0.3,1282,0,9.1,0,56.3,56.3,1.1,0.7,0.7
"Carson City, NV Metro Area",14.1,14.1,14.1,47.4,78.8,35.5,2.94,67.3,10.5,0,1.9,5141,310,14.2,0,53.8,53.8,19.8,1,1
"Casper, WY Metro Area",10.2,10.2,10.2,39.8,28,7.5,2.35,66.9,,,,,,10.6,,40.6,40.6,,0,0
"Cedar Rapids, IA Metro Area",10.9,10.9,10.9,36.6,49.6,12.6,2.04,64.2,0.9,699,0.6,4597,81,7.8,0.1,58.1,58.1,0.5,2.9,2.9
"Centralia, WA Micro Area",11.5,11.5,11.5,36.8,20.3,5.9,2.21,69.2,0.4,0,0.3,4085,278,8.7,0,56,56,6.3,0.7,0.7
"Chambersburg-Waynesboro, PA Metro Area",6.3,6.3,6.3,38.1,16.6,4.2,2.49,51.9,0,0,0.3,238,0,9.4,0,35.4,35.4,0.3,1.3,1.3
"Waco, TX Metro Area",8.5,8.5,8.5,31.9,45.9,17.1,2.46,64.9,0.1,0,0.2,3127,86,9.7,0,60.6,60.6,1.1,0.4,0.4
"Walla Walla, WA Metro Area",7.7,7.7,7.7,32.1,18.3,4.9,2.28,60.2,0.2,0,0.3,1107,0,9.7,0,27.5,27.5,1.4,0.4,0.4
"Warner Robins, GA Metro Area",9.5,9.5,9.5,36.8,23.7,9.2,2.41,67.9,0.3,47,0.5,1392,280,7.2,0,43.6,43.6,0.4,1.1,1.1
"Warsaw, IN Micro Area",8.7,8.7,8.7,40.8,30.7,9.9,2.46,56.3,0,57,0.5,437,0,7.7,0,49.4,49.4,0.4,0.4,0.4
"Wichita Falls, TX Metro Area",10.9,10.9,10.9,42.9,0.6,7.3,2.61,75.8,,,,,,12.9,,36.4,36.4,,0,0
"Williamsport, PA Metro Area",9.6,9.6,9.6,36.1,62.7,7.5,2.3,72.4,,,,,,9.9,,29.8,29.8,,0.3,0.3
"Wilmington, NC Metro Area",8.3,8.3,8.3,31.4,37.7,10.2,2.32,60.9,1.1,28,0.3,7662,72,7.8,0,50.1,50.1,0.9,1.7,1.7
"Wilson, NC Micro Area",11.1,11.1,11.1,33.9,46.6,7,1.9,71.5,36.8,0,0.5,6067,0,7.8,0,60.9,60.9,10.1,0.5,0.5
"Watertown-Fort Atkinson, WI Micro Area",10.4,10.4,10.4,44.4,28.3,8,2.35,69.5,,,,,,8.8,,41.4,41.4,,0.1,0.1
"Watertown-Fort Drum, NY Metro Area",16,16,16,51.7,29.5,18.2,2.28,70,3.5,0,1.4,5749,33,12.5,0,67,67,20.8,0,0
"Wausau, WI Metro Area",11.7,11.7,11.7,40.2,60.2,21.3,2.17,72.6,6.3,1188,0.1,4151,13,9.3,3,37.6,37.6,10.6,1.5,1.5
"Weirton-Steubenville, WV-OH Metro Area",9.1,9.1,9.1,38,27,5.8,2.53,61.2,,,,,,9.2,,40.3,40.3,,0.9,0.9
"Wenatchee, WA Metro Area",10,10,10,38.8,30.1,10.4,2.06,57.3,0.1,0,1.4,1587,89,7.1,0,29.8,29.8,4.2,3.4,3.4
"Wheeling, WV-OH Metro Area",10.3,10.3,10.3,38,25.1,9.3,2.65,69.1,0,0,1.1,491,265,10.3,0,50.3,50.3,0.5,0.4,0.4
"Whitewater-Elkhorn, WI Micro Area",14.6,14.6,14.6,46.3,23.3,8.2,2.57,72.7,0.2,29,0.8,320,254,7.8,0,68.3,68.3,0.1,0.8,0.8
"Wichita, KS Metro Area",8.3,8.3,8.3,28.5,33,9.1,2.28,64.3,0,300,0.6,5296,5111,8.1,0,51.3,51.3,0.5,4.5,4.5
