CITY,TOTAL POPULATION under 18,TOTAL POPULATION under 18,Total Population of 18+,Total Population of 18+,Total Population of 18+,Per Capita Income ,Median Household Income,TOTAL CIVILIAN labor Force,Employed health insurance coverage ages 19-64,Renter Occupied Housing Units,Median Rent for Occupied Housing Units,Estimate of Owner Occupied Housing Units without a Mortgage,Median Housing Cost,Total Population Estimate,Total Male Population Estimate,Total Male Population Estimate,Estimate of Foriegn -born Population,Estimate of Foriegn -born Population,Estimate of ages above 25yrs with a high school degree,Estimate of ages above 25yrs with a high school degree,Estimate of ages above 25yrs with a high school degree,%workers taking taxi to work,Estimate of population >25 with a graduate degree,Estimate of population >25 with a graduate degree,Estimate of voting age population,Estimate of voting age population,Estimate of Homes using Electric Heat,Estimate of homes using Gas,Estimate of Male Citizen voting population ,Estimate of Total Households with comuters and Internet
NAME,"
DP05_0019E","
DP05_0019E",DP05_0025E,DP05_0025E,DP05_0025E,DP03_0088E,DP03_0062E,DP03_0008PE,DP03_0107E,DP04_0047E,DP04_0134E,DP04_0092E,DP04_0089E,DP05_0001E,DP05_0002E,DP05_0002E,DP02_0103E,DP02_0103E,DP02_0061E,DP02_0061E,DP02_0061E,DP03_0021PE,DP02_0065E,DP02_0065E,DP05_0087E,DP05_0087E,DP04_0065E,DP04_0063E,DP05_0088E,DP02_0150PE
CATEGORY,Social,Economic,Political,Social,Economic,Economic,Economic,Economic,Economic,Social,Social,Economic,Social,Social,Political,Social,Political,Social,Political,Social,Economic,Environmental,Political,Social,Political,Social,Environmental,Environmental,Political,Political
"Grand Island, NE Metro Area",22350,22350,62754,62754,62754,26387,54235,42443,2314,10867,807,10440,196400,85104,42400,42400,,,16080,16080,16080,0.3,3481,3481,57304,57304,10211,19446,28090,32687
"Grand Junction, CO Metro Area",33709,33709,119498,119498,119498,28679,49848,74316,10030,19471,869,13758,144200,153207,74894,74894,,,28088,28088,28088,0.4,11155,11155,116443,116443,10464,46608,56567,61848
"Grand Rapids-Wyoming, MI Metro Area",254922,254922,814483,814483,814483,31769,63344,572314,42789,103088,878,106246,229000,1069405,529369,529369,70485,70485,192612,192612,192612,1.4,79271,79271,780989,780989,35779,314229,381401,397199
"Grants Pass, OR Metro Area",16840,16840,70553,70553,70553,25988,48315,35122,7182,10729,847,10652,189500,87393,43294,43294,,,20065,20065,20065,0,3772,3772,68876,68876,19633,8366,33191,37059
"Great Falls, MT Metro Area",17900,17900,63743,63743,63743,29743,49948,38218,5154,14375,793,7781,281200,81643,41630,41630,,,17762,17762,17762,0.7,4891,4891,63347,63347,4962,27337,31870,35558
"Greeley, CO Metro Area",82497,82497,231808,231808,231808,32003,75938,167047,18962,28301,1059,20733,189300,314305,158125,158125,,,57088,57088,57088,0.5,16999,16999,218659,218659,19393,77266,108936,107929
"Green Bay, WI Metro Area",74876,74876,246715,246715,246715,32446,61400,170951,10738,39069,801,34619,325400,321591,160669,160669,,,71297,71297,71297,0.5,17225,17225,237366,237366,19717,90576,117395,129113
"Greeneville, TN Micro Area",13063,13063,56024,56024,56024,24905,47383,30947,2171,6345,688,,174900,69087,33947,33947,,,19526,19526,19526,,3165,3165,55781,55781,23647,1417,26999,27316
"Greenfield Town, MA Micro Area",12746,12746,58217,58217,58217,35421,59248,38635,6093,8822,889,8124,130500,70963,34401,34401,,,13570,13570,13570,0.5,9014,9014,56670,56670,4082,5028,27248,30391
"Greensboro-High Point, NC Metro Area",169555,169555,598156,598156,598156,29169,50026,382480,26292,114513,826,70127,238400,767711,367301,367301,68822,68822,135152,135152,135152,0.4,53262,53262,558753,558753,171370,104364,259290,302101
"Greenville, NC Metro Area",38427,38427,141487,141487,141487,24004,42481,92592,7928,32296,714,10498,152300,179914,83813,83813,,,26425,26425,26425,0.9,11929,11929,137803,137803,54702,9417,62143,69288
"Greenville-Anderson-Mauldin, SC Metro Area",201658,201658,704968,704968,704968,29513,55790,455421,29244,107824,862,93179,146300,906626,443758,443758,58834,58834,165059,165059,165059,0.3,70684,70684,668811,668811,204500,121846,318498,344664
"Greenwood, SC Micro Area",20552,20552,75102,75102,75102,25944,41959,46040,2656,13179,732,11866,169100,95654,44332,44332,,,21972,21972,21972,0.7,4624,4624,73236,73236,25603,10739,33569,37799
"Gulfport-Biloxi-Pascagoula, MS Metro Area",92712,92712,304549,304549,304549,26287,47444,183045,14589,59375,841,46474,100300,397261,196053,196053,,,76848,76848,76848,0.2,23593,23593,296312,296312,127255,21377,142744,155026
"Hagerstown-Martinsburg, MD-WV Metro Area",60201,60201,207848,207848,207848,30629,61256,133456,16081,32332,935,24387,147900,268049,136968,136968,,,67840,67840,67840,1.3,13347,13347,201933,201933,58304,16867,101381,102106
"Hammond, LA Metro Area",32871,32871,100906,100906,100906,23098,48205,61048,9236,13168,822,14766,194800,133777,65151,65151,,,33373,33373,33373,0.5,4982,4982,99893,99893,,,47576,47401
"Hanford-Corcoran, CA Metro Area",40773,40773,110593,110593,110593,22628,61663,57696,10428,20170,1083,7505,162800,151366,83591,83591,,,23578,23578,23578,0.5,4404,4404,95424,95424,9100,31582,53103,43727
"Harrisburg-Carlisle, PA Metro Area",123036,123036,451623,451623,451623,35748,64213,305366,28439,79048,929,57222,231100,574659,282622,282622,36349,36349,136351,136351,136351,1.3,48118,48118,437671,437671,86341,76145,211388,233591
"Harrisonburg, VA Metro Area",27914,27914,107363,107363,107363,28153,53046,66095,3325,17830,884,12245,188600,135277,65512,65512,,,27332,27332,27332,1.2,10632,10632,98684,98684,32627,3072,46201,47987
"Hartford-West Hartford-East Hartford, CT Metro Area",242284,242284,964016,964016,964016,41678,77258,653966,69331,154372,1111,102188,210000,1206300,587885,587885,161452,161452,219913,219913,219913,2.6,151800,151800,902037,902037,68978,195474,433163,470651
"Hattiesburg, MS Metro Area",36225,36225,112894,112894,112894,25493,45249,69000,4912,20388,830,16088,249800,149119,71038,71038,,,22001,22001,22001,0.3,11138,11138,110906,110906,41413,9589,51040,54084
"Helena, MT Micro Area",16665,16665,62126,62126,62126,32395,65145,41295,5511,8068,816,8147,154300,78791,38991,38991,,,12435,12435,12435,1.3,8985,8985,61707,61707,4843,19313,30115,32096
"Hermiston-Pendleton, OR Micro Area",24151,24151,64769,64769,64769,23360,56211,39542,4555,12172,777,7452,271800,88920,45632,45632,,,16979,16979,16979,0.1,3313,3313,57292,57292,16018,9414,29640,29590
"Hickory-Lenoir-Morganton, NC Metro Area",76892,76892,291524,291524,291524,26416,47544,183580,12107,39904,683,45960,182600,368416,183167,183167,,,85989,85989,85989,0.3,15424,15424,281253,281253,105170,19474,137745,145158
"Hilo, HI Micro Area",43630,43630,157353,157353,157353,32572,57571,95513,12160,24169,1126,21010,138800,200983,98970,98970,,,39068,39068,39068,1.2,15065,15065,145750,145750,13810,424,72364,71565
"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",41515,41515,176171,176171,176171,36674,63723,93148,5251,22113,1212,25287,368200,217686,105733,105733,,,38631,38631,38631,0.9,25592,25592,166694,166694,,,82294,84041
"Hinesville, GA Metro Area",22585,22585,57423,57423,57423,22815,47234,34785,3686,15881,1073,,299800,80008,40404,40404,,,16701,16701,16701,0,3058,3058,55179,55179,,,27826,31296
"Guayama, PR Metro Area",13687,13687,57077,57077,57077,9909,17062,16919,7674,7461,386,,112100,70764,36220,36220,null,null,null,null,null,,null,null,56523,56523,,,28113,null
"Iowa City, IA Metro Area",35838,35838,137563,137563,137563,36342,64635,98313,7070,27834,968,15132,85400,173401,86619,86619,,,17473,17473,17473,4.4,26004,26004,124296,124296,17082,45907,60317,69686
"Hobbs, NM Micro Area",20628,20628,48983,48983,48983,23318,50871,30749,3704,8246,862,8065,225300,69611,35698,35698,,,12934,12934,12934,0,2152,2152,41199,41199,,,20203,23215
"Holland, MI Micro Area",28357,28357,88970,88970,88970,28267,61353,57899,4233,7509,872,13290,134200,117327,58153,58153,,,28001,28001,28001,0.6,7379,7379,86591,86591,2775,26531,42831,43992
"Homosassa Springs, FL Metro Area",21949,21949,125980,125980,125980,26187,39964,49202,5316,10665,880,30027,170200,147929,72104,72104,,,45123,45123,45123,0.5,7442,7442,123105,123105,59097,828,60580,62293
"Hot Springs, AR Metro Area",19787,19787,79367,79367,79367,26857,42779,42510,5709,13592,790,12118,137600,99154,47098,47098,,,24538,24538,24538,0.6,5578,5578,76873,76873,,,36493,40407
"Houma-Thibodaux, LA Metro Area",51275,51275,157861,157861,157861,26869,51440,95422,13086,18511,816,26920,149500,209136,100502,100502,,,55173,55173,55173,0.2,8396,8396,154552,154552,,,74043,73749
"Meadville, PA Micro Area",17737,17737,67326,67326,67326,26419,51502,40880,4828,8543,632,12326,153000,85063,41603,41603,,,28014,28014,28014,0.8,4495,4495,67165,67165,4656,16139,32459,34386
"Merced, CA Metro Area",80340,80340,194425,194425,194425,23711,57745,124576,28168,37311,1023,14276,113700,274765,138520,138520,,,44402,44402,44402,0.6,8761,8761,150533,150533,33436,38803,74942,79487
"Medford, OR Metro Area",44571,44571,174993,174993,174993,30901,56546,104123,15436,30479,980,22728,261100,219564,106611,106611,,,37796,37796,37796,1.8,16736,16736,167038,167038,51360,30296,79987,89787
"Memphis, TN-MS-AR Metro Area",334204,334204,1015860,1015860,1015860,28016,50338,675844,49844,199296,893,108650,293600,1350064,647664,647664,73320,73320,265167,265167,265167,0.7,94711,94711,973329,973329,227235,253737,453396,504141
"Meridian, MS Micro Area",25983,25983,78198,78198,78198,21900,37816,42675,2964,12935,760,14704,157700,104181,51135,51135,,,20291,20291,20291,0,4102,4102,77194,77194,,,36917,39914
"Marion, OH Micro Area",13958,13958,51298,51298,51298,21296,43008,28223,5591,8585,711,5696,91500,65256,34660,34660,,,21790,21790,21790,0.5,1989,1989,50912,50912,4901,16185,27393,24205
"Marquette, MI Micro Area",12450,12450,54066,54066,54066,26982,54779,32485,3962,8220,784,7400,110700,66516,33223,33223,,,14951,14951,14951,0.3,4216,4216,53672,53672,2151,17813,26667,26328
"Marshall, TX Micro Area",16892,16892,49834,49834,49834,24878,50561,30641,1834,6927,709,9296,156500,66726,32233,32233,,,15231,15231,15231,0,2466,2466,46229,46229,,,22319,22928
"Martinsville, VA Micro Area",12478,12478,52469,52469,52469,18992,30040,25286,1471,9082,611,,138300,64947,30787,30787,,,15999,15999,15999,0.5,2049,2049,52196,52196,18528,2389,24434,26919
"Mayag\u00FCez, PR Metro Area",15034,15034,72564,72564,72564,10598,12913,26211,6779,15246,411,16311,86400,87598,41689,41689,null,null,null,null,null,,null,null,71894,71894,,,33472,null
"McAllen-Edinburg-Mission, TX Metro Area",281292,281292,584647,584647,584647,16819,39165,361040,14643,74502,703,95801,94200,865939,425393,425393,,,117396,117396,117396,0.1,26841,26841,422800,422800,,,209843,237323
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",1254388,1254388,4944394,4944394,4944394,32058,56328,3200494,170711,859668,1360,543637,87500,6198782,3010143,3010143,2552188,2552188,1171667,1171667,1171667,3.1,557250,557250,3988782,3988782,1995924,54710,1890353,2143067
"Michigan City-La Porte, IN Metro Area",23422,23422,86585,86585,86585,26844,51584,50613,5533,11691,749,11431,298800,110007,58196,58196,,,32274,32274,32274,1.6,4958,4958,84392,84392,5211,34973,43678,43122
"Midland, MI Metro Area",18229,18229,64980,64980,64980,34197,56091,39526,5435,9071,700,11110,133600,83209,40637,40637,,,17351,17351,17351,0.5,8371,8371,63390,63390,3737,22840,30738,34091
"Midland, TX Metro Area",51154,51154,126064,126064,126064,39367,80747,94261,5565,20047,1281,19110,146200,177218,88095,88095,,,26405,26405,26405,0.1,8810,8810,112445,112445,,,55382,59179
"Milwaukee-Waukesha-West Allis, WI Metro Area",362846,362846,1213267,1213267,1213267,35106,60643,826511,70004,251335,884,128631,215800,1576113,768414,768414,121107,121107,287017,287017,287017,2.6,144121,144121,1155222,1155222,100564,501580,552058,634398
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",856977,856977,2772213,2772213,2772213,40772,79578,2050557,194386,415957,1090,289763,222100,3629190,1798067,1798067,395864,395864,516302,516302,516302,4.5,364587,364587,2612672,2612672,226276,1056530,1279665,1386468
"Minot, ND Micro Area",17443,17443,58225,58225,58225,31626,65085,37397,2731,12820,946,8445,270600,75668,40189,40189,,,14179,14179,14179,1.2,3195,3195,56539,56539,11635,14330,30265,31548
"Missoula, MT Metro Area",22121,22121,96670,96670,96670,31690,56598,70418,8118,21532,857,12018,190100,118791,59085,59085,,,16439,16439,16439,1.4,12930,12930,94674,94674,15014,27338,46369,50401
"Mobile, AL Metro Area",96777,96777,316980,316980,316980,24663,43061,181636,10290,63441,824,41503,302100,413757,197009,197009,,,97080,97080,97080,0.3,21335,21335,311525,311525,102147,52729,144389,158627
"Modesto, CA Metro Area",148801,148801,401014,401014,401014,26191,60321,251631,44752,71480,1158,35373,131700,549815,272319,272319,,,107960,107960,107960,1,18053,18053,351807,351807,39170,127634,171309,175171
"Monroe, LA Metro Area",42882,42882,133923,133923,133923,27350,44353,76925,9982,24781,749,20492,318900,176805,86864,86864,,,42216,42216,42216,1.3,8161,8161,131563,131563,,,63031,64791
"Monroe, MI Metro Area",32182,32182,118257,118257,118257,31458,61916,74375,5596,12169,848,17957,156600,150439,74423,74423,,,35472,35472,35472,0.2,8210,8210,117735,117735,5131,50385,57601,61586
"Montgomery, AL Metro Area",86822,86822,286579,286579,286579,28400,51943,170087,11174,51071,897,35152,168800,373401,177954,177954,,,74686,74686,74686,0.3,30419,30419,279570,279570,77731,55050,130247,142728
"Morehead City, NC Micro Area",12343,12343,57181,57181,57181,29367,54833,31561,2334,7282,879,10222,144600,69524,34225,34225,,,13173,13173,13173,1,5524,5524,55971,55971,,,26848,28720
"Morgantown, WV Metro Area",24172,24172,116087,116087,116087,30180,50574,71015,6759,20021,837,15886,218500,140259,72541,72541,,,30041,30041,30041,1.4,17634,17634,112541,112541,19280,24458,57322,53173
"Morristown, TN Metro Area",25814,25814,92767,92767,92767,24056,47439,52411,4961,12530,679,14400,171600,118581,57989,57989,,,32405,32405,32405,0.4,5140,5140,88263,88263,35813,4933,42738,43772
"Moses Lake, WA Micro Area",28290,28290,69041,69041,69041,23269,53057,45004,6997,11832,770,7965,146700,97331,49789,49789,,,15695,15695,15695,0.5,2813,2813,56322,56322,,,27833,30806
"Mount Airy, NC Micro Area",15196,15196,56752,56752,56752,25363,48398,32156,1082,8058,582,10422,201600,71948,35224,35224,,,15644,15644,15644,0.1,2751,2751,54722,54722,21203,1035,26314,29230
"Mount Pleasant, MI Micro Area",11806,11806,58756,58756,58756,24521,46198,36819,4588,9407,744,6739,123100,70562,34312,34312,,,13361,13361,13361,1.4,5146,5146,57304,57304,4025,13436,27819,25367
"Mount Vernon-Anacortes, WA Metro Area",27977,27977,100229,100229,100229,34708,73206,61628,4945,14986,1107,12930,139200,128206,63062,63062,,,24769,24769,24769,0.9,8277,8277,93442,93442,17170,21928,45753,48474
"Muncie, IN Metro Area",21430,21430,93342,93342,93342,23387,41662,57484,6246,15923,750,11619,336900,114772,55362,55362,,,22869,22869,22869,1.9,8274,8274,92626,92626,13789,27404,43828,45311
"Muskegon, MI Metro Area",40064,40064,133524,133524,133524,25432,50080,79963,10972,16712,751,21500,96000,173588,87191,87191,,,40443,40443,40443,0.4,7814,7814,132165,132165,3274,53767,65499,67196
"Muskogee, OK Micro Area",16640,16640,51722,51722,51722,24361,45290,29814,3123,8888,685,7533,123300,68362,33349,33349,,,16663,16663,16663,0.5,3056,3056,50429,50429,,,24035,26566
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",82502,82502,398389,398389,398389,28877,51580,216712,14308,43783,933,62960,113100,480891,232002,232002,,,113417,113417,113417,0.4,32911,32911,386399,386399,168204,9739,181887,187932
"Nacogdoches, TX Micro Area",15350,15350,50361,50361,50361,21778,46459,28264,1928,9008,741,8933,194700,65711,32131,32131,,,11827,11827,11827,0.5,2790,2790,46411,46411,,,22263,23442
"Napa, CA Metro Area",28904,28904,110513,110513,110513,40470,87025,72954,8199,17262,1655,10348,144400,139417,69694,69694,,,18497,18497,18497,2.2,10985,10985,94550,94550,12011,30744,45012,47315
"Naples-Immokalee-Marco Island, FL Metro Area",64531,64531,313957,313957,313957,45138,69867,168117,6911,37736,1257,55624,665100,378488,185300,185300,,,67746,67746,67746,0.7,45151,45151,267333,267333,137420,4088,127728,144172
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",446087,446087,1486012,1486012,1486012,34879,65919,1050808,66770,251551,1081,157542,369700,1932099,947173,947173,164288,164288,349817,349817,349817,0.8,167291,167291,1404312,1404312,455095,248584,674672,730709
"New Bern, NC Metro Area",26284,26284,97149,97149,97149,27535,48557,49214,5289,17794,923,15166,261900,123433,62541,62541,,,24425,24425,24425,0,7601,7601,95045,95045,37448,5999,47483,49527
"New Castle, PA Micro Area",16795,16795,69389,69389,69389,26428,47853,42521,5926,10722,736,12545,158900,86184,41919,41919,,,25762,25762,25762,1.1,3053,3053,68913,68913,8653,21888,33090,37497
"New Haven-Milford, CT Metro Area",173312,173312,684308,684308,684308,38305,67845,458115,58483,131069,1150,70337,110300,857620,412943,412943,108217,108217,189357,189357,189357,3.7,99559,99559,636302,636302,63558,132730,300193,335539
"New Orleans-Metairie, LA Metro Area",282831,282831,987568,987568,987568,29830,50301,625250,87145,182013,977,133926,251100,1270399,614492,614492,98386,98386,253068,253068,253068,2.6,98501,98501,937676,937676,284023,190991,441543,482442
"New Philadelphia-Dover, OH Micro Area",21059,21059,71117,71117,71117,27209,49658,46582,5365,11568,735,11911,203800,92176,44815,44815,,,27566,27566,27566,0.1,5122,5122,70384,70384,7641,24707,33944,36740
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",4289434,4289434,15690043,15690043,15690043,43035,78478,10453093,1235697,3513413,1434,1395425,141100,19979477,9672470,9672470,5803821,5803821,3425323,3425323,3425323,30.9,2413339,2413339,13477650,13477650,852805,4770362,6382851,7282923
"Niles-Benton Harbor, MI Metro Area",33571,33571,120570,120570,120570,31244,51262,78093,9273,17834,686,19110,457100,154141,75406,75406,,,28417,28417,28417,0.7,11163,11163,116260,116260,13638,42345,55960,64783
"North Port-Sarasota-Bradenton, FL Metro Area",133031,133031,688542,688542,688542,37874,60921,364021,20639,85437,1267,128273,152900,821573,395162,395162,107771,107771,187325,187325,187325,0.5,85628,85628,641321,641321,312647,15920,304094,334535
"Norwich-New London, CT Metro Area",51733,51733,215051,215051,215051,36428,67197,140829,18402,36595,1115,23925,257600,266784,133585,133585,,,58052,58052,58052,1.4,26385,26385,204203,204203,21286,16470,102448,108098
"Orangeburg, SC Micro Area",18752,18752,68182,68182,68182,18826,36536,37542,5090,11295,644,14346,238400,86934,40963,40963,,,20284,20284,20284,0.2,4655,4655,67817,67817,27137,2496,31337,33561
"North Wilkesboro, NC Micro Area",14044,14044,54513,54513,54513,27684,43466,32916,1473,7885,617,13319,99500,68557,33260,33260,,,14293,14293,14293,0,2445,2445,52676,52676,21179,450,25292,30123
"Orlando-Kissimmee-Sanford, FL Metro Area",562065,562065,2010897,2010897,2010897,29431,58610,1330436,94282,341468,1217,188007,109000,2572962,1254433,1254433,491138,491138,461686,461686,461686,1.3,204277,204277,1811976,1811976,808154,48325,875068,876502
"Oshkosh-Neenah, WI Metro Area",34900,34900,136120,136120,136120,31885,56589,91487,5633,23548,735,18521,242500,171020,86310,86310,,,37774,37774,37774,0.5,7965,7965,133995,133995,11846,53323,67764,71332
"Ottawa-Peru, IL Micro Area",31296,31296,116557,116557,116557,30162,52572,74426,9563,17042,691,20161,149200,147853,74292,74292,,,38935,38935,38935,0,5711,5711,114460,114460,7499,45862,57515,60404
"Owensboro, KY Metro Area",29459,29459,90232,90232,90232,26533,51459,56512,7328,14293,767,12965,123600,119691,58913,58913,,,28743,28743,28743,0.1,6815,6815,88894,88894,13961,28548,43013,46687
"Oak Harbor, WA Micro Area",14684,14684,69776,69776,69776,36251,64793,32971,5250,9291,1191,9526,137600,84460,42186,42186,,,12459,12459,12459,3.2,9067,9067,68031,68031,17170,5287,34253,34572
"Ocala, FL Metro Area",65788,65788,294189,294189,294189,25634,44576,139826,10849,35010,901,54735,392500,359977,171353,171353,,,103194,103194,103194,0.4,17659,17659,286581,286581,125502,14125,133780,143441
"Ocean City, NJ Metro Area",14739,14739,77821,77821,77821,42585,67007,44812,4023,7677,1107,12563,150600,92560,45935,45935,,,20799,20799,20799,1.5,8508,8508,76550,76550,6590,25405,37802,39208
"Odessa, TX Metro Area",48934,48934,113190,113190,113190,30683,64165,79507,3697,19177,1028,19116,306900,162124,82718,82718,,,29083,29083,29083,0.5,5127,5127,100626,100626,,,50864,54326
"Ogden-Clearfield, UT Metro Area",207390,207390,469558,469558,469558,29048,76653,332722,15039,50897,1000,46235,148000,676948,341586,341586,,,102127,102127,102127,1.5,39973,39973,453815,453815,18337,188135,226540,211332
"Ogdensburg-Massena, NY Micro Area",21600,21600,86447,86447,86447,25682,49681,47982,8215,11839,685,14518,282800,108047,55626,55626,,,27872,27872,27872,0.5,8500,8500,83842,83842,5235,13747,42904,41680
"Oklahoma City, OK Metro Area",344764,344764,1051681,1051681,1051681,30642,57485,709402,39798,192848,879,129468,98400,1396445,687189,687189,114317,114317,250542,250542,250542,0.6,103391,103391,987662,987662,197944,293574,477906,522039
"Olean, NY Micro Area",16725,16725,60115,60115,60115,25133,48179,36455,5355,9153,688,11324,160900,76840,38067,38067,,,20952,20952,20952,0.2,4866,4866,59781,59781,4372,16826,29287,32079
"Olympia-Tumwater, WA Metro Area",61381,61381,225038,225038,225038,34725,72703,139547,15832,39779,1222,22401,86200,286419,139657,139657,,,43814,43814,43814,1.6,30694,30694,216550,216550,63475,35968,105154,110713
"Omaha-Council Bluffs, NE-IA Metro Area",240490,240490,701434,701434,701434,34714,66241,504030,27579,127305,910,74212,314900,941924,466123,466123,71251,71251,145144,145144,145144,0.7,79497,79497,664632,664632,83034,258997,324019,362764
"Opelousas, LA Micro Area",22260,22260,60504,60504,60504,20035,32867,32803,4109,10337,621,12966,178900,82764,40269,40269,,,22078,22078,22078,0.7,2687,2687,59956,59956,,,28099,29965
"Owosso, MI Micro Area",14566,14566,53626,53626,53626,29621,54456,33613,3861,7720,684,8554,129200,68192,33604,33604,,,15549,15549,15549,0.4,3322,3322,53455,53455,2519,17417,26028,28218
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",194458,194458,656509,656509,656509,36791,84566,438249,45545,102016,1747,49879,125100,850967,420907,420907,180710,180710,116809,116809,116809,1.1,69979,69979,572491,572491,42903,203289,279338,271980
"Paducah, KY-IL Micro Area",22373,22373,76285,76285,76285,30336,47346,43157,8688,12645,747,14085,614400,98658,46736,46736,,,23032,23032,23032,0.7,6166,6166,76016,76016,,,35836,39679
"Palatka, FL Micro Area",15757,15757,58406,58406,58406,21696,41608,28284,2897,6296,736,12999,121600,74163,36614,36614,,,22808,22808,22808,0,2111,2111,55859,55859,,,27316,27927
"Palm Bay-Melbourne-Titusville, FL Metro Area",109627,109627,487222,487222,487222,31082,57888,270265,21610,55114,1074,74381,90600,596849,289611,289611,48905,48905,125326,125326,125326,0.7,50860,50860,472530,472530,200622,20238,228718,226363
"Panama City, FL Metro Area",43440,43440,159537,159537,159537,28028,51842,94264,11344,25141,1077,24232,221300,202977,101117,101117,,,47708,47708,47708,0.6,11107,11107,154426,154426,,,77051,80447
"Parkersburg-Vienna, WV Metro Area",19888,19888,72611,72611,72611,25884,44054,41061,6457,10502,727,14163,175000,92499,44868,44868,,,23339,23339,23339,1,4793,4793,72317,72317,,,34464,38995
"Pensacola-Ferry Pass-Brent, FL Metro Area",105077,105077,389806,389806,389806,30210,57998,229012,17215,58406,999,47860,126600,494883,248845,248845,,,95058,95058,95058,0.6,33606,33606,381794,381794,153015,26037,190752,182711
"Peoria, IL Metro Area",85292,85292,283391,283391,283391,31495,58603,176738,17176,45071,777,42284,169800,368683,180523,180523,,,76524,76524,76524,0.7,26409,26409,278042,278042,30958,104838,134170,147607
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",1320923,1320923,4775449,4775449,4775449,38404,70747,3203213,288644,764467,1134,520239,140200,6096372,2946054,2946054,694048,694048,1236248,1236248,1236248,9.8,660943,660943,4500726,4500726,528653,1356053,2135618,2285651
"Portland-South Portland, ME Metro Area",100109,100109,435311,435311,435311,37903,69980,303896,18057,67663,1068,53245,256400,535420,260701,260701,,,97578,97578,97578,1,61994,61994,425854,425854,18852,27685,203686,228248
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",531211,531211,1947785,1947785,1947785,38987,75599,1348600,129017,359090,1323,176620,275600,2478996,1228075,1228075,323763,323763,350393,350393,350393,6.1,264430,264430,1801923,1801923,466769,426247,879991,954947
"Port St. Lucie, FL Metro Area",89653,89653,392387,392387,392387,31818,55714,207523,16272,44035,1254,66975,397500,482040,235010,235010,,,103512,103512,103512,0.4,37078,37078,370047,370047,172295,4780,180869,181838
"Phoenix-Mesa-Scottsdale, AZ Metro Area",1153928,1153928,3704034,3704034,3704034,32438,64427,2417996,239816,624706,1117,355020,233300,4857962,2415266,2415266,695508,695508,749520,749520,749520,1.8,381964,381964,3333580,3333580,1201681,478854,1636665,1730400
"Pine Bluff, AR Metro Area",18872,18872,71434,71434,71434,20100,37314,32317,3787,12014,721,11707,267000,90306,45850,45850,,,27531,27531,27531,0.3,3434,3434,70867,70867,17433,12577,36464,32467
"Pinehurst-Southern Pines, NC Micro Area",20853,20853,77829,77829,77829,34399,58531,44250,4091,9526,797,12749,84300,98682,48150,48150,,,14911,14911,14911,0,11639,11639,75383,75383,33574,2402,35482,40756
"Pittsburgh, PA Metro Area",438714,438714,1886029,1886029,1886029,35911,59710,1218837,103174,308230,832,298931,222300,2324743,1131947,1131947,92299,92299,546193,546193,546193,5.6,237858,237858,1847719,1847719,156791,748693,887767,1013812
"Pittsfield, MA Metro Area",21564,21564,104784,104784,104784,34800,60476,65311,8206,17573,894,15071,160300,126348,61499,61499,,,27999,27999,27999,0.5,13410,13410,102583,102583,5725,25239,48996,55212
"Plattsburgh, NY Micro Area",14181,14181,66514,66514,66514,27980,56704,36041,5215,9920,827,8825,224800,80695,42358,42358,,,19676,19676,19676,0.2,7880,7880,64502,64502,9539,5047,33592,31392
"Pocatello, ID Metro Area",22544,22544,64594,64594,64594,23890,50748,41298,2176,10639,695,7381,135500,87138,43519,43519,,,14402,14402,14402,1.7,5312,5312,62951,62951,9294,18065,31164,30635
"Ponce, PR Metro Area",56965,56965,231162,231162,231162,10522,17607,95595,30055,32903,428,53545,165800,288127,137631,137631,null,null,null,null,null,0,null,null,230238,230238,12248,166,108305,null
"Port Angeles, WA Micro Area",13075,13075,63662,63662,63662,31365,59001,32398,3497,9225,1032,11352,95100,76737,38390,38390,,,13641,13641,13641,0.9,7265,7265,62005,62005,,,30789,33265
"Portsmouth, OH Micro Area",16503,16503,58999,58999,58999,20997,37257,29793,5703,9682,598,11040,281800,75502,37439,37439,,,23493,23493,23493,0,3163,3163,58796,58796,11489,10300,29028,28719
"Pottsville, PA Micro Area",28190,28190,113877,113877,113877,26787,48458,66394,5718,14215,663,21366,99700,142067,73336,73336,,,46307,46307,46307,0.5,5204,5204,113112,113112,14113,4904,58186,58458
"Prescott, AZ Metro Area",37293,37293,194700,194700,194700,29389,48148,94588,11399,26935,864,34899,102300,231993,113011,113011,,,44037,44037,44037,0,18073,18073,188320,188320,28659,50801,90454,100836
"Providence-Warwick, RI-MA Metro Area",320006,320006,1301331,1301331,1301331,34960,65083,857816,113722,239105,956,125394,261700,1621337,789014,789014,214756,214756,337138,337138,337138,2.4,145012,145012,1227484,1227484,66405,352887,586607,621705
