CITY,TOTAL POPULATION under 18,TOTAL POPULATION under 18,Total Population of 18+,Total Population of 18+,Total Population of 18+,Per Capita Income ,Median Household Income,TOTAL CIVILIAN labor Force,Employed health insurance coverage ages 19-64,Renter Occupied Housing Units,Median Rent for Occupied Housing Units,Estimate of Owner Occupied Housing Units without a Mortgage,Median Housing Cost,Total Population Estimate,Total Male Population Estimate,Total Male Population Estimate,Estimate of Foriegn -born Population,Estimate of Foriegn -born Population,Estimate of ages above 25yrs with a high school degree,Estimate of ages above 25yrs with a high school degree,Estimate of ages above 25yrs with a high school degree,%workers taking taxi to work,Estimate of population >25 with a graduate degree,Estimate of population >25 with a graduate degree,Estimate of voting age population,Estimate of voting age population,Estimate of Homes using Electric Heat,Estimate of homes using Gas,Estimate of Male Citizen voting population ,Estimate of Total Households with comuters and Internet
NAME,"
DP05_0019E","
DP05_0019E",DP05_0025E,DP05_0025E,DP05_0025E,DP03_0088E,DP03_0062E,DP03_0008PE,DP03_0107E,DP04_0047E,DP04_0134E,DP04_0092E,DP04_0089E,DP05_0001E,DP05_0002E,DP05_0002E,DP02_0103E,DP02_0103E,DP02_0061E,DP02_0061E,DP02_0061E,DP03_0021PE,DP02_0065E,DP02_0065E,DP05_0087E,DP05_0087E,DP04_0065E,DP04_0063E,DP05_0088E,DP02_0150PE
CATEGORY,Social,Economic,Political,Social,Economic,Economic,Economic,Economic,Economic,Social,Social,Economic,Social,Social,Political,Social,Political,Social,Political,Social,Economic,Environmental,Political,Social,Political,Social,Environmental,Environmental,Political,Political
"Battle Creek, MI Metro Area",30702,30702,103785,103785,103785,26276,47204,65009,7326,17093,781,16679,193100,134487,66126,66126,,,32301,32301,32301,1.5,6690,6690,101681,101681,6324,39755,48608,53914
"Bellingham, WA Metro Area",44119,44119,181566,181566,181566,31224,62268,112529,13090,33650,1110,17430,107700,225685,111469,111469,,,35292,35292,35292,2.2,19061,19061,173406,173406,35210,36514,85601,87080
"Bend-Redmond, OR Metro Area",39129,39129,152867,152867,152867,38079,67577,98438,10390,27173,1186,16375,362500,191996,95592,95592,,,24479,24479,24479,0.1,18392,18392,147404,147404,40498,28864,72190,79950
"Billings, MT Metro Area",40207,40207,131687,131687,131687,32139,59623,89002,9520,23172,883,18202,408500,171894,84928,84928,,,34429,34429,34429,0.8,11233,11233,130349,130349,14326,49961,63981,71787
"Binghamton, NY Metro Area",46767,46767,193452,193452,193452,28564,53199,118263,16491,32229,764,28896,231900,240219,117274,117274,,,55347,55347,55347,3.5,20369,20369,185474,185474,14950,51171,90089,95740
"Birmingham-Hoover, AL Metro Area",260528,260528,891273,891273,891273,30902,56409,547042,23136,133862,892,122123,120300,1151801,555813,555813,44111,44111,222394,222394,222394,0.6,86961,86961,866762,866762,234931,180663,408240,435832
"Bismarck, ND Metro Area",29957,29957,102360,102360,102360,37135,70550,74791,4334,17440,827,15304,169400,132317,67256,67256,,,21889,21889,21889,0.3,7052,7052,101521,101521,13016,35883,51150,56382
"Blacksburg-Christiansburg-Radford, VA Metro Area",29214,29214,152712,152712,152712,25199,50313,80041,3034,24156,913,21582,258700,181926,93376,93376,,,29054,29054,29054,2,19335,19335,146727,146727,49663,8402,74359,68412
"Bay City, MI Metro Area",21083,21083,82840,82840,82840,28577,50606,50288,6176,11046,649,15507,183300,103923,51291,51291,,,26396,26396,26396,0.3,5294,5294,82526,82526,3395,34865,40556,44469
"Beaumont-Port Arthur, TX Metro Area",99827,99827,310406,310406,310406,25928,50378,177526,9748,49611,829,55584,105900,410233,205396,205396,,,94043,94043,94043,0.5,13584,13584,290558,290558,92192,49857,143305,145130
