CITY,Total Population,TOTAL POPULATION under 18,Total Population of 18+,%Total population 65-74,Total Civilian Non-institulionized Population,Renter Occupied Housing Units,Total Population Estimate,Average Household Size Renters,Median Rent for Occupied Housing Units,% of Owner Occupied Housing Units,Median Housing Cost,Total Male Population Estimate,Estimate of Foriegn -born Population,Estimate of ages above 25yrs with a high school degree,TOTAL POPULATION,%foriegn born,%workers taking taxi to work,Estimate of population >25 with a graduate degree,Estimate of voting age population,TOTAL POPULATION under 18,Total Population of 18+,%Total population 65-74,Estimate of ages above 25yrs with a high school degree,Total Civilian Non-institulionized Population,Per Capita Income ,Median Household Income,TOTAL CIVILIAN labor Force,% 16+ Yrs not in labor force,Percetage of Labor force with Public Health Insurance,Employed health insurance coverage ages 19-64,Percent of population Employed health insurance coverage ages 19-64,Estimate of Owner Occupied Housing Units with a Mortgage,Estimate of Owner Occupied Housing Units without a Mortgage,Total Population of 18+,%Total population 65-74,Total Population,Total Male Population Estimate,Estimate of Foriegn -born Population,Estimate of ages above 25yrs with a high school degree,%foriegn born,Estimate of population >25 with a graduate degree,Estimate of voting age population,Estimate of Male Citizen voting population ,Estimate of Total Households with comuters and Internet,"%homes using oil, Kerosene for heat energy",%homes using coal for heat energy,%homes with no heat,%homes using wood for heat energy,%homes using solar energy,%workers carpooling,% homes heating with coal,%homes heating with wood,%workers taking taxi to work,Estimate of Homes using Electric Heat,Estimate of homes using Gas
NAME,,DP05_0019E,DP05_0025E,DP05_0015PE,DP02_0070PE,DP04_0047E,DP05_0001E,DP04_0049E,DP04_0134E,DP04_0046PE,DP04_0089E,DP05_0002E,DP02_0103E,DP02_0061E,,DP02_0095PE,DP03_0021PE,DP02_0065E,DP05_0087E,DP05_0019E,DP05_0025E,DP05_0015PE,DP02_0061E,DP02_0070PE,DP03_0088E,DP03_0062E,DP03_0008PE,DP03_0007PE,DP03_0112PE,DP03_0107E,DP03_0107PE,DP04_0091E,DP04_0092E,DP05_0025E,DP05_0015PE,DP05_0001E,DP05_0002E,DP02_0103E,DP02_0061E,DP02_0095PE,DP02_0065E,DP05_0087E,DP05_0088E,DP02_0150PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0067PE,DP04_0068PE,DP03_0021PE,DP04_0065E,DP04_0063E
CATEGORY,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Political,Social,Social,Social,Social,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Political,Political,Political,Political,Political,Political,Political,Political,Political,Political,Political,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental
"Jefferson, GA Micro Area",63397,19331,63397,11.3,6.5,5667,82728,2.55,628,80.5,101300,40467,,4430,11.3,2548,0.5,5658,61454,19331,63397,11.3,4430,6.5,22852,41012,33643,48.7,0.6,2728,9.7,,,63397,11.3,82728,40467,,4430,2548,5658,61454,27796,,,,,,,6.8,,,0.5,,
"Jefferson City, MO Metro Area",98457,20906,98457,8.8,5.3,24839,119363,1.94,870,50.1,240900,60485,,1758,8.8,6556,1.9,21097,94468,20906,98457,8.8,1758,5.3,33246,56576,66222,34.1,33.4,2820,5,16600,8320,98457,8.8,119363,60485,,1758,6556,21097,94468,47406,0.6,,,,,,10.6,,,1.9,,
"Johnson City, TN Metro Area",96497,30581,96497,8.4,15.9,21811,127078,2.5,789,53.5,150400,66557,840,5854,8.4,6188,0.3,12722,93833,30581,96497,8.4,5854,15.9,26187,49422,50726,39.1,42,6369,14.9,13973,11132,96497,8.4,127078,66557,840,5854,6188,12722,93833,49682,0.4,0,0,1.2,151,0,8.3,0,0,0.3,26824,17150
"Johnstown, PA Metro Area",185527.3,37991,185480,14.2,7.4,22740,223471,2.08,1075,73.6,244300,111457,3667,7215,262.2,9748,0.6,36622,181954,37991,185480,14.2,7215,7.4,42198,72588,115467,38.9,49.5,10516,11,34458,28936,185480,14.2,223471,111457,3667,7215,9748,36622,181954,90307,0.7,47.3,248,0.2,11110,332,8.6,0.3,0.3,0.6,6429,2832
"Aberdeen, WA Micro Area",111064.3,32462,111031,11.4,8.2,16350,143493,2.27,893,70.2,213300,71668,1494,7293,379.4,5843,1.4,14714,109493,32462,111031,11.4,7293,8.2,35066,72732,71594,37.1,57.7,6019,9.9,22549,16007,111031,11.4,143493,71668,1494,7293,5843,14714,109493,53844,0.5,33.3,368,1.2,736,44,7.9,0.7,0.7,1.4,14165,16207
"Abilene, TX Metro Area",51860.8,12992,51859,11.5,10,8192,64851,2.32,835,69.7,289900,32236,,2170,11.5,774,0,7344,51646,12992,51859,11.5,2170,10,36115,57610,31787,40.2,34.3,3158,11.7,10295,8532,51859,11.5,64851,32236,,2170,774,7344,51646,25590,1,1.8,0,0.2,1449,0,4.6,0,0,0,9780,14119
"Adrian, MI Micro Area",87785.7,23310,87724,11.2,9.8,14116,111034,1.9,866,69.5,219800,54544,2375,2966,11.2,4633,0.6,12510,85888,23310,87724,11.2,2966,9.8,32734,62958,57794,36.4,44.8,5563,11.2,21479,10728,87724,11.2,111034,54544,2375,2966,4633,12510,85888,41667,0.6,61.7,0,1,2303,0,6.4,0,0,0.6,3476,5973
"Aguadilla-Isabela, PR Metro Area",405026.3,112820,405026,9.4,6.1,85604,517846,2.1,952,60.3,235900,252861,16223,16445,51.4,36710,0.8,78611,386421,112820,405026,9.4,16445,6.1,36243,62612,273982,34.5,43.1,32267,13.5,87473,42536,405026,9.4,517846,252861,16223,16445,36710,78611,386421,185206,1,0.3,42,0.3,522,107,6.8,0,0,0.8,127148,81366
"Akron, OH Metro Area",78281.5,23390,78280,11.4,6.6,13942,101670,2.24,784,66,144100,51495,,3505,11.4,2588,0.4,7964,77633,23390,78280,11.4,3505,6.6,27991,51497,46469,42.2,65.5,5816,15,16329,10750,78280,11.4,101670,51495,,3505,2588,7964,77633,38908,0.8,1.5,0,0.4,264,0,9.5,0,0,0.4,10630,25174
"Alamogordo, NM Micro Area",265566.3,77469,265566,9.2,5.9,53164,343035,2.05,901,61.5,236000,173566,12926,7700,9.2,24663,0.8,57468,254294,77469,265566,9.2,7700,5.9,34939,65229,194752,28.9,33,10161,5.9,54440,30605,265566,9.2,343035,173566,12926,7700,24663,57468,254294,127227,0.4,0.3,0,0.3,791,75,9.8,0,0,0.8,48285,82192
