CITY,Year,%homes heating with wood,% 16+ Yrs not in labor force,%workers taking taxi to work,%Total population 65-74,% of Owner Occupied Housing Units,%homes using solar energy,%homes with no heat,% homes heating with coal,%foriegn born,%workers carpooling,%homes using coal for heat energy,Percent of population Employed health insurance coverage ages 19-64,%homes using wood for heat energy,"%homes using oil, Kerosene for heat energy",Percetage of Labor force with Public Health Insurance
"Chattanooga, TN-GA Metro Area",2024,2.97,39.69,0.16,14.21,79.13,43.40,0.93,1.54,100.00,6.35,100.00,24.11,100.00,31.19,54.06
"Morristown, TN Metro Area",2024,4.70,46.42,0.00,12.44,77.04,3.13,0.21,0.00,100.00,8.67,0.00,25.85,100.00,0.00,94.66
"London, KY Micro Area",2024,0.00,34.73,0.00,12.17,71.29,100.00,0.64,0.00,100.00,8.46,0.00,4.81,100.00,0.00,6.27
"Salem, OH Micro Area",2024,0.26,43.94,0.00,12.79,68.55,100.00,1.27,0.30,100.00,10.48,100.00,20.51,100.00,3.10,67.94
"Trenton, NJ Metro Area",2024,1.52,50.03,0.00,11.34,68.40,31.70,0.00,5.28,100.00,11.59,100.00,16.56,100.00,4.12,52.76
"Adrian, MI Micro Area",2024,0.00,30.78,1.43,10.24,65.05,100.00,1.03,0.24,100.00,8.79,100.00,2.19,100.00,19.10,16.96
"San Diego-Carlsbad, CA Metro Area",2024,9.61,42.12,0.00,11.85,70.55,0.00,0.00,0.35,100.00,6.80,100.00,18.64,100.00,11.21,62.18
"Lakeland-Winter Haven, FL Metro Area",2024,0.20,34.03,1.36,7.78,64.67,100.00,1.11,0.06,100.00,9.55,100.00,12.34,100.00,13.64,34.58
"Tullahoma-Manchester, TN Micro Area",2024,0.00,34.86,1.95,10.63,72.11,0.00,0.37,0.36,100.00,7.30,100.00,14.62,100.00,24.79,49.64
"Dubuque, IA Metro Area",2024,0.00,39.94,0.41,11.69,62.50,100.00,1.34,0.00,100.00,9.91,0.00,7.54,100.00,0.00,17.21
"Billings, MT Metro Area",2024,0.00,40.65,1.09,9.73,69.93,100.00,1.54,0.22,100.00,10.00,100.00,10.22,0.00,0.13,23.41
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",2024,1.50,40.79,0.00,10.39,68.26,0.00,1.07,0.00,100.00,8.03,0.00,16.34,0.00,0.00,47.86
"North Port-Sarasota-Bradenton, FL Metro Area",2024,0.90,43.49,0.00,9.77,68.42,0.00,0.36,0.36,100.00,9.87,0.00,26.17,0.00,0.00,69.64
"Flagstaff, AZ Metro Area",2024,0.00,49.11,0.00,13.50,74.65,100.00,1.36,0.02,100.00,7.17,100.00,20.67,100.00,0.08,63.26
"Lima, OH Metro Area",2024,2.51,43.52,0.57,13.71,77.93,100.00,0.97,0.06,100.00,7.09,57.85,14.47,100.00,0.00,37.03
"Athens-Clarke County, GA Metro Area",2024,0.00,31.75,0.47,12.86,76.71,32.47,0.97,0.51,100.00,8.16,100.00,16.18,100.00,5.45,35.17
"Syracuse, NY Metro Area",2024,0.00,40.56,0.00,11.79,69.02,0.00,0.19,0.00,100.00,10.78,0.00,9.15,0.00,0.00,21.14
"Morehead City, NC Micro Area",2024,5.34,40.59,0.11,11.49,65.39,100.00,0.66,0.04,100.00,9.82,9.10,20.46,100.00,2.70,59.47
"Crestview-Fort Walton Beach-Destin, FL Metro Area",2024,0.00,33.83,0.14,9.75,70.03,100.00,0.75,0.42,100.00,11.13,100.00,23.63,100.00,0.99,72.92
"Lawrence, KS Metro Area",2024,0.00,31.27,1.71,9.46,70.83,100.00,1.01,0.06,100.00,7.05,100.00,13.73,100.00,4.18,58.97
"Lufkin, TX Micro Area",2024,4.67,35.19,0.38,14.12,79.75,100.00,11.54,0.01,100.00,3.84,0.00,14.30,100.00,5.09,44.80
"Wenatchee, WA Metro Area",2024,0.00,40.21,0.32,10.71,65.54,100.00,0.68,0.00,100.00,11.51,0.00,11.74,0.00,0.00,10.54
"Grand Forks, ND-MN Metro Area",2024,3.09,49.04,0.00,13.52,74.89,100.00,0.46,5.06,100.00,3.59,100.00,17.77,100.00,31.29,69.02
"Cape Coral-Fort Myers, FL Metro Area",2024,1.18,43.49,1.34,9.09,65.75,100.00,0.10,2.10,100.00,13.15,100.00,18.62,100.00,13.28,37.54
"Evansville, IN-KY Metro Area",2024,0.00,32.98,0.50,9.52,78.31,100.00,0.68,0.64,100.00,7.34,100.00,2.98,100.00,46.84,26.34
"Abilene, TX Metro Area",2024,0.00,34.83,0.67,12.08,69.74,69.60,0.75,0.00,100.00,9.83,0.00,5.50,100.00,10.67,34.33
"Port St. Lucie, FL Metro Area",2024,2.07,41.01,0.00,8.69,73.88,70.17,0.08,0.73,100.00,7.73,100.00,12.46,0.00,1.02,35.13
"Ogdensburg-Massena, NY Micro Area",2024,0.00,45.31,0.39,19.57,72.82,100.00,1.20,0.00,100.00,8.15,10.77,10.00,100.00,0.00,27.95
"Akron, OH Metro Area",2024,1.65,29.95,2.18,10.67,67.46,100.00,0.61,0.52,100.00,10.94,100.00,2.23,100.00,19.04,28.24
"San Angelo, TX Metro Area",2024,0.51,33.32,0.12,9.00,65.10,100.00,0.48,0.00,100.00,6.93,0.00,8.49,100.00,0.00,30.21
"Bay City, MI Metro Area",2024,0.00,36.77,0.53,11.83,67.81,100.00,1.74,0.00,100.00,8.62,46.67,15.02,100.00,4.87,29.34
"Yuma, AZ Metro Area",2024,0.00,28.75,1.78,11.51,74.27,100.00,0.02,0.00,100.00,5.54,100.00,2.93,100.00,1.18,27.46
"Odessa, TX Metro Area",2024,1.11,39.16,0.00,11.56,66.03,100.00,0.55,0.00,100.00,7.21,0.00,22.11,100.00,0.00,60.56
"Weirton-Steubenville, WV-OH Metro Area",2024,0.00,36.74,0.75,10.07,61.20,100.00,0.67,0.00,100.00,11.12,0.00,12.76,0.00,0.00,8.93
"Goldsboro, NC Metro Area",2024,2.59,47.31,0.00,12.96,73.46,100.00,0.88,3.72,100.00,4.58,100.00,13.76,100.00,15.01,32.65
"Lawton, OK Metro Area",2024,0.00,31.01,2.50,10.95,72.56,100.00,1.05,0.08,100.00,7.94,100.00,16.63,100.00,2.82,85.91
"Brunswick, GA Metro Area",2024,3.46,39.51,0.00,12.12,66.62,100.00,0.89,0.22,100.00,6.79,40.43,23.23,100.00,0.00,41.20
"Alexandria, LA Metro Area",2024,1.42,36.51,1.41,10.10,62.69,100.00,1.77,0.04,100.00,8.73,89.57,19.23,0.00,24.22,39.48
"Panama City, FL Metro Area",2024,2.12,38.58,0.68,13.78,70.10,100.00,0.86,0.28,100.00,4.63,100.00,10.34,100.00,27.66,41.30
"Burlington, NC Metro Area",2024,4.01,41.86,0.00,13.12,73.21,0.00,0.46,0.56,100.00,9.81,100.00,23.06,100.00,26.91,71.13
"Gadsden, AL Metro Area",2024,0.01,39.86,0.00,12.28,73.53,0.00,0.54,0.00,100.00,8.65,32.67,11.94,100.00,5.95,37.37
"Portland-South Portland, ME Metro Area",2024,0.00,38.65,0.00,9.72,71.74,0.00,1.11,0.91,100.00,8.24,0.00,6.20,0.00,0.00,25.65
"Charleston, WV Metro Area",2024,0.26,42.78,0.00,12.43,72.80,43.45,2.12,0.07,100.00,6.69,100.00,13.35,100.00,7.31,19.67
"Kalispell, MT Micro Area",2024,0.00,60.74,0.00,18.63,78.09,0.00,0.00,0.00,100.00,6.71,0.00,15.42,100.00,0.42,44.08
"Toledo, OH Metro Area",2024,0.00,30.45,0.00,6.25,64.97,100.00,0.63,0.15,100.00,9.06,100.00,25.68,0.00,0.20,66.59
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",2024,0.00,37.67,10.56,12.74,62.73,100.00,0.00,0.00,100.00,4.84,100.00,19.16,100.00,6.52,58.70
"Sandusky, OH Micro Area",2024,9.21,43.93,0.00,11.76,69.99,0.00,0.00,0.35,100.00,9.18,100.00,21.32,100.00,12.51,75.65
"Sheboygan, WI Metro Area",2024,2.29,41.26,1.76,12.56,65.92,100.00,1.64,1.18,100.00,7.68,100.00,21.01,100.00,12.23,63.58
"Charleston-North Charleston, SC Metro Area",2024,0.00,34.69,1.67,10.93,70.81,100.00,0.14,0.03,100.00,5.97,100.00,10.19,100.00,2.31,29.04
"Kennewick-Richland, WA Metro Area",2024,0.00,36.71,2.44,14.40,78.12,100.00,1.17,0.28,100.00,8.04,100.00,12.11,100.00,19.64,40.61
"Grants Pass, OR Metro Area",2024,0.00,32.88,0.51,11.82,62.14,100.00,18.39,0.00,100.00,8.59,0.40,6.96,0.00,0.00,28.10
"Binghamton, NY Metro Area",2024,0.00,35.63,0.74,10.34,66.21,100.00,1.47,0.00,100.00,8.29,0.00,8.72,100.00,0.00,30.03
"Manhattan, KS Metro Area",2024,0.69,45.14,0.00,13.38,75.35,100.00,3.29,0.15,100.00,10.65,100.00,22.46,0.00,0.00,68.29
"Anniston-Oxford-Jacksonville, AL Metro Area",2024,1.08,45.03,0.00,12.61,72.49,100.00,0.93,0.00,100.00,7.77,0.00,15.82,100.00,0.68,30.63
"Key West, FL Micro Area",2024,2.80,43.03,2.08,13.75,76.32,100.00,1.27,0.06,100.00,8.99,100.00,13.37,100.00,0.00,48.06
"Mayag\u00FCez, PR Metro Area",2024,0.00,34.01,0.15,9.74,72.60,98.53,0.61,0.01,100.00,12.48,15.75,12.69,100.00,0.00,33.66
"Montgomery, AL Metro Area",2024,2.34,38.72,0.25,13.25,67.80,100.00,0.76,0.04,100.00,9.11,88.13,20.62,100.00,3.42,46.76
"Sierra Vista-Douglas, AZ Metro Area",2024,0.00,28.14,0.60,10.14,58.52,100.00,6.73,0.00,100.00,6.06,100.00,10.35,100.00,0.00,17.47
"Hickory-Lenoir-Morganton, NC Metro Area",2024,0.00,53.16,0.20,14.00,69.94,100.00,1.97,0.15,100.00,11.43,100.00,19.08,78.87,2.94,47.26
"Detroit-Warren-Dearborn, MI Metro Area",2024,1.79,31.89,0.62,9.92,68.53,100.00,0.65,0.03,100.00,8.80,0.00,16.98,100.00,1.66,39.83
"Arecibo, PR Metro Area",2024,2.14,35.22,0.60,12.44,65.51,100.00,0.77,0.22,100.00,10.35,100.00,9.04,100.00,6.10,47.26
"Houma-Thibodaux, LA Metro Area",2024,7.08,25.46,0.83,8.48,64.11,100.00,0.55,0.30,100.00,8.47,100.00,11.49,100.00,30.09,25.48
"Bellingham, WA Metro Area",2024,0.00,39.22,3.25,10.39,70.19,100.00,1.73,0.00,100.00,9.37,91.67,11.22,100.00,12.64,16.63
"Monroe, MI Metro Area",2024,1.23,30.34,0.00,10.85,62.55,0.00,0.74,0.18,100.00,10.04,100.00,13.21,100.00,4.73,25.23
"Erie, PA Metro Area",2024,2.29,38.83,0.54,9.94,58.33,100.00,1.72,0.43,100.00,9.27,100.00,19.74,100.00,8.75,53.40
"Denver-Aurora-Lakewood, CO Metro Area",2024,2.25,43.84,0.00,13.94,71.13,0.00,0.76,0.00,100.00,9.57,0.00,25.72,100.00,1.99,50.77
"Sunbury, PA Micro Area",2024,0.00,46.27,0.00,16.38,79.81,0.00,3.47,0.00,100.00,11.27,0.00,5.83,100.00,0.00,-6.09
"East Stroudsburg, PA Metro Area",2024,0.00,56.89,0.00,12.70,70.28,100.00,27.46,0.00,100.00,5.38,0.00,34.34,100.00,0.00,81.25
"Fayetteville-Springdale-Rogers, AR-MO Metro Area",2024,0.00,52.47,0.15,20.33,93.77,100.00,0.92,0.00,100.00,7.99,0.00,12.10,0.00,1.65,33.45
"Carbondale-Marion, IL Metro Area",2024,0.80,35.51,0.58,10.32,73.20,100.00,1.04,0.07,100.00,5.67,0.00,18.13,100.00,5.03,68.37
"Dalton, GA Metro Area",2024,16.67,48.25,1.41,10.93,69.04,0.00,1.01,0.00,100.00,10.57,0.00,22.07,100.00,0.00,56.63
"Iowa City, IA Metro Area",2024,0.00,33.08,0.00,8.34,62.98,100.00,1.36,0.00,100.00,9.82,100.00,12.18,100.00,0.19,34.59
"Muskegon, MI Metro Area",2024,3.05,39.94,0.13,12.66,61.25,100.00,0.61,0.47,100.00,9.95,100.00,19.48,100.00,7.19,49.88
"Orlando-Kissimmee-Sanford, FL Metro Area",2024,1.44,41.14,1.59,12.86,68.74,9.98,1.25,1.54,100.00,8.26,100.00,8.89,100.00,1.42,25.11
"Torrington, CT Micro Area",2024,0.00,37.68,0.15,9.86,64.85,100.00,1.28,0.00,100.00,9.57,0.00,16.58,100.00,0.00,71.12
"Muncie, IN Metro Area",2024,1.55,44.55,0.00,11.82,67.65,100.00,0.21,0.33,100.00,10.55,100.00,21.26,100.00,3.38,47.66
"Roseburg, OR Micro Area",2024,0.00,37.94,2.28,12.69,72.08,100.00,0.51,0.21,100.00,6.41,100.00,17.15,100.00,24.51,43.90
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2024,3.00,53.83,0.00,12.93,69.72,0.00,0.76,0.00,100.00,9.45,0.00,13.30,100.00,8.14,39.85
"Kahului-Wailuku-Lahaina, HI Metro Area",2024,0.00,40.56,0.56,11.22,72.91,100.00,0.00,0.04,100.00,5.31,69.23,13.99,100.00,4.94,47.49
"Greenville-Anderson-Mauldin, SC Metro Area",2024,1.34,42.68,0.59,14.90,72.20,100.00,1.00,0.00,100.00,4.59,21.45,16.00,100.00,0.96,29.40
"Olympia-Tumwater, WA Metro Area",2024,0.00,39.65,0.04,13.98,77.41,100.00,0.76,0.00,100.00,4.56,0.00,13.65,0.00,6.43,56.99
"Albuquerque, NM Metro Area",2024,0.00,37.05,0.39,8.40,62.53,100.00,0.75,0.10,100.00,8.73,0.00,19.12,0.00,0.00,35.35
"Bakersfield, CA Metro Area",2024,0.00,37.41,3.71,11.88,70.71,100.00,0.74,0.28,100.00,5.11,100.00,11.58,100.00,0.00,39.22
"Enid, OK Metro Area",2024,0.17,40.10,0.53,11.26,65.63,100.00,1.06,0.40,100.00,10.22,100.00,25.50,100.00,7.94,70.24
"Lansing-East Lansing, MI Metro Area",2024,0.00,44.71,0.32,8.09,61.83,100.00,0.79,0.00,100.00,9.99,0.00,24.80,0.00,3.38,53.59
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",2024,2.58,42.37,0.00,14.43,76.37,100.00,0.60,0.32,100.00,6.60,29.10,16.52,100.00,26.99,56.21
"North Wilkesboro, NC Micro Area",2024,0.00,44.40,0.71,11.65,65.95,100.00,1.12,0.76,100.00,8.49,100.00,5.74,100.00,0.00,16.13
"Whitewater-Elkhorn, WI Micro Area",2024,0.69,41.40,0.48,9.56,68.13,100.00,1.01,0.46,100.00,10.65,100.00,7.63,100.00,3.66,26.53
"Hagerstown-Martinsburg, MD-WV Metro Area",2024,4.12,45.01,0.92,13.76,73.47,100.00,0.41,0.09,100.00,5.62,100.00,19.77,100.00,16.57,54.78
"Topeka, KS Metro Area",2024,0.00,25.82,0.31,4.96,63.97,100.00,1.07,0.15,100.00,7.75,100.00,20.10,24.73,0.58,65.91
"Boise City, ID Metro Area",2024,0.64,38.78,1.92,11.12,67.29,0.00,0.62,0.00,100.00,7.80,0.00,15.24,100.00,6.33,32.85
"Bloomington, IL Metro Area",2024,0.46,43.06,0.43,14.08,67.79,27.75,0.77,0.12,100.00,9.75,43.88,11.14,100.00,0.00,25.51
"Harrisonburg, VA Metro Area",2024,0.00,36.48,0.55,11.44,67.01,0.00,0.44,0.00,100.00,4.76,0.00,10.35,0.00,0.00,44.31
"Rockford, IL Metro Area",2024,0.04,48.79,0.00,13.24,72.67,100.00,1.91,4.73,100.00,7.13,100.00,19.10,0.00,28.26,40.77
"Pocatello, ID Metro Area",2024,0.00,35.18,1.67,11.53,66.33,100.00,1.65,0.04,100.00,9.19,84.67,12.67,100.00,0.00,33.98
"Marion, OH Micro Area",2024,0.36,34.33,0.91,11.87,65.32,100.00,1.78,0.00,100.00,4.90,0.00,13.86,100.00,0.59,48.92
"Beaumont-Port Arthur, TX Metro Area",2024,0.00,38.03,0.08,13.46,66.60,100.00,2.19,0.13,100.00,8.44,100.00,16.25,100.00,0.40,36.56
"Bridgeport-Stamford-Norwalk, CT Metro Area",2024,0.67,34.81,0.00,10.44,63.34,100.00,1.34,0.07,100.00,7.46,100.00,14.35,100.00,0.00,39.64
"Houston-The Woodlands-Sugar Land, TX Metro Area",2024,9.40,58.42,0.00,16.72,77.88,0.00,0.49,0.00,100.00,2.70,0.00,25.00,100.00,0.17,52.22
"Greensboro-High Point, NC Metro Area",2024,3.61,35.99,0.54,13.37,73.09,100.00,0.00,0.00,100.00,8.79,0.00,10.23,100.00,35.77,16.38
"Stillwater, OK Micro Area",2024,0.00,45.66,1.67,12.31,71.37,100.00,1.19,0.00,100.00,7.75,0.00,16.36,100.00,0.00,67.53
"Longview, TX Metro Area",2024,2.58,36.91,0.35,13.33,70.71,100.00,0.60,2.13,100.00,8.65,100.00,10.32,100.00,15.62,28.97
"Decatur, IL Metro Area",2024,0.65,35.04,0.00,12.40,73.89,100.00,1.54,0.05,100.00,10.75,18.55,10.10,100.00,1.89,21.12
"Sebring, FL Metro Area",2024,0.00,28.96,0.00,7.86,68.26,100.00,0.39,0.00,100.00,6.48,11.37,7.81,0.00,0.00,28.46
"Vineland-Bridgeton, NJ Metro Area",2024,0.76,41.32,0.93,11.90,59.81,100.00,1.77,0.17,100.00,5.97,100.00,8.68,100.00,0.00,33.62
"State College, PA Metro Area",2024,0.00,29.80,0.00,10.54,55.39,100.00,0.08,0.00,100.00,9.29,0.00,14.27,0.00,6.01,33.90
"Jefferson City, MO Metro Area",2024,0.00,47.33,0.37,11.94,64.73,100.00,0.86,0.00,100.00,3.48,100.00,21.92,100.00,1.97,50.49
"Glenwood Springs, CO Micro Area",2024,1.07,42.88,0.00,9.76,69.51,100.00,1.22,0.00,100.00,6.35,27.82,9.41,100.00,0.00,1.32
"Port Angeles, WA Micro Area",2024,0.00,30.38,0.57,9.35,69.69,0.00,0.00,0.00,100.00,8.91,0.00,6.47,100.00,19.57,17.70
"Battle Creek, MI Metro Area",2024,2.46,40.07,3.13,11.42,69.84,100.00,1.99,0.00,100.00,8.99,76.67,14.65,100.00,8.12,33.10
"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",2024,0.00,34.63,0.68,10.38,78.81,100.00,0.00,0.16,100.00,5.82,100.00,11.16,100.00,0.36,47.76
"Davenport-Moline-Rock Island, IA-IL Metro Area",2024,1.50,33.92,0.89,10.71,66.17,100.00,0.65,0.02,100.00,14.89,20.50,17.80,100.00,10.48,55.17
"Greenville, NC Metro Area",2024,0.00,36.88,1.07,11.50,71.02,100.00,0.44,0.00,100.00,8.75,0.00,11.21,100.00,0.00,26.32
"Grand Island, NE Metro Area",2024,5.00,46.41,0.00,13.08,75.78,94.30,0.42,4.77,100.00,5.62,100.00,17.20,100.00,29.12,61.96
"Gulfport-Biloxi-Pascagoula, MS Metro Area",2024,5.65,49.44,1.22,15.99,76.80,100.00,0.87,0.09,100.00,4.33,100.00,25.23,100.00,20.53,63.16
"Joplin, MO Metro Area",2024,1.73,41.25,0.87,12.23,69.97,100.00,0.91,0.13,100.00,7.14,56.57,12.94,100.00,4.83,48.30
"Columbus, GA-AL Metro Area",2024,6.81,36.59,0.84,11.57,69.73,100.00,0.51,0.13,100.00,8.66,35.13,19.09,100.00,2.36,66.74
"The Villages, FL Metro Area",2024,11.28,39.75,0.00,6.76,67.80,100.00,0.17,0.19,100.00,10.08,100.00,29.00,100.00,0.00,76.03
"Indiana, PA Micro Area",2024,0.47,38.73,0.00,11.90,64.93,100.00,0.67,0.00,100.00,8.15,0.00,22.46,100.00,0.00,56.92
"Greenwood, SC Micro Area",2024,2.26,43.43,1.65,13.42,69.71,100.00,0.77,0.09,100.00,3.37,100.00,19.22,100.00,19.06,44.60
"Jacksonville, NC Metro Area",2024,2.81,34.11,2.14,9.29,69.59,100.00,0.39,0.39,100.00,10.63,100.00,9.99,100.00,9.04,19.66
"Pinehurst-Southern Pines, NC Micro Area",2024,3.69,28.81,1.60,10.62,65.72,0.00,0.15,0.60,100.00,8.54,100.00,18.49,100.00,6.71,36.51
"Appleton, WI Metro Area",2024,1.53,47.20,0.00,12.58,67.68,100.00,0.71,0.20,100.00,10.03,95.30,15.90,100.00,0.94,43.57
"Wooster, OH Micro Area",2024,0.00,47.70,0.81,14.36,72.95,100.00,2.25,0.00,100.00,6.15,55.43,18.71,0.00,0.00,31.53
"Logan, UT-ID Metro Area",2024,2.21,42.59,0.00,13.80,77.96,100.00,0.96,0.17,100.00,7.38,90.08,11.50,100.00,2.07,25.51
"Hattiesburg, MS Metro Area",2024,0.00,42.84,0.58,12.00,64.26,100.00,8.25,0.00,100.00,10.43,0.00,20.32,0.00,0.00,55.15
"Marquette, MI Micro Area",2024,0.00,29.99,1.65,9.55,62.49,100.00,0.00,0.02,100.00,3.92,12.20,8.07,100.00,0.00,17.58
"Midland, MI Metro Area",2024,0.00,33.76,0.00,9.87,58.10,0.00,0.00,0.00,100.00,9.21,0.00,8.25,100.00,1.36,36.02
"Midland, TX Metro Area",2024,0.00,43.56,0.00,10.38,55.89,100.00,0.52,0.01,100.00,9.50,0.00,8.28,100.00,2.44,33.04
"New Bern, NC Metro Area",2024,2.45,29.95,0.97,7.62,66.92,100.00,0.35,0.12,100.00,4.83,59.20,10.54,100.00,4.62,52.38
"Roanoke Rapids, NC Micro Area",2024,2.36,35.94,0.90,15.19,73.10,0.00,0.17,0.01,100.00,7.63,100.00,9.65,100.00,31.93,34.61
"Milwaukee-Waukesha-West Allis, WI Metro Area",2024,1.78,48.71,0.00,12.16,69.25,0.00,0.98,0.02,100.00,8.11,0.00,12.24,100.00,8.29,33.44
"Youngstown-Warren-Boardman, OH-PA Metro Area",2024,0.00,44.85,0.69,13.62,77.46,100.00,1.06,0.00,100.00,8.12,0.00,8.69,0.00,0.00,23.27
"Pensacola-Ferry Pass-Brent, FL Metro Area",2024,2.35,41.83,1.41,15.38,74.04,100.00,0.64,0.03,100.00,5.17,40.80,13.00,100.00,22.62,21.09
"Springfield, IL Metro Area",2024,2.19,46.91,1.53,13.79,58.50,100.00,38.89,0.03,100.00,8.44,61.13,23.94,100.00,0.55,56.63
"Gettysburg, PA Metro Area",2024,0.00,31.24,0.31,10.91,63.50,63.83,0.39,0.00,100.00,8.59,0.00,17.62,0.00,0.00,55.52
"Eugene, OR Metro Area",2024,1.86,34.06,0.75,10.96,66.50,100.00,0.62,0.97,100.00,6.06,100.00,10.19,100.00,27.82,38.90
"St. Cloud, MN Metro Area",2024,3.52,39.89,0.00,12.10,69.09,0.00,0.00,1.37,100.00,9.39,100.00,15.85,100.00,6.87,62.36
"Jefferson, GA Micro Area",2024,0.00,41.19,1.69,10.73,64.89,100.00,0.74,0.00,100.00,5.81,37.63,9.33,100.00,0.71,29.14
"Branson, MO Micro Area",2024,0.00,38.94,0.85,11.72,68.36,100.00,0.69,0.00,100.00,5.86,0.00,7.69,100.00,0.70,35.92
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",2024,4.92,36.22,0.00,8.56,74.19,0.00,0.00,0.28,100.00,5.71,100.00,14.34,100.00,9.73,46.76
"Portsmouth, OH Micro Area",2024,0.00,28.91,0.71,9.44,69.91,100.00,0.00,0.00,100.00,8.66,92.00,3.87,100.00,0.01,8.89
"Kokomo, IN Metro Area",2024,0.00,38.69,0.00,10.44,73.21,0.00,17.65,0.08,100.00,9.79,34.00,8.14,0.00,0.58,24.33
"Yuba City, CA Metro Area",2024,0.00,39.08,1.57,12.84,75.18,100.00,1.10,0.00,100.00,6.60,0.00,9.59,100.00,0.00,36.80
"Racine, WI Metro Area",2024,0.00,34.31,3.12,8.85,64.81,100.00,0.33,0.04,100.00,8.34,100.00,12.24,100.00,4.10,17.53
"Salt Lake City, UT Metro Area",2024,0.00,32.92,0.36,9.16,69.31,100.00,0.20,0.00,100.00,6.05,0.00,7.57,100.00,0.00,39.51
"Florence-Muscle Shoals, AL Metro Area",2024,0.72,39.22,0.00,10.18,68.43,3.97,0.52,0.01,100.00,6.99,0.00,13.42,100.00,0.00,31.35
"Norwich-New London, CT Metro Area",2024,0.00,43.82,0.00,10.44,69.13,99.13,0.56,0.38,100.00,8.22,100.00,14.22,100.00,0.00,41.44
"Muskogee, OK Micro Area",2024,0.85,36.67,0.00,10.81,59.09,100.00,0.61,0.04,100.00,12.12,100.00,20.27,100.00,3.06,55.84
"Owensboro, KY Metro Area",2024,3.83,44.34,0.79,11.33,71.27,26.40,1.40,0.22,100.00,12.73,58.23,12.50,100.00,6.98,34.43
"Eau Claire, WI Metro Area",2024,0.00,55.75,0.00,12.09,64.24,100.00,19.21,0.00,100.00,5.92,0.00,29.76,0.00,0.00,69.95
"Tucson, AZ Metro Area",2024,0.00,39.47,0.67,10.11,76.75,0.00,0.43,0.26,100.00,6.46,77.47,16.15,100.00,8.63,58.18
"San Antonio-New Braunfels, TX Metro Area",2024,1.80,33.73,0.00,11.05,71.28,0.00,0.56,0.34,100.00,5.38,100.00,13.02,100.00,10.17,42.07
"Guayama, PR Metro Area",2024,1.94,30.53,0.87,6.81,64.68,100.00,1.62,0.01,100.00,7.90,66.03,13.83,100.00,3.34,45.55
"Reno, NV Metro Area",2024,0.00,39.50,0.19,13.77,77.47,0.00,0.83,0.00,100.00,5.27,0.00,11.97,100.00,17.95,57.72
"Warsaw, IN Micro Area",2024,0.00,43.30,1.32,13.25,70.24,100.00,1.41,0.00,100.00,7.14,0.00,12.06,100.00,0.37,16.66
"Sioux Falls, SD Metro Area",2024,0.00,46.75,2.96,10.92,60.31,100.00,3.47,0.18,100.00,8.00,100.00,26.50,100.00,0.70,38.98
"Faribault-Northfield, MN Micro Area",2024,0.19,47.31,0.00,14.89,69.15,100.00,83.17,0.00,100.00,10.15,13.00,15.10,100.00,0.00,26.40
"Merced, CA Metro Area",2024,0.00,32.58,0.03,13.13,70.78,0.00,0.00,0.00,100.00,6.19,0.00,8.19,100.00,37.89,39.68
"Missoula, MT Metro Area",2024,2.62,46.10,0.00,10.89,67.22,100.00,0.28,0.04,100.00,9.02,100.00,16.68,100.00,6.71,49.19
"Burlington-South Burlington, VT Metro Area",2024,0.00,39.90,0.00,10.86,66.92,100.00,1.36,0.00,100.00,10.15,0.00,23.97,100.00,5.09,63.33
"Bangor, ME Metro Area",2024,0.00,33.21,0.00,10.07,58.84,0.00,0.19,0.00,100.00,8.52,0.00,14.50,0.00,0.00,21.94
"Pittsfield, MA Metro Area",2024,0.00,40.16,0.00,9.58,65.81,0.00,1.08,0.21,100.00,8.25,0.00,21.13,0.00,0.00,33.49
"Albertville, AL Micro Area",2024,0.00,36.24,0.00,8.24,65.60,100.00,0.55,0.06,100.00,8.10,0.00,17.80,0.00,21.50,33.83
"Duluth, MN-WI Metro Area",2024,0.00,40.40,0.79,10.89,53.78,100.00,1.48,0.00,100.00,8.82,0.00,7.86,100.00,0.00,14.74
"Hobbs, NM Micro Area",2024,0.00,33.66,0.00,10.75,66.17,100.00,1.47,0.00,100.00,9.58,100.00,10.52,100.00,0.23,28.66
"Concord, NH Micro Area",2024,0.00,43.91,0.00,12.08,66.07,100.00,0.98,0.00,100.00,8.42,0.00,11.89,0.00,0.00,36.97
"York-Hanover, PA Metro Area",2024,0.00,43.72,0.75,13.43,75.75,100.00,0.86,0.00,100.00,6.78,0.00,10.73,0.00,0.00,30.66
"Sevierville, TN Micro Area",2024,1.24,32.94,0.73,8.86,64.27,100.00,0.59,0.12,100.00,4.97,100.00,13.70,100.00,4.50,56.00
"Omaha-Council Bluffs, NE-IA Metro Area",2024,0.00,42.64,1.12,13.28,74.25,100.00,0.48,0.00,100.00,4.72,0.00,17.78,0.00,17.03,71.03
"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",2024,0.97,46.53,0.00,11.12,75.51,100.00,0.68,0.00,100.00,8.52,0.00,19.88,100.00,0.00,62.41
